cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,4,1,6,4,10,10,8,0,1,0,4,1,8,8,2,1,4,7,8,0,8,3,3,3,7,6,10,0,0,5,10,1,1,6,3,8,7,3,1,7,2,5,7,0,0,8,1,4,0,9,2,3,0,4,1,6,1,3,3,7,6,5,1,3,9,4,7,10,8,10
n15,4,1,6,0,10,10,8,0,1,0,4,1,8,8,2,1,4,7,8,5,8,3,3,3,7,6,10,3,0,5,10,1,1,6,3,0,7,3,1,7,2,5,0,0,0,8,1,4,3,9,2,3,10,4,1,6,1,3,3,7,6,5,1,3,9,0,7,10,8,10
n18,4,1,6,0,10,10,8,0,1,8,4,1,8,8,2,1,4,7,8,0,8,3,3,3,7,6,10,0,0,5,10,1,1,6,3,3,7,3,1,7,2,5,0,0,0,8,1,4,0,9,2,3,10,4,1,6,1,6,3,7,0,5,1,3,9,0,7,10,8,10
n17,4,1,6,10,10,10,8,0,1,8,4,1,8,8,2,1,4,7,8,0,8,3,3,3,7,6,10,8,0,5,10,1,1,6,3,3,7,3,1,7,2,5,0,0,0,8,1,4,3,9,2,3,0,4,1,6,1,6,0,7,0,5,1,3,9,0,7,10,8,10
n22,0,1,0,0,10,10,8,0,1,9,4,0,8,8,2,1,4,7,8,3,8,3,3,3,7,6,10,0,1,5,10,1,1,6,3,0,7,3,1,7,2,5,10,0,2,8,1,4,5,9,2,3,9,4,1,6,1,0,5,7,0,5,1,3,9,0,7,10,8,10
n21,10,1,10,1,10,10,8,0,1,9,4,0,8,8,2,1,4,7,8,3,8,3,3,3,7,6,10,0,0,5,10,1,1,6,3,0,7,3,1,7,2,5,0,0,0,8,1,4,8,9,2,3,9,4,1,6,1,0,5,7,0,5,1,3,9,0,7,10,8,10
n24,0,1,0,0,10,10,8,10,1,10,4,0,8,8,2,1,4,7,8,0,8,3,3,3,7,6,10,0,0,5,10,1,1,6,3,0,7,3,1,7,2,5,0,0,0,8,1,4,0,9,2,3,9,4,1,6,1,0,5,7,0,5,1,3,9,10,7,10,8,10
n23,6,1,0,0,10,10,8,10,1,0,4,10,8,8,2,1,4,7,8,0,8,3,3,3,7,6,10,3,0,5,10,1,1,6,3,0,7,3,1,7,2,5,0,0,0,8,1,4,0,9,2,3,9,4,1,6,1,3,5,7,0,5,1,3,9,0,7,10,8,10
n30,0,1,2,0,10,10,8,5,1,0,4,6,8,0,2,1,4,7,8,9,8,3,3,0,7,6,10,9,1,5,10,1,1,6,6,0,7,3,1,7,2,5,6,7,0,8,1,4,2,9,2,3,3,4,1,6,1,0,0,0,0,5,1,3,9,0,7,10,8,10
n29,0,1,2,0,10,10,8,5,1,0,4,6,8,0,2,1,4,7,8,9,8,3,3,0,7,6,10,9,9,5,10,1,1,6,6,0,7,3,1,7,2,5,6,7,0,8,1,4,2,9,2,3,3,4,1,6,1,0,0,0,0,5,1,3,9,7,7,10,8,10
n32,0,1,2,9,10,10,8,5,1,5,4,6,8,0,2,1,4,7,8,9,8,3,3,8,7,6,10,9,9,5,10,1,1,6,6,0,7,3,1,7,2,5,6,7,0,8,1,4,2,9,2,3,0,4,1,6,1,0,0,0,0,5,1,0,9,5,7,10,8,10
n31,0,1,2,0,10,10,8,5,1,0,4,6,8,0,2,1,4,7,8,9,8,3,3,8,7,6,10,9,7,5,10,1,1,6,6,10,7,3,1,7,2,5,6,7,2,8,1,4,2,9,2,3,0,4,1,6,1,0,0,1,7,5,1,0,9,5,7,10,8,10
n36,1,1,2,10,10,10,8,5,1,0,4,7,8,2,2,1,4,7,8,9,8,3,3,0,7,6,10,10,0,5,10,1,1,6,0,9,7,3,1,7,2,5,6,0,0,8,1,4,10,9,2,3,0,4,1,6,1,4,5,7,7,5,1,10,9,9,7,10,8,10
