cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,10,7,10,2,4,4,0,10,8,4,5,8,8,6,7,2,7,3,1,7,5,10,4,4,5,10,10,9,6,10,0,7,4,8,3,3,0,10,3,2,9,0,10,9,0,0,9,0,7,8,4,3,8,1,7,4,0,6,8,0,5,6,0,0,9,0,3,3,3,6,8,2,9,5,7,1,5,4,10,0,0,8,6,1,8,3,0,10,1,8
n15,10,7,10,2,0,4,2,10,8,4,5,8,8,6,7,2,7,3,1,7,5,10,4,4,5,10,10,9,6,10,2,7,4,8,3,3,0,10,3,2,9,0,10,9,0,0,9,0,7,8,4,3,8,1,7,4,0,6,8,0,5,6,0,0,9,1,3,3,3,6,8,2,9,5,0,1,5,4,10,0,0,8,6,1,8,3,0,10,1,8
n18,10,7,10,2,0,4,0,10,8,4,5,8,8,6,7,2,7,3,1,7,5,10,4,4,5,10,10,9,6,10,0,7,4,8,3,3,9,10,3,2,9,3,10,9,0,0,9,0,0,8,4,3,8,1,7,4,0,6,8,1,5,6,0,9,9,0,3,3,3,6,8,2,9,5,0,1,5,0,10,0,0,8,6,1,8,3,0,10,1,8
n17,10,7,10,2,5,4,0,10,8,4,5,8,8,6,7,2,7,3,1,7,5,10,4,4,5,10,10,9,6,10,0,7,4,8,3,3,8,10,3,2,9,0,10,9,0,0,9,0,0,8,4,3,8,1,7,4,0,6,8,0,5,6,0,0,9,7,3,3,3,6,8,2,9,5,0,1,5,7,10,1,0,8,6,1,8,3,3,10,1,8
n22,10,7,10,2,3,4,4,10,8,4,2,8,8,6,7,0,7,3,1,7,0,10,4,4,5,10,10,9,6,2,7,7,4,8,3,3,2,10,3,2,9,8,10,9,0,0,9,0,6,8,4,3,8,1,7,4,9,6,8,10,5,6,0,0,9,0,3,2,3,6,8,2,9,5,0,1,5,10,10,0,0,8,6,1,8,3,9,10,1,8
n21,10,7,10,2,3,4,4,10,8,4,2,8,8,6,7,0,7,3,1,7,0,10,4,4,5,10,10,9,6,2,7,7,4,8,3,3,4,10,3,2,9,8,10,9,5,1,9,0,6,8,4,3,8,1,7,4,9,6,8,10,5,6,0,0,9,0,3,2,3,6,8,2,9,5,0,1,5,10,10,0,0,8,6,1,8,3,0,10,1,8
n24,10,7,10,2,0,4,0,10,8,4,2,8,8,6,7,0,7,3,1,7,0,10,4,4,5,10,10,9,6,2,0,7,4,8,3,3,0,10,3,2,9,0,10,9,9,4,9,0,6,8,4,3,8,1,7,4,9,6,8,0,5,6,0,10,9,8,3,9,3,6,8,2,9,5,0,1,5,10,10,0,0,8,6,1,8,3,0,10,1,8
n23,10,7,10,2,0,4,0,10,8,4,2,8,8,6,7,0,7,3,1,7,0,10,4,4,5,10,10,9,6,2,0,7,4,8,3,3,0,10,3,2,9,0,10,9,5,4,9,0,6,8,4,3,8,1,7,4,9,6,8,0,5,6,0,10,9,0,3,9,3,6,8,2,9,5,0,1,5,10,10,0,0,8,6,1,8,3,6,10,1,8
n30,10,7,10,2,0,4,10,3,8,4,9,8,3,6,7,0,7,3,1,7,0,10,4,4,5,10,10,9,6,3,9,7,4,8,7,3,7,10,3,2,9,0,10,9,0,2,9,8,0,8,4,3,0,10,7,4,5,6,8,0,0,6,10,3,9,0,3,0,3,0,8,2,9,4,0,1,5,10,10,0,8,8,6,1,8,3,10,10,1,8
n29,10,7,10,2,0,4,10,3,8,4,9,8,3,6,7,0,7,3,1,7,0,10,4,4,5,10,10,9,6,3,9,7,4,8,7,3,7,10,3,2,9,0,10,9,0,2,9,8,0,8,4,3,0,10,7,4,5,6,8,0,0,6,8,3,9,0,3,1,3,0,8,2,9,0,10,1,5,1,10,2,8,8,6,1,8,3,10,10,1,8
