cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,5,10,7,0,4,6,0,0,4,4,1,8,1,1,9,7,10,5,7,10,3,6,0,0,10,7,5,0,10,0,0,0,0,2,10,3,1,1,4,10,1,1,4,5,10,10,5,6,2,4,3,4,6,4,0,9,10,10,9,7,6,1,3,3,8,8,6,9,10,0,6,4,3,7,5,5,6,7,5,0,0,7,3,2,1,9,8,8,2,4
n15,5,0,7,0,4,0,0,0,4,4,1,8,1,1,9,7,10,5,7,10,3,6,0,0,5,7,5,0,10,0,0,0,0,2,10,3,1,1,4,10,1,1,4,5,10,10,5,6,2,4,3,4,6,4,0,9,0,10,9,7,6,1,0,3,8,8,6,9,10,5,6,4,3,7,5,5,6,7,5,2,0,0,3,2,1,9,8,8,2,4
n18,5,0,7,0,2,3,0,8,4,4,1,8,1,1,9,7,10,5,7,10,0,6,0,0,2,7,5,0,10,8,0,3,0,2,10,3,1,1,4,10,1,1,4,5,10,10,5,10,2,4,3,4,6,4,0,4,0,10,9,7,6,1,0,3,8,0,6,9,10,0,6,4,3,7,5,5,6,7,5,5,7,0,3,2,1,9,8,8,2,4
n17,5,0,7,0,2,3,0,8,4,4,1,8,1,1,9,7,10,5,7,10,10,6,0,0,0,7,5,5,10,8,9,3,10,2,10,3,1,1,4,10,1,1,4,5,10,10,5,10,2,4,3,4,6,4,0,4,0,10,9,7,6,1,0,3,8,1,6,9,10,0,6,4,3,7,5,5,6,7,5,5,2,3,3,2,1,9,8,8,2,4
n22,5,4,7,0,0,0,0,0,4,4,1,8,1,1,9,7,10,5,7,10,0,2,1,0,5,7,5,0,4,3,0,2,1,2,10,3,1,1,4,10,1,1,4,5,2,10,5,1,2,4,3,4,6,4,8,8,0,10,9,10,0,1,0,3,8,0,6,9,10,10,6,4,3,7,5,5,6,7,5,0,0,9,3,2,1,9,8,8,6,4
n21,5,4,7,0,6,0,0,0,4,4,1,8,1,1,9,7,10,5,7,10,0,2,1,1,0,7,5,3,4,3,0,2,1,2,10,3,1,1,4,10,1,1,4,5,2,10,5,1,2,4,3,0,6,4,8,8,0,10,9,10,0,1,0,3,8,0,6,9,10,10,6,4,3,7,5,5,6,7,5,0,0,0,3,2,1,9,8,8,6,4
n24,5,5,7,0,0,0,2,6,4,4,1,8,1,1,9,7,10,5,7,10,0,7,1,0,0,7,5,0,4,3,0,9,0,2,10,3,1,1,4,10,1,1,4,5,2,10,5,0,2,4,3,0,6,4,8,0,0,10,9,4,6,1,1,3,8,0,6,9,10,10,6,4,3,7,5,5,6,7,5,0,0,0,3,2,1,9,8,8,6,4
n23,5,5,7,0,0,0,2,0,4,4,1,8,1,1,9,7,10,5,7,10,0,0,1,0,0,7,5,4,4,3,0,9,4,2,10,3,1,1,4,10,1,1,4,5,2,10,5,0,2,4,3,0,6,4,8,0,0,10,9,0,0,1,1,3,8,2,6,9,10,10,6,4,3,7,5,5,6,7,5,0,0,0,3,2,1,9,8,8,6,4
n30,5,0,7,3,0,6,0,8,4,4,1,8,1,1,9,7,10,5,7,10,5,4,0,6,4,7,6,5,0,1,8,6,3,2,10,3,1,1,4,7,1,1,4,5,0,0,5,0,2,0,3,6,6,4,0,0,5,10,9,0,10,1,0,3,8,0,6,9,10,0,6,4,3,7,1,5,6,7,5,4,2,8,3,2,1,9,8,8,0,4
n29,5,0,7,3,0,6,3,8,4,4,1,8,1,1,9,7,10,5,7,10,5,4,0,6,0,7,0,5,0,1,8,6,3,2,10,3,1,1,4,7,1,1,4,5,0,0,5,0,2,9,3,6,6,4,10,0,5,10,9,0,10,1,0,3,8,0,6,9,10,0,6,4,3,7,1,5,6,7,5,4,0,8,3,2,1,9,8,8,0,4
n32,5,0,7,3,3,6,0,8,4,4,1,8,1,1,9,7,10,5,7,10,5,0,2,6,0,7,2,0,0,3,8,6,0,2,10,3,1,1,4,7,1,1,4,5,0,0,5,8,2,0,3,6,6,4,0,0,5,10,9,0,10,1,3,3,8,8,6,9,10,6,6,4,3,7,1,5,6,7,5,0,0,0,3,2,1,9,8,8,0,4
n31,5,7,7,3,3,6,0,8,4,4,1,8,1,1,9,7,10,5,7,10,5,0,2,6,0,7,2,0,0,0,8,6,0,2,10,3,1,1,4,7,1,1,4,5,0,0,5,8,2,0,3,6,6,4,0,0,5,10,9,0,10,1,0,3,8,8,6,9,10,6,6,4,3,7,1,5,6,7,5,2,0,0,3,2,1,9,8,8,6,4
n36,5,5,7,3,8,0,1,1,4,4,1,8,1,1,9,7,10,5,7,10,5,0,2,6,2,7,0,0,0,0,8,0,0,2,10,3,1,1,4,7,1,1,4,5,8,6,5,0,2,0,3,0,6,4,7,0,0,10,9,5,10,1,7,3,8,5,6,9,10,0,6,4,3,7,0,5,6,7,5,1,0,0,3,2,0,9,8,8,0,4
n35,5,5,7,3,8,0,0,1,4,4,1,8,1,1,9,7,10,5,7,10,5,8,0,6,2,7,0,0,0,7,8,0,0,2,10,3,1,1,4,7,1,1,4,5,8,6,5,0,2,0,3,0,6,4,7,0,0,10,9,5,10,1,0,3,8,5,6,9,10,0,6,4,3,7,0,5,6,7,5,1,10,0,3,2,3,9,8,8,7,4
n38,5,5,7,3,0,0,8,0,4,4,1,8,1,1,9,7,10,5,7,10,5,0,9,6,0,7,0,0,5,0,8,0,0,2,10,3,1,1,4,7,1,1,4,5,0,0,5,7,2,5,3,5,6,4,7,0,0,10,9,9,10,1,9,3,8,2,6,9,10,0,6,4,3,7,0,5,6,7,5,1,3,0,3,2,5,9,8,8,0,4
n37,5,5,7,3,0,0,8,0,4,4,1,8,1,1,9,7,10,5,7,10,5,0,9,6,0,7,0,0,0,0,8,0,0,2,10,3,1,1,4,7,1,1,4,5,0,0,5,7,2,5,3,0,6,4,7,0,3,10,9,9,10,1,9,3,8,0,6,9,10,0,6,4,3,7,0,5,6,7,5,1,3,0,3,2,5,9,8,8,0,4
n46,5,0,7,0,6,0,0,0,4,6,1,8,0,1,9,7,10,5,10,10,3,4,4,0,4,7,0,0,8,8,0,10,0,2,10,3,1,1,4,3,1,1,4,5,0,8,5,5,2,9,3,10,6,4,2,9,5,10,9,2,7,1,7,3,8,6,6,9,10,5,6,4,3,2,2,9,6,7,5,0,5,5,3,2,10,9,8,8,10,4
n45,5,0,7,8,6,0,7,0,4,0,1,8,0,1,9,7,10,5,0,10,3,4,4,0,0,7,0,9,8,0,0,10,6,2,10,3,1,1,4,9,1,1,4,5,0,0,5,0,2,9,3,10,6,4,2,9,5,10,9,2,7,1,7,3,8,6,6,9,10,5,6,4,3,2,2,9,6,7,5,0,5,5,3,2,10,9,8,8,0,4
n48,5,0,7,0,6,0,0,0,4,0,1,8,9,1,9,7,10,5,0,10,3,4,4,3,0,7,3,0,8,0,0,10,3,2,10,3,1,1,4,0,1,1,4,5,0,2,5,0,2,9,3,10,6,4,2,0,5,10,9,2,7,1,7,3,8,1,6,9,10,5,6,4,3,5,2,9,6,7,5,0,5,5,3,2,0,9,8,8,0,4
