cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,6,8,1,3,1,6,9,10,9,1,1,0,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,10,10,10,5,8,4,0,7,2,3,0,7,8,10,7,3,9,0
n15,6,8,1,3,1,6,9,10,9,1,1,8,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,10,10,10,5,8,4,5,7,2,3,0,7,8,10,7,3,0,9
n18,6,0,1,3,1,6,9,10,0,1,1,0,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,0,10,10,5,8,4,0,7,2,3,10,7,8,10,7,3,0,0
n17,6,0,1,3,1,6,9,10,0,1,1,0,7,3,3,9,4,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,0,10,10,5,8,4,0,7,2,3,7,7,8,10,7,3,0,0
n22,6,0,1,3,5,6,9,10,10,1,1,0,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,6,10,10,5,8,4,4,7,2,3,1,7,8,10,7,3,4,8
n21,6,8,1,3,5,6,9,10,10,1,1,6,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,0,10,10,5,8,4,4,7,2,3,1,7,8,10,7,3,4,0
n24,6,7,1,3,0,6,9,10,0,1,1,0,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,1,10,10,5,8,4,0,7,2,3,1,7,8,10,7,3,9,7
n23,6,7,1,3,0,6,9,10,0,1,1,3,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,1,4,0,0,10,10,5,8,4,0,7,2,3,1,7,8,10,7,3,9,7
n30,6,0,1,3,0,6,9,10,0,1,1,4,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,2,4,4,0,10,10,5,8,4,10,7,2,3,0,7,8,10,7,0,0,0
n29,6,0,1,3,0,6,9,10,0,1,1,4,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,2,4,4,7,10,10,5,8,4,10,7,2,3,0,7,8,10,7,0,5,0
n32,6,0,1,3,3,6,9,10,0,1,1,4,7,3,3,9,2,6,10,3,2,2,1,1,2,9,2,9,8,2,4,4,5,10,10,5,8,4,10,7,2,3,0,7,8,10,7,0,0,2
n31,6,0,1,3,3,6,9,10,0,1,1,4,7,3,3,9,2,6,10,3,2,2,1,1,2,9,2,9,8,2,4,4,0,10,10,5,8,4,10,7,2,3,1,7,8,10,7,0,0,0
n36,6,0,1,3,0,6,9,10,8,1,1,4,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,2,4,0,0,10,10,5,8,4,0,7,2,3,5,7,8,10,7,5,0,0
n35,6,4,1,3,0,6,9,10,8,1,1,4,7,3,3,9,0,6,10,3,2,2,1,1,2,9,2,9,8,2,4,0,0,10,10,5,8,4,0,7,2,3,5,7,8,10,7,5,0,0
n38,6,0,1,3,6,6,9,10,8,1,1,4,7,3,3,9,2,6,10,3,2,2,1,1,2,9,2,9,8,2,4,0,0,10,10,5,8,4,0,7,2,3,0,7,8,10,7,5,4,0
n37,6,0,1,3,6,6,9,10,8,1,1,4,7,3,3,9,2,6,10,3,2,2,1,1,2,9,2,9,8,2,4,0,0,10,10,5,8,4,0,7,2,3,0,7,8,10,7,5,4,0
n46,6,0,1,3,9,6,9,10,9,0,0,4,7,3,3,9,0,0,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,5,5,7,0,3,7,7,8,2,7,9,8,7
n45,6,0,1,3,9,6,9,10,9,0,6,0,7,3,3,9,0,4,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,5,0,7,0,3,7,7,8,2,7,0,8,7
n48,6,0,1,3,9,6,9,10,9,0,6,0,7,3,3,9,0,0,10,3,2,2,1,1,2,9,2,9,8,1,4,0,2,10,10,5,8,4,2,7,0,3,7,7,8,2,7,7,8,0
n47,6,2,1,3,9,6,9,10,9,0,6,6,7,3,3,9,0,0,10,3,2,2,1,1,2,9,2,9,8,1,4,0,2,10,10,5,8,0,0,7,1,3,7,7,8,2,7,2,8,9
n52,6,0,1,3,9,6,9,10,0,10,7,6,7,3,3,9,1,0,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,0,9,7,1,3,5,7,8,6,7,0,0,6
n51,6,0,1,3,9,6,9,10,0,10,2,0,7,3,3,9,0,0,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,0,9,7,1,3,5,7,8,6,7,0,3,6
n54,6,0,1,3,9,6,9,10,0,9,0,0,7,3,3,9,0,10,10,3,2,2,1,1,2,9,2,9,8,10,4,0,2,10,10,5,8,8,3,7,1,3,5,7,8,6,7,7,0,6
n53,6,0,1,3,9,6,9,10,0,9,0,6,7,3,3,9,5,10,10,3,2,2,1,1,2,9,2,9,8,10,4,0,2,10,10,5,8,8,0,7,1,3,5,7,8,6,7,7,9,6
n60,6,0,1,3,9,6,9,10,0,0,0,10,7,3,3,9,5,0,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,7,0,7,0,3,9,7,8,0,7,0,0,9
n59,6,0,1,3,9,6,9,10,0,0,9,10,7,3,3,9,5,0,10,3,2,2,1,1,2,9,2,9,8,0,4,3,2,10,10,5,8,7,0,7,0,3,9,7,8,0,7,0,0,9
n62,6,3,1,3,9,6,9,10,0,4,0,0,7,3,3,9,5,0,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,7,1,7,4,3,9,7,8,1,7,10,0,9
n61,6,0,1,3,9,6,9,10,3,4,0,1,7,3,3,9,5,0,10,3,2,2,1,1,2,9,2,9,8,0,4,0,2,10,10,5,8,7,0,7,0,3,9,7,8,0,7,0,0,9
n66,6,0,1,3,9,6,9,10,5,0,0,1,7,3,3,9,5,2,10,3,2,2,1,1,2,9,2,9,8,7,4,0,2,10,10,5,8,7,0,7,0,3,0,7,8,0,7,0,7,6
n65,6,0,1,3,9,6,9,10,5,9,0,1,7,3,3,9,5,2,10,3,2,2,1,1,2,9,2,9,8,7,4,0,2,10,10,5,8,7,0,7,0,3,0,7,8,0,7,0,7,6
n68,6,10,1,3,9,6,9,10,5,4,4,6,7,3,3,9,5,0,10,3,2,2,1,1,2,9,2,9,8,7,4,0,2,10,10,5,8,7,0,7,3,3,0,7,8,9,7,0,0,6
n67,6,0,1,3,9,6,9,10,5,4,0,6,7,3,3,9,5,0,10,3,2,2,1,1,2,9,2,9,8,7,4,0,2,10,10,5,8,7,0,7,3,3,0,7,8,0,7,0,0,6
n78,6,3,1,0,8,6,7,10,6,2,2,2,7,3,0,9,2,0,10,3,2,2,5,1,2,9,2,9,8,0,4,0,10,10,10,5,8,4,6,2,3,3,1,7,8,9,7,8,0,1
n77,6,7,1,4,8,6,7,10,6,2,2,2,7,3,0,9,7,0,10,3,2,2,5,1,2,9,2,9,8,0,4,0,10,10,10,5,8,4,6,2,3,3,9,7,8,9,7,3,0,1
n80,6,0,1,0,8,6,7,10,6,2,2,2,7,3,0,9,0,0,10,3,2,2,5,1,2,9,2,9,8,2,4,7,10,10,10,5,8,4,9,2,3,3,2,7,8,9,7,9,1,1
n79,6,1,1,0,8,6,7,10,6,2,2,2,7,3,0,9,7,0,10,3,2,2,5,1,2,9,2,9,8,0,4,7,10,10,10,5,8,4,9,2,3,3,0,7,8,9,7,9,1,1
n84,6,0,1,0,5,6,7,10,6,3,2,2,7,3,0,9,0,0,10,3,2,2,5,1,2,9,2,9,8,9,4,0,10,10,10,5,8,4,0,0,3,3,0,7,8,9,7,0,3,0
n83,6,0,1,0,5,6,7,10,6,3,2,2,7,3,0,9,0,0,10,3,2,2,5,1,2,9,2,9,8,0,4,0,10,10,10,5,8,4,4,0,3,3,0,7,8,9,7,0,1,0
n86,6,3,1,8,5,6,7,10,6,0,2,2,7,3,2,9,6,0,10,3,2,2,5,1,2,9,2,9,8,0,4,0,10,10,10,5,8,4,7,3,3,3,0,7,8,9,7,0,0,0
n85,6,3,1,0,5,6,7,10,6,0,2,2,7,3,0,9,6,0,10,3,2,2,5,1,2,9,2,9,8,0,4,0,10,10,10,5,8,4,7,3,3,3,0,7,8,9,7,8,0,0
n92,6,3,1,9,1,6,7,10,6,0,2,2,7,3,0,9,0,0,10,3,2,2,0,1,2,9,2,9,8,0,4,9,0,10,10,5,8,4,6,0,3,3,3,7,8,9,7,10,7,6
n91,6,3,1,0,1,6,7,10,6,10,2,2,7,3,8,9,0,0,10,3,2,2,0,1,2,9,2,9,8,10,4,9,0,10,10,5,8,4,6,9,3,3,3,7,8,9,7,0,7,6
