cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,1,6,10,10,0,4,8,1,2,9,5,9,8,0,3,0,8,7,8,0,8,4,8,9,2,0,3,10,4,2,0,8,6,9,7,3,0,5,1,0,4,0,6,0,9,6,0,9,9,0,1,7,10,8,4,2,8,5,9,5,6,8,1,0,2,2,1,9,1,5,0,5,8,0,3,5,9,10,9,6,6,9,7,9,9,0,4,9,4,0
n15,1,6,10,10,0,4,8,1,2,9,5,9,8,0,3,0,8,7,8,0,8,4,8,9,2,0,3,10,4,2,0,8,6,9,7,3,0,5,1,0,4,0,6,0,9,6,0,9,9,0,1,7,0,8,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,5,0,5,8,0,3,5,9,10,9,6,6,9,7,9,9,0,4,9,4,0
n18,1,6,10,10,10,4,8,1,2,9,5,9,8,9,3,0,8,7,8,0,8,4,8,9,2,0,3,10,4,2,3,8,6,9,7,3,0,5,1,8,4,9,6,0,9,6,5,9,9,0,1,7,0,0,4,2,8,5,9,5,0,8,1,0,2,2,1,1,1,0,0,5,8,6,3,5,9,10,9,6,6,9,7,9,9,0,4,9,4,0
n17,1,6,10,10,10,4,8,1,2,9,5,9,8,9,3,0,8,7,8,6,8,4,8,9,2,7,3,10,4,2,3,8,6,9,7,3,0,5,1,8,4,0,6,0,9,6,0,9,9,0,1,7,0,0,4,2,8,5,9,5,0,8,1,0,2,2,1,1,1,0,9,5,8,6,3,5,9,10,9,6,6,9,7,9,9,0,4,9,4,0
n22,7,6,10,10,1,4,8,1,2,9,5,9,8,7,3,0,8,7,8,6,8,4,8,9,2,0,3,10,4,2,0,8,6,9,7,3,0,5,1,10,4,0,6,0,9,6,3,9,9,4,1,7,3,0,4,2,8,5,9,5,8,8,1,0,2,2,1,1,1,10,6,5,8,0,3,5,4,10,9,6,6,9,7,9,9,0,4,9,4,0
n21,7,6,10,10,1,4,8,1,2,9,5,9,8,7,3,0,8,7,8,6,8,4,8,9,2,0,3,10,4,2,0,8,6,9,7,3,3,5,1,10,4,0,6,0,9,6,3,9,9,4,1,7,3,2,4,2,8,5,9,5,9,8,1,2,2,2,1,0,1,0,6,5,8,7,3,5,0,10,9,6,6,9,7,9,9,9,4,9,4,0
n24,0,6,10,10,1,4,8,1,2,9,5,9,8,0,3,0,8,7,8,0,8,4,8,9,2,0,3,10,4,2,5,8,6,9,2,3,0,5,1,10,4,0,6,0,9,6,3,9,9,8,1,7,0,7,4,2,8,5,9,5,0,8,1,3,2,2,1,5,1,0,6,5,8,2,3,5,0,10,9,6,6,9,7,9,9,0,4,9,4,0
n23,0,6,10,10,1,4,8,1,2,9,5,9,8,0,3,0,8,7,8,6,8,4,8,9,2,0,3,10,4,2,5,8,6,9,0,3,1,5,1,10,4,0,6,0,9,6,3,9,9,8,1,7,0,7,4,2,8,5,9,5,0,8,1,0,2,2,1,5,1,0,6,5,8,0,3,5,10,10,9,6,6,9,7,9,9,0,4,9,4,0
n30,4,6,10,10,0,4,8,1,2,9,5,9,8,4,3,5,8,7,8,0,8,4,0,9,2,0,3,10,4,2,0,8,6,9,0,3,0,5,7,0,4,5,6,9,9,6,0,9,9,7,1,7,5,0,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,0,0,5,8,3,3,5,0,10,1,6,6,9,7,9,9,0,4,9,4,1
n29,0,6,10,10,0,4,8,1,2,9,5,9,8,4,3,0,8,7,8,0,8,4,0,9,2,0,3,10,4,2,0,8,6,9,0,3,0,5,7,0,4,5,6,9,9,6,0,9,9,7,1,7,0,6,4,2,8,5,9,5,0,8,1,6,2,2,1,0,1,0,9,5,8,0,3,5,0,10,1,6,6,9,7,9,9,0,4,9,4,0
n32,9,6,10,10,0,4,8,1,2,9,5,9,8,4,3,9,8,7,8,0,8,4,0,9,2,0,3,10,4,2,0,8,6,9,0,3,0,5,7,0,4,5,6,9,9,6,0,9,9,7,1,7,10,0,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,0,0,5,8,0,3,5,0,10,1,6,6,9,7,9,9,0,4,9,4,0
n31,0,6,10,10,0,4,8,1,2,9,5,9,8,4,3,0,8,7,8,5,8,4,0,9,2,0,3,10,4,2,0,8,6,9,0,3,0,5,7,0,4,5,6,9,9,6,3,9,9,7,1,7,10,0,4,2,8,5,9,5,3,8,1,10,2,2,1,2,1,0,0,5,8,0,3,5,0,10,1,6,6,9,7,9,9,3,4,9,4,0
n36,4,6,10,10,7,4,8,1,2,9,5,9,8,0,3,4,8,7,8,0,8,4,0,9,2,0,3,10,4,2,7,8,6,9,0,3,10,5,7,7,4,5,6,10,9,6,5,9,9,7,1,7,0,3,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,2,0,5,8,10,3,5,0,10,2,6,6,9,7,9,9,0,4,9,4,0
n35,4,6,10,10,7,4,8,1,2,9,5,9,8,0,3,4,8,7,8,0,8,4,1,9,2,0,3,10,4,2,0,8,6,9,1,3,10,5,7,7,4,5,6,10,9,6,5,9,9,7,1,7,0,1,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,2,0,5,8,10,3,5,0,10,2,6,6,9,7,9,9,0,4,9,4,0
n38,5,6,10,10,7,4,8,1,2,9,5,9,8,0,3,4,8,7,8,0,8,4,0,9,2,10,3,10,4,2,0,8,6,9,0,3,10,5,7,7,4,5,6,10,9,6,5,9,9,7,1,7,0,0,4,2,8,5,9,5,3,8,1,5,2,2,1,0,1,2,4,5,8,10,3,5,0,10,10,6,6,9,7,9,9,2,4,9,4,0
n37,5,6,10,10,7,4,8,1,2,9,5,9,8,0,3,4,8,7,8,10,8,4,0,9,2,0,3,10,4,2,1,8,6,9,0,3,10,5,7,7,4,5,6,10,9,6,5,9,9,7,1,7,0,4,4,2,8,5,9,5,3,8,1,0,2,2,1,3,1,2,0,5,8,10,3,5,0,10,9,6,6,9,7,9,9,0,4,9,4,0
n46,6,9,10,10,10,4,8,1,2,9,5,9,8,0,3,0,8,7,8,0,8,0,9,9,2,4,3,10,4,2,6,8,6,9,7,3,0,5,0,0,4,1,6,0,9,6,0,9,9,0,1,7,5,0,4,2,8,5,9,5,9,8,1,0,2,2,1,0,1,6,0,5,9,9,3,5,0,10,10,5,6,9,7,9,9,0,0,9,4,0
n45,6,9,10,10,0,4,8,1,2,9,5,9,8,10,3,0,8,7,8,0,8,0,9,9,2,4,3,10,4,2,6,8,6,9,0,3,0,5,0,0,4,1,6,0,9,6,0,9,9,0,1,7,5,0,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,6,0,5,9,9,3,5,0,10,10,5,6,9,7,9,9,0,8,9,4,0
n48,6,9,10,10,0,4,8,1,2,9,5,9,8,8,3,1,8,7,8,8,8,9,4,9,2,4,3,10,4,2,6,8,6,9,5,3,0,5,3,0,4,2,6,0,9,6,0,9,9,4,1,7,5,4,4,2,8,5,9,5,0,8,1,1,2,2,1,0,1,6,10,5,0,9,3,5,5,10,10,5,6,9,7,9,9,0,0,9,4,0
n47,6,9,10,10,0,4,8,1,2,9,5,9,8,8,3,1,8,7,8,8,8,0,0,9,2,4,3,10,4,2,6,8,6,9,0,3,0,5,3,0,4,0,6,6,9,6,0,9,9,0,1,7,5,4,4,2,8,5,9,5,0,8,1,0,2,2,1,0,1,6,10,5,0,9,3,5,0,10,10,5,6,9,7,9,9,0,8,9,4,4
n52,6,9,10,10,0,4,8,1,2,9,5,9,8,9,3,0,8,7,8,10,8,0,5,9,2,4,3,10,4,2,6,8,6,9,0,3,0,5,7,1,4,0,6,1,9,6,0,9,9,0,1,7,5,0,4,2,8,5,9,5,0,8,1,6,2,2,1,0,1,6,0,5,0,9,3,5,0,10,10,10,6,9,7,9,9,0,0,9,4,0
n51,6,9,10,10,0,4,8,1,2,9,5,9,8,0,3,0,8,7,8,10,8,0,5,9,2,4,3,10,4,2,6,8,6,9,0,3,0,5,2,1,4,0,6,1,9,6,0,9,9,0,1,7,5,0,4,2,8,5,9,5,6,8,1,6,2,2,1,0,1,6,0,5,4,9,3,5,0,10,10,10,6,9,7,9,9,0,7,9,4,0
n54,6,9,10,10,10,4,8,1,2,9,5,9,8,0,3,0,8,7,8,0,8,0,0,9,2,4,3,10,4,2,6,8,6,9,0,3,0,5,0,0,4,0,6,1,9,6,0,9,9,5,1,7,5,0,4,2,8,5,9,5,0,8,1,6,2,2,1,0,1,6,0,5,4,9,3,5,0,10,10,10,6,9,7,9,9,0,0,9,4,0
