cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,5,9,3,1,1,6,7,3,4,3,5,7,8,0,0,6,5,5,10,5,9,5,9,3,8,6,7,0,4,9,1,8,7,7,6,7,7,3,6,1,2,5,9,3,8,8,0,10,0,7
n15,5,9,3,1,1,6,0,3,4,3,5,7,8,0,1,6,5,5,10,5,9,5,9,3,8,6,7,0,4,9,1,8,7,7,6,4,7,3,6,1,2,5,9,3,8,8,0,10,0,7
n18,5,9,3,1,1,6,0,3,4,3,5,7,8,2,0,6,5,5,10,5,9,5,9,3,8,6,7,0,9,9,1,8,7,7,6,5,7,3,6,1,2,5,9,3,8,8,0,10,0,8
n17,5,9,3,1,1,6,0,3,4,3,5,7,8,2,0,6,5,5,10,5,9,5,9,3,8,6,7,2,9,9,1,8,7,7,6,5,7,3,6,1,2,5,9,3,8,8,0,10,0,0
n22,5,9,3,1,1,6,4,3,4,3,5,7,8,0,0,6,5,5,10,5,9,5,9,3,8,6,7,0,3,9,1,8,0,7,6,0,7,3,6,0,2,5,9,3,8,8,4,10,0,0
n21,5,9,3,1,1,6,4,3,4,3,5,7,8,5,7,6,5,5,10,5,9,5,9,3,8,6,7,5,3,9,1,8,0,7,6,0,7,3,6,0,2,5,9,3,8,8,4,10,0,0
n24,5,9,3,1,1,6,7,3,4,3,5,7,8,5,0,6,5,5,10,5,9,5,9,3,8,6,7,0,3,9,1,8,0,7,6,3,7,3,6,0,2,5,9,3,8,8,4,10,0,0
n23,5,9,3,1,1,6,7,3,4,3,5,7,8,5,0,6,5,5,10,5,9,5,9,3,8,6,7,0,3,9,1,8,0,7,6,3,7,3,6,0,2,5,9,3,8,8,4,10,8,0
n30,5,9,3,1,1,6,4,3,4,3,5,7,8,3,2,6,10,5,10,5,9,5,7,3,8,6,7,4,0,9,1,8,3,7,6,3,9,3,6,8,2,5,9,3,9,8,9,10,6,4
n29,5,9,3,1,1,6,0,3,4,3,5,7,8,3,2,6,10,5,10,5,9,5,7,3,8,6,7,4,0,9,1,8,3,7,6,3,9,3,6,8,2,5,9,3,9,8,9,10,6,4
