cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,7,2,7,7,8,0,10,4,6,0,6,10,7,7,0,2,0,8,8,4,8,8,6,1,8,5,5,0,6,3,8,2,1,6,0,7,0,1,1,8,0,10,4,9,2,5,7,6,9,5,7,5,5,9,7,0,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,2,1,5,5,9,9,3,3,7,7
n15,7,2,7,7,8,5,10,4,6,0,6,10,7,7,0,2,0,8,8,4,8,8,6,1,8,5,5,4,6,3,8,2,1,6,0,7,0,1,1,8,0,10,4,9,2,5,7,6,9,5,7,5,5,9,7,0,6,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,2,1,5,5,9,9,3,3,7,7
n18,7,2,7,7,8,0,10,0,6,0,6,10,0,7,2,2,2,8,8,4,8,8,6,1,8,2,5,0,6,3,0,2,1,6,0,7,0,1,1,8,0,10,4,0,2,5,7,6,9,5,7,5,5,9,7,3,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,2,1,5,5,0,9,3,3,7,7
n17,7,2,7,7,8,8,10,0,6,0,6,10,0,7,10,2,2,8,8,4,8,8,6,1,8,2,5,0,6,3,2,2,1,6,9,7,0,1,1,8,0,10,4,0,2,5,7,6,9,5,7,5,5,9,7,0,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,2,1,5,5,0,9,3,3,7,7
n22,7,2,7,7,8,3,0,8,6,0,6,10,3,1,0,2,10,8,8,4,8,8,6,1,8,0,0,0,0,3,0,2,1,6,0,7,0,1,1,8,10,10,4,9,2,5,7,0,9,5,7,5,5,9,7,10,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,0,1,5,5,5,9,3,3,9,7
n21,7,2,7,7,8,3,6,8,6,9,6,10,3,1,0,2,10,8,8,4,8,8,6,1,8,0,0,0,0,3,7,2,1,6,0,7,0,1,1,8,10,10,4,0,2,5,7,1,9,5,7,5,5,9,7,10,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,0,1,5,5,5,9,3,3,9,7
n24,7,2,7,7,8,0,0,8,6,0,6,10,0,1,6,2,10,8,8,4,8,8,6,1,8,3,0,0,0,3,0,2,1,6,9,7,0,1,1,8,10,10,4,0,2,5,7,6,9,5,7,5,5,9,7,10,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,9,1,5,5,6,9,3,3,0,7
n23,7,2,7,7,8,0,0,8,6,0,6,10,0,1,6,2,10,8,8,4,8,8,6,1,8,0,0,0,0,3,0,2,1,6,0,7,0,1,1,8,10,10,4,0,2,5,7,2,9,5,7,5,5,9,7,10,0,4,9,9,3,0,3,1,4,3,8,5,4,4,5,1,10,1,9,10,1,7,8,1,0,1,5,5,6,9,3,3,0,7
n30,7,0,7,7,8,0,10,0,6,0,6,10,1,10,4,2,0,8,8,4,8,8,6,0,0,2,7,5,4,3,0,2,1,6,0,7,0,1,1,8,1,10,4,0,2,5,8,6,9,5,7,9,5,9,7,9,3,10,0,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,0,8,10,9,1,5,5,6,0,3,3,8,7
n29,7,0,7,7,8,0,10,0,6,0,6,10,1,0,4,2,0,8,8,4,8,8,6,0,0,2,7,5,4,3,8,2,1,6,4,7,0,1,1,8,0,10,4,0,2,5,8,6,9,5,7,9,5,9,7,9,3,10,0,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,1,8,10,9,1,5,5,0,0,3,3,8,7
n32,7,0,7,7,8,0,10,0,6,8,6,10,1,0,10,2,2,8,8,4,8,8,6,9,0,2,0,5,4,3,3,2,1,6,6,7,0,1,1,8,10,10,4,3,2,5,8,0,9,5,7,9,5,9,7,9,3,10,0,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,10,8,10,9,1,5,5,0,7,3,3,0,7
n31,7,0,7,7,8,7,10,0,6,8,6,10,1,0,0,2,2,8,8,4,8,8,6,0,3,2,0,5,4,3,3,2,1,6,6,7,0,1,1,8,0,10,4,2,2,5,8,0,9,5,7,9,5,9,7,9,3,10,0,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,10,8,10,9,1,5,5,0,7,3,3,0,7
n36,7,2,7,7,8,3,10,0,6,0,6,10,3,0,0,2,0,8,8,4,8,8,6,0,0,2,1,0,0,3,2,2,1,6,0,7,0,1,1,8,0,10,4,0,2,5,8,10,9,5,7,9,5,9,7,9,3,10,7,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,0,8,1,4,1,5,5,0,0,3,3,9,7
n35,7,2,7,7,8,3,10,0,6,5,6,10,0,0,0,2,0,8,8,4,8,8,6,0,0,2,1,1,0,3,2,2,1,6,2,7,0,1,1,8,0,10,4,8,2,5,8,0,9,5,7,9,5,9,7,9,3,10,7,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,0,8,1,0,1,5,5,0,3,3,3,9,7
n38,7,0,7,7,8,8,10,0,6,0,6,10,0,6,5,2,0,8,8,4,8,8,6,6,3,2,0,0,0,3,0,2,1,6,0,7,0,1,1,8,5,10,4,0,2,5,8,0,9,5,7,9,5,9,7,9,3,10,0,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,0,8,5,0,1,5,5,0,9,3,3,1,7
n37,7,0,7,7,8,8,10,0,6,0,6,10,0,0,0,2,0,8,8,4,8,8,6,6,6,2,0,0,4,3,0,2,1,6,0,7,0,1,1,8,5,10,4,0,2,5,8,0,9,5,7,9,5,9,7,9,3,10,0,9,3,6,3,1,4,3,8,8,4,4,5,1,10,1,9,10,1,0,8,5,0,1,5,5,0,9,3,3,1,7
n46,0,0,7,7,8,10,8,0,6,6,0,10,9,6,2,2,5,8,8,4,8,8,6,10,2,0,9,0,2,3,9,0,1,1,0,7,9,1,1,8,0,7,4,8,2,5,0,0,9,5,7,3,5,9,7,3,2,4,0,9,3,7,3,1,4,3,0,0,4,4,5,1,10,1,9,8,1,0,8,4,8,0,8,5,8,4,3,3,1,7
n45,0,0,7,7,8,10,8,0,6,6,0,10,9,6,2,2,5,8,8,4,8,8,6,10,2,6,9,0,2,3,9,0,1,1,0,7,9,1,1,8,0,7,4,8,2,5,6,0,9,5,7,3,5,9,7,3,2,4,0,9,3,0,3,1,4,3,0,0,4,4,5,1,10,1,9,8,1,0,8,4,0,0,8,5,8,4,3,3,1,7
n48,0,0,7,7,8,10,8,0,6,6,0,10,9,6,2,2,5,8,8,4,8,8,6,10,2,0,9,0,10,3,9,0,1,1,0,7,9,1,1,8,0,7,4,8,2,5,7,0,9,5,7,3,5,9,7,3,2,4,2,9,3,7,3,1,4,3,0,0,4,4,5,1,10,1,9,8,1,9,8,4,3,7,8,5,4,4,3,3,1,7
n47,0,0,7,7,8,10,8,0,6,6,0,10,9,6,2,2,5,8,8,4,8,8,6,10,2,0,9,2,0,3,9,0,1,1,0,7,9,1,1,8,0,7,4,8,2,5,7,0,9,5,7,3,5,9,7,3,2,4,2,9,3,3,3,1,4,3,0,0,4,4,5,1,10,1,9,8,1,4,8,0,3,7,8,5,4,4,3,3,1,7
n52,0,0,7,7,8,10,8,0,6,3,3,10,9,6,2,2,2,8,8,4,8,8,6,10,2,8,9,0,0,3,0,0,1,0,10,7,8,1,1,8,4,7,4,8,2,5,4,1,9,5,7,3,5,9,7,6,2,4,0,9,3,7,3,1,4,3,3,9,4,4,5,1,10,1,9,9,1,1,8,0,7,4,8,5,7,0,3,3,1,7
n51,2,0,7,7,8,10,8,0,6,0,3,10,9,6,2,2,2,8,8,4,8,8,6,10,2,8,9,0,0,3,0,0,1,3,10,7,8,1,1,8,4,7,4,8,2,5,4,1,9,5,7,3,5,9,7,0,2,4,0,9,3,7,3,1,4,3,3,5,4,4,5,1,10,1,9,9,1,1,8,0,0,4,8,5,7,0,3,3,1,7
n54,7,7,7,7,8,10,8,0,6,0,3,10,9,6,2,2,2,8,8,4,8,8,6,10,2,8,9,0,0,3,0,0,1,0,0,7,8,1,1,8,0,7,4,8,2,5,4,1,9,5,7,3,5,9,7,0,2,4,10,9,3,7,3,1,4,3,0,0,4,4,5,1,10,1,9,0,1,1,8,0,0,0,8,5,7,8,3,3,1,7
n53,0,10,7,7,8,10,8,0,6,0,3,10,9,6,2,2,2,8,8,4,8,8,6,10,2,8,9,0,0,3,7,0,1,0,7,7,8,1,1,8,0,7,4,8,2,5,4,1,9,5,7,3,5,9,7,3,2,4,0,9,3,7,3,1,4,3,0,0,4,4,5,1,10,1,9,0,1,1,8,0,0,3,8,5,7,8,3,3,1,7
