cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,8,3,3,9,6,6,10,7,2,4,0,10,1,4,1,4,2,7,8,0,0,2,10,1,2,7,10,6,10,0,10,2,6,2,0,2,4,0,0,9,1,4,1,9,4,8,10,7,9,10,10,9,6,0,9,2,10,3,8,2,8,5,7,8,0,9,5,4,7,10,10,8,6,1,5,0,9,7,8,3,4,2,6,0,4,2,1,6,4,3
n15,8,3,3,9,6,6,10,7,2,4,0,10,1,4,1,0,2,7,8,0,7,2,10,1,2,7,10,6,10,6,10,2,6,2,0,2,4,0,0,9,1,4,1,9,4,8,10,7,9,10,10,9,6,0,9,2,10,3,8,2,8,5,7,8,0,0,5,4,7,10,10,8,6,1,5,0,9,0,8,3,4,2,6,0,4,2,1,6,4,3
n18,0,3,3,9,6,6,10,7,2,4,0,10,1,4,0,6,2,7,8,0,0,0,10,1,2,7,10,6,10,0,10,2,5,2,0,2,4,0,6,9,1,4,1,9,4,8,10,0,0,10,0,9,6,9,9,2,10,3,8,2,8,5,7,8,0,3,5,4,7,10,10,8,6,1,5,6,9,0,8,3,4,2,6,0,4,2,2,6,4,3
n17,0,3,3,9,6,6,10,7,2,4,0,10,1,4,0,4,2,7,8,0,0,0,10,1,2,7,10,6,10,0,10,2,0,2,0,2,4,0,6,9,1,4,1,9,4,8,10,0,0,10,0,9,6,9,9,2,10,3,8,2,8,5,7,8,7,3,5,4,7,10,10,8,6,1,5,0,9,7,8,3,4,2,6,0,4,2,0,6,4,3
n22,7,3,3,9,6,0,10,7,2,4,0,10,1,4,0,0,2,7,8,4,0,0,10,1,2,7,10,6,10,0,10,2,0,2,0,2,4,0,4,9,1,4,1,9,4,8,10,0,9,0,0,9,6,2,9,2,10,3,8,2,1,5,7,8,8,3,5,4,7,10,10,8,6,1,5,8,9,7,8,3,4,2,6,3,4,2,7,6,4,3
n21,0,3,3,9,6,7,10,7,2,4,0,10,1,4,0,0,2,7,8,4,0,0,10,1,2,7,10,6,10,0,10,2,0,2,0,2,4,4,4,9,1,4,1,9,4,8,10,0,9,0,0,9,6,2,9,2,10,3,8,2,1,5,7,8,8,3,5,4,7,10,10,8,6,1,5,8,9,7,8,3,4,2,6,0,4,2,7,6,4,3
n24,0,3,3,9,6,0,10,7,2,4,0,10,1,4,0,0,2,7,8,4,0,4,10,1,2,7,10,6,10,0,10,2,8,2,0,2,4,0,0,9,1,4,1,9,4,8,10,0,10,0,0,9,6,1,9,2,10,3,8,2,1,5,7,8,8,3,5,4,7,10,10,8,6,1,5,0,9,7,8,3,4,2,6,5,4,2,7,6,4,3
n23,10,3,3,9,6,0,10,7,2,4,0,10,1,4,0,0,2,7,8,4,0,0,10,1,2,7,10,6,10,9,10,2,8,2,3,2,4,0,8,9,1,4,1,9,4,8,10,0,10,0,0,9,6,0,9,2,10,3,8,2,1,5,7,8,8,3,5,4,7,10,10,8,6,1,5,10,9,7,8,3,4,2,6,5,4,2,7,6,4,3
n30,10,3,3,9,6,0,10,7,2,0,0,10,1,4,1,0,2,10,8,0,0,3,10,1,2,7,10,6,9,4,10,2,0,2,0,2,4,0,7,9,1,4,1,9,4,8,10,4,0,10,0,9,6,0,9,2,10,3,8,2,8,8,7,8,0,5,5,4,7,10,10,8,6,1,5,8,9,0,8,3,4,2,6,2,4,2,7,6,4,3
n29,10,3,3,9,6,0,10,7,2,0,0,10,1,4,1,0,2,10,8,0,10,3,10,1,2,7,10,6,9,4,10,2,0,2,3,2,4,3,7,9,1,4,1,9,4,8,10,0,0,10,0,9,6,0,9,2,10,3,8,2,8,8,7,8,0,5,5,4,7,10,10,8,6,1,5,8,9,0,8,3,4,2,6,2,4,2,7,6,4,3
