cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,3,4,4,3,5,10,4,0,0,7,8,6,4,10,0,5,4,7,4,2,8,9,9,6,4,5,5,6,7,9,4,7,2,3,1,6,3,8,6,6,2,7,7,9,2,10,9,0,0,8,0,3,6,6,8,4,0,8,0,8,6,10,1,7,6,5,1,8,0,10
n15,0,4,4,3,5,10,4,0,0,7,8,6,4,10,0,5,4,7,4,2,8,9,9,6,4,5,5,6,7,9,4,7,2,3,1,6,3,8,6,6,2,7,7,9,2,10,9,7,8,8,4,3,6,6,8,4,10,8,0,8,6,10,1,7,6,5,1,8,0,10
n18,0,4,4,3,0,10,4,9,0,7,8,6,4,10,0,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,7,2,3,1,6,3,8,6,6,2,7,7,9,2,10,9,4,0,8,2,3,6,6,8,4,6,8,0,8,6,10,1,7,6,5,1,8,3,10
n17,10,4,4,3,0,10,4,9,0,7,8,6,4,10,0,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,7,2,3,1,6,3,8,6,6,2,7,7,9,2,10,9,4,0,8,0,3,6,6,8,4,0,8,6,8,6,10,1,7,6,5,1,8,3,10
n22,0,4,4,3,0,10,4,0,0,7,8,6,4,10,0,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,0,2,3,1,6,3,8,6,6,2,7,7,9,2,10,5,0,0,8,0,3,6,6,8,4,7,8,9,8,6,10,1,7,6,5,1,8,0,10
n21,0,4,4,3,8,10,4,0,0,7,8,6,4,10,0,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,6,2,3,1,6,3,8,6,6,2,7,7,9,2,10,2,5,0,8,0,3,6,6,8,4,7,8,0,8,6,10,1,7,6,5,1,8,0,10
n24,4,4,4,3,0,10,4,0,0,7,8,6,4,10,0,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,0,2,3,1,6,3,8,6,6,2,7,7,9,2,10,0,0,0,8,0,3,6,6,8,4,0,8,3,8,6,10,1,7,6,5,1,8,0,10
n23,0,4,4,3,0,10,4,0,0,7,8,6,4,10,0,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,0,2,3,1,6,3,8,6,6,2,7,7,9,2,10,0,0,0,8,0,3,6,6,8,4,0,8,0,8,6,10,1,7,6,5,1,8,0,10
n30,8,4,3,3,9,10,4,8,4,7,8,6,4,10,5,5,4,7,4,2,8,8,9,6,4,5,5,6,7,9,4,0,2,3,1,6,5,8,6,6,2,7,7,0,2,9,0,5,7,8,1,3,6,6,8,4,0,8,3,8,6,10,1,7,6,0,1,8,0,10
n29,8,4,3,3,9,10,4,8,2,7,8,6,4,10,5,5,4,7,4,2,8,8,9,6,4,5,5,6,7,9,4,0,2,3,1,6,5,8,6,6,2,7,7,6,2,9,0,5,7,8,1,3,6,6,8,4,0,8,3,8,6,10,1,7,6,0,1,8,0,10
n32,8,4,3,3,9,10,4,0,4,7,8,6,4,10,5,5,4,7,4,2,8,8,9,6,4,5,5,6,7,9,4,1,2,3,1,6,0,8,6,6,2,7,7,0,2,9,0,0,0,8,1,3,6,6,8,4,0,8,0,8,6,10,1,7,6,0,1,8,8,10
n31,8,4,3,3,9,10,4,0,4,7,8,6,4,10,5,5,4,7,4,2,8,8,9,6,4,5,5,6,7,9,4,0,2,3,1,6,0,8,6,6,2,7,7,0,2,9,0,0,0,8,1,3,6,6,8,4,7,8,0,8,6,10,1,7,6,0,1,8,8,10
n36,0,4,3,3,3,10,4,1,0,7,8,6,4,10,5,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,0,2,3,1,6,0,8,6,6,2,7,7,8,2,9,0,2,0,8,8,3,6,6,8,4,0,8,0,8,6,10,1,7,6,4,1,8,3,10
n35,0,4,3,3,3,10,4,1,0,7,8,6,4,10,5,5,4,7,4,2,8,0,9,6,4,5,5,6,7,9,4,0,2,3,1,6,0,8,6,6,2,7,7,8,2,9,0,0,0,8,0,3,6,6,8,4,0,8,0,8,6,10,1,7,6,4,1,8,3,10
