cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,10,4,3,8,5,3,8,0,3,7,9,6,0,10,4,10,10,8,10,0,0,0,8,7,0,3,3,5,4,2,9,6,5,2,7,0,9,1,0,0,1,9,4,5,9,6,0,4,2,9,1,3,4,0,10,7,3,0,0,0,0,3,3,9,3,9,0,9,0,3,2,0,1,2,4,9,10,5,5,0,5,0,0,1,6,1,10,5,9,4
n15,10,4,3,8,5,3,8,0,3,7,9,6,0,10,4,10,10,8,10,0,0,0,8,7,0,3,3,5,4,2,0,6,5,2,7,0,9,1,0,0,1,9,0,5,9,6,0,4,2,9,1,3,4,0,10,0,3,0,0,0,0,3,3,9,0,9,0,9,0,3,2,3,1,2,4,9,10,5,0,8,5,0,0,1,6,1,10,5,9,4
n18,10,4,3,8,5,3,8,0,3,7,9,6,0,10,4,10,10,8,10,0,0,4,8,7,7,3,3,5,4,2,1,6,5,2,7,0,9,1,0,7,1,9,6,5,9,6,9,0,2,9,1,3,4,10,10,0,3,1,0,0,9,3,3,9,0,9,1,9,0,3,4,0,1,2,0,9,10,5,0,10,5,10,8,1,6,1,10,5,9,4
n17,10,4,3,8,5,3,8,0,3,7,9,6,0,10,4,10,10,8,10,0,0,9,8,7,0,3,3,5,4,2,1,6,5,2,7,8,9,1,0,7,1,9,6,5,9,6,9,3,2,9,1,3,4,10,10,0,3,1,0,0,0,3,3,9,0,9,1,9,0,3,0,2,1,2,0,9,10,5,7,0,5,10,8,1,6,1,10,5,9,4
n22,10,4,3,8,5,3,8,0,3,7,9,6,9,10,4,10,10,1,10,0,0,0,8,7,0,3,3,5,4,2,7,6,5,2,7,3,9,1,0,2,1,3,0,5,9,6,3,2,2,9,1,3,4,2,10,0,3,4,0,1,0,0,3,9,0,9,0,1,0,3,0,6,1,2,10,9,10,5,0,2,5,2,0,1,6,1,10,5,9,4
n21,10,4,3,8,5,3,8,0,3,7,9,6,9,10,4,10,10,1,10,0,0,0,8,7,0,3,3,5,4,2,7,6,5,2,7,3,9,1,0,2,1,3,0,5,9,6,3,2,2,9,1,3,4,2,10,0,3,4,0,1,0,0,3,9,9,9,0,1,0,3,3,0,1,2,10,9,10,5,0,2,5,2,0,1,6,1,10,5,9,4
n24,10,4,3,8,5,3,8,0,3,7,9,6,9,10,4,10,10,0,10,0,9,2,8,7,0,3,3,5,4,2,7,6,5,2,7,0,9,1,0,2,1,0,6,5,9,6,3,2,2,9,1,3,4,0,10,0,3,0,0,0,3,0,3,9,0,9,0,10,0,3,0,0,1,2,0,9,10,5,0,2,5,2,0,1,6,1,10,5,9,4
n23,10,4,3,8,5,3,8,0,3,7,9,6,9,10,4,10,10,10,10,7,0,0,8,7,0,3,3,5,4,2,7,6,5,2,7,0,9,1,0,2,1,0,0,5,9,6,3,2,2,9,1,3,4,0,10,0,3,0,0,0,3,0,3,9,2,9,0,10,0,3,0,0,1,2,0,9,10,5,0,2,5,2,0,1,6,1,10,5,9,4
n30,10,4,3,8,5,3,0,5,3,7,9,6,9,10,4,10,10,0,0,0,10,3,8,7,0,3,3,0,4,2,7,6,5,2,7,4,9,1,2,10,1,9,8,5,9,6,0,2,2,9,1,3,4,10,10,0,3,2,0,2,0,1,3,9,9,9,6,9,8,3,0,9,10,2,0,9,10,5,1,0,5,8,0,1,6,1,10,5,9,4
n29,10,4,3,8,5,3,0,0,3,7,9,6,9,10,4,10,10,0,0,0,10,3,8,7,0,3,3,0,4,2,7,6,5,2,7,4,9,1,2,10,1,9,8,5,9,6,0,2,2,9,1,3,4,0,10,0,3,2,0,2,0,1,3,9,9,9,6,9,8,3,0,9,10,2,0,9,10,5,10,0,5,8,0,1,6,1,10,5,9,4
