cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,5,4,8,4,1,6,0,10,5,5,7,5,5,7,0,8,9,5,5,0,10,4,6,10,8,6,0,5,9,10,9,2,5,0,0,0,9,6,5,1,5,0,0,6,0,3,5,4,3,9,6,4,3,5,7,1,4,8,1,4,10,3,4,4,3,3,7,1,6,5,5,10,0,8,10,0,6,6,0,10,2,4,4,4,6,0,1,0,8,8
n15,5,4,8,4,1,6,3,10,5,5,7,5,5,7,7,8,0,5,5,0,10,4,6,10,8,6,8,5,9,10,1,2,5,0,0,0,9,6,5,1,5,1,0,6,0,3,5,4,3,9,0,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,7,1,6,5,5,10,0,8,0,0,6,6,0,10,2,4,4,4,6,0,1,0,8,1
n18,5,4,8,4,1,6,5,10,5,5,7,5,5,7,0,8,3,5,5,7,10,4,6,10,8,6,3,5,9,10,0,2,5,0,9,0,9,6,5,1,5,1,0,6,1,3,5,4,3,9,8,8,3,5,7,1,4,8,1,4,10,3,4,4,3,3,7,1,6,5,5,10,7,8,0,0,6,6,7,10,2,4,4,4,6,7,1,9,8,0
n17,5,4,8,4,1,6,0,10,5,5,7,5,5,7,0,8,3,5,5,7,10,4,6,10,8,6,0,5,9,10,0,2,5,0,0,6,9,6,5,1,5,1,10,6,0,3,5,4,3,9,7,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,7,1,6,5,5,10,7,8,1,6,6,6,7,10,2,4,4,4,6,0,1,9,8,6
n22,5,4,8,4,1,6,0,10,5,5,7,5,5,7,0,8,0,5,3,0,10,0,6,10,8,6,2,5,9,10,1,2,5,6,0,2,9,6,5,1,10,3,7,6,0,3,5,4,3,9,0,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,0,1,6,5,5,10,0,8,0,10,6,6,0,10,2,4,0,4,6,10,1,0,8,1
n21,5,4,8,4,1,6,0,10,5,5,7,5,5,7,0,8,0,5,2,0,10,0,6,10,8,6,2,5,9,10,1,2,5,6,0,2,9,6,5,1,10,3,0,6,0,3,5,4,3,9,8,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,0,1,6,5,5,10,0,8,0,0,6,6,2,10,2,4,7,4,6,10,1,0,8,0
n24,5,4,8,4,1,6,0,10,2,5,7,5,5,7,5,8,0,5,0,6,10,0,6,10,8,6,0,5,9,10,1,2,5,0,0,0,9,6,5,1,0,0,0,6,0,3,5,4,3,9,0,2,3,5,7,1,4,8,1,4,10,3,4,4,3,3,3,1,6,5,5,10,9,8,0,0,6,6,0,10,2,4,6,4,6,0,1,7,8,2
n23,5,4,8,4,1,6,0,10,2,5,7,5,5,7,0,8,0,5,0,6,10,0,6,10,8,6,0,5,9,10,1,2,5,0,0,0,9,6,5,1,2,4,0,6,0,3,5,4,3,9,0,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,3,1,6,5,5,10,4,8,0,0,6,6,1,10,2,4,6,4,6,10,1,0,8,2
n30,5,4,8,3,1,6,0,10,7,5,7,5,5,7,9,8,6,5,0,0,10,10,6,10,8,6,0,5,9,8,8,2,5,4,0,2,9,6,5,1,0,3,8,6,3,3,5,4,3,9,0,5,3,5,7,1,4,8,1,4,10,3,4,4,3,3,6,1,6,5,8,0,2,8,8,5,4,6,0,10,2,0,0,4,6,3,1,0,8,8
n29,5,4,8,3,1,6,0,10,7,5,7,5,5,7,9,8,6,5,0,0,10,10,6,10,8,6,0,5,9,0,8,2,5,0,0,0,9,6,5,1,0,0,8,6,0,3,5,4,3,9,3,5,3,5,7,1,4,8,1,4,10,3,4,4,3,3,6,1,6,5,8,6,2,8,8,5,4,6,0,10,2,10,0,4,6,3,1,0,8,8
n32,5,4,8,3,1,6,0,10,7,5,7,5,5,7,9,8,6,5,0,0,10,10,6,10,8,6,0,5,9,0,0,2,5,0,0,0,9,6,5,1,1,0,8,6,0,3,5,4,3,9,0,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,6,1,6,5,8,10,2,8,8,5,4,6,0,10,2,0,0,4,6,0,1,1,8,8
n31,5,4,8,3,1,6,0,10,0,5,7,5,5,7,9,8,6,5,0,0,10,10,6,10,8,6,0,5,9,0,0,2,5,1,9,0,9,6,5,1,0,6,8,6,0,3,5,4,3,9,0,0,3,5,7,1,4,8,1,4,10,3,4,4,3,3,6,1,6,5,8,0,2,8,8,5,4,6,0,10,2,0,0,4,6,0,1,4,8,8
