cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,3,7,4,1,0,9,1,10,8,6,3,9,6,4,1,0,0,1,4,0,3,8,3,0,8,1,6,6,4,0,0,4,6,5,0,0,3,5,5,8,0,0,5,4,9,0,9,4,8,6,3,0,9,7,3,0,9,7,0,1,4,2,3,7,7,8,6,7,0,0,1,0,8,6,0,7,8,9,2,7,0,6,6,5,1,1,10,6,2,1
n15,3,7,4,1,6,9,1,10,8,6,3,9,6,4,1,0,0,1,4,0,3,8,3,5,0,1,6,6,4,0,1,4,6,5,0,0,3,5,5,8,0,7,5,4,9,0,9,4,8,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,8,6,7,0,0,1,5,4,6,0,7,8,9,2,7,0,6,6,5,1,1,10,6,2,1
n18,3,0,4,1,7,9,1,5,8,6,3,9,6,4,1,0,0,1,4,5,3,8,3,0,2,1,6,6,4,2,0,4,6,5,0,0,3,5,5,8,0,3,5,4,0,0,9,4,8,6,3,9,9,7,3,2,9,7,6,1,4,2,3,7,7,8,6,7,3,0,0,0,4,6,2,7,8,9,2,7,2,6,6,5,1,1,10,6,2,1
n17,3,0,4,1,7,9,1,5,8,6,3,9,6,4,1,2,5,1,4,0,3,8,3,0,2,1,6,6,4,2,0,4,6,5,0,10,3,5,5,8,0,3,5,4,0,0,9,4,8,6,3,0,9,7,3,2,9,7,0,1,4,2,3,7,7,8,6,7,0,0,0,0,7,6,2,7,8,9,2,7,2,6,6,5,1,1,10,6,2,1
n22,3,0,4,1,10,9,1,0,8,6,3,9,0,4,1,7,0,1,4,5,3,8,3,2,2,1,6,6,4,3,1,4,6,5,0,2,3,5,5,8,7,7,5,4,0,0,9,4,8,6,3,0,9,7,3,0,9,7,10,1,4,2,3,7,7,8,6,7,10,10,0,0,10,6,6,7,8,9,2,7,4,6,8,5,1,0,10,0,2,1
n21,3,0,4,1,10,9,1,0,8,6,3,9,0,4,1,9,0,1,4,5,3,8,3,2,2,1,6,6,4,3,1,4,6,5,0,2,3,5,5,8,0,7,5,4,0,0,9,4,8,6,3,0,9,7,3,0,9,7,10,1,4,2,3,7,7,8,6,7,10,10,0,2,10,6,6,7,8,9,2,7,4,6,0,5,1,0,10,0,2,1
n24,3,4,4,1,4,9,1,7,8,6,3,9,0,4,1,0,10,1,0,5,3,8,3,0,2,1,6,6,4,3,1,4,6,5,9,6,3,5,5,8,0,0,5,4,0,0,9,4,8,6,3,8,9,7,3,0,9,7,6,1,4,2,3,7,7,8,6,7,0,10,0,0,0,6,0,7,8,9,2,7,4,6,0,5,1,0,10,0,2,1
n23,3,4,4,1,0,9,1,7,8,6,3,9,0,4,1,0,0,1,0,5,3,8,3,0,2,1,6,6,4,3,1,4,6,5,9,6,3,5,5,8,0,0,5,4,0,0,9,4,8,6,3,8,9,7,3,0,9,7,6,1,4,2,3,7,7,8,6,7,0,10,0,0,0,6,0,7,8,9,2,7,4,6,0,5,1,0,10,0,2,1
n30,3,4,4,1,5,9,1,1,8,6,3,9,3,4,1,0,2,1,6,7,3,8,3,5,6,1,6,6,4,0,8,4,6,5,0,0,3,5,5,8,0,0,5,4,7,0,9,8,8,6,3,9,9,7,3,5,9,7,0,1,4,2,3,7,7,8,6,7,9,0,6,0,2,6,0,7,8,10,2,10,6,6,0,5,1,0,10,10,2,1
n29,3,4,4,1,5,9,1,1,8,6,3,9,3,4,1,0,2,1,6,0,3,8,3,5,6,1,6,6,4,0,8,4,6,5,0,0,3,5,5,8,0,0,5,4,7,3,9,8,8,6,3,3,9,7,3,0,9,7,0,1,4,2,3,7,7,8,6,7,9,0,9,0,2,6,0,7,8,10,2,10,0,6,0,5,1,0,10,0,2,1
n32,3,0,4,1,0,9,1,1,8,6,3,9,3,4,1,6,0,1,6,0,3,8,3,5,6,1,6,6,4,0,8,4,6,5,0,0,3,5,5,8,0,4,5,4,7,0,9,7,8,6,3,0,9,7,3,0,9,7,0,1,4,2,3,7,7,8,6,7,6,5,0,0,2,6,10,7,8,0,2,10,0,6,4,5,1,0,10,2,2,1
n31,3,0,4,1,1,9,1,1,8,6,3,9,3,4,1,0,0,1,6,4,3,8,3,5,6,1,6,6,4,0,8,4,6,5,0,0,3,5,5,8,0,4,5,4,7,0,9,7,8,6,3,0,9,7,3,0,9,7,0,1,4,2,3,7,7,8,6,7,0,5,0,0,2,6,0,7,8,0,2,10,0,6,8,5,1,0,10,2,2,1
n36,3,0,4,1,0,9,1,1,8,6,3,9,3,4,1,1,3,1,5,0,3,8,3,8,6,1,6,6,4,0,0,4,6,5,0,8,3,5,5,8,0,0,5,4,7,7,9,0,8,6,3,0,9,7,3,9,9,7,2,1,4,2,3,7,7,8,6,7,0,0,8,0,0,6,1,7,8,10,2,0,0,6,0,5,1,0,10,0,2,1
n35,3,0,4,1,0,9,1,1,8,6,3,9,3,4,1,0,3,1,0,0,3,8,3,0,6,1,6,6,4,0,8,4,6,5,0,8,3,5,5,8,0,0,5,4,7,0,9,0,8,6,3,0,9,7,3,9,9,7,2,1,4,2,3,7,7,8,6,7,6,0,8,0,0,6,1,7,8,10,2,0,0,6,0,5,1,0,10,0,2,1
n38,3,0,4,1,0,9,1,1,8,6,3,9,3,4,1,0,0,1,0,3,3,8,3,0,6,1,6,6,4,0,10,4,6,5,6,8,3,5,5,8,0,0,5,4,7,0,9,9,8,6,3,0,9,7,3,0,9,7,2,1,4,2,3,7,7,8,6,7,7,0,8,0,0,6,0,7,8,10,2,0,0,6,4,5,1,10,10,1,2,1
n37,3,0,4,1,0,9,1,1,8,6,3,9,3,4,1,0,8,1,0,3,3,8,3,0,6,1,6,6,4,0,10,4,6,5,0,8,3,5,5,8,0,0,5,4,7,0,9,0,8,6,3,0,9,7,3,0,9,7,2,1,4,2,3,7,7,8,6,7,0,0,8,8,0,6,0,7,8,10,2,0,0,6,4,5,1,0,10,1,2,1
n46,3,5,4,1,0,9,1,0,8,6,3,2,1,4,1,4,2,1,6,4,3,6,3,0,0,1,6,6,4,0,8,4,3,0,1,7,3,4,5,8,4,3,5,4,6,3,7,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,0,3,7,0,0,8,2,3,6,0,7,8,0,2,10,0,6,0,5,1,4,10,0,2,0
n45,3,0,4,1,0,9,1,0,8,6,3,2,0,4,1,4,2,1,6,4,3,6,3,0,0,1,6,6,4,0,8,4,3,0,10,7,3,4,5,8,4,3,5,4,0,3,7,2,0,6,3,7,9,7,3,0,9,7,4,1,4,2,3,7,7,0,3,7,0,0,8,2,3,6,0,7,8,0,2,10,3,6,0,5,1,4,10,0,2,0
n48,3,0,4,1,0,9,1,0,8,6,3,0,0,4,1,4,2,1,6,4,3,6,3,9,0,1,6,6,4,0,0,4,3,4,0,7,3,4,5,8,4,3,5,4,0,3,7,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,1,3,7,0,0,8,2,3,6,0,7,8,6,2,10,0,6,6,5,1,4,10,0,2,0
n47,3,0,4,1,0,9,1,0,8,6,3,0,0,4,1,4,2,1,6,4,3,6,3,9,0,1,6,6,4,0,0,4,3,3,0,7,3,4,5,8,4,3,5,4,0,3,7,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,1,3,7,0,0,8,2,3,6,0,7,8,0,2,10,0,6,6,5,1,4,10,0,2,0
n52,3,4,4,1,0,9,1,0,8,6,3,3,0,4,1,4,2,1,6,4,3,6,3,0,7,1,6,6,4,0,5,4,0,3,0,7,3,4,5,8,4,3,5,4,0,3,7,2,7,6,3,6,9,7,3,7,9,7,4,1,4,2,3,7,7,10,3,7,6,6,3,2,3,6,0,7,8,0,2,10,0,6,0,5,1,4,10,0,2,7
n51,3,4,4,1,0,9,1,5,8,6,3,3,0,4,1,4,2,1,6,4,3,6,3,0,7,1,6,6,4,0,8,4,0,3,0,7,3,4,5,8,4,3,5,4,9,3,7,2,0,6,3,6,9,7,3,7,9,7,4,1,4,2,3,7,7,10,3,7,6,6,0,2,3,6,0,7,8,0,2,10,8,6,0,5,1,4,10,0,2,7
n54,3,0,4,1,0,9,1,0,8,6,3,10,1,4,1,4,2,1,6,4,3,6,3,5,6,1,6,6,4,1,9,4,0,3,0,7,3,4,5,8,4,3,5,4,0,3,7,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,10,3,7,2,6,0,2,3,6,0,7,8,1,2,10,0,6,0,5,1,4,10,0,2,7
n53,3,0,4,1,0,9,1,0,8,6,3,0,1,4,1,4,2,1,6,4,3,6,3,5,6,1,6,6,4,1,0,4,10,3,0,7,3,4,5,8,4,3,5,4,0,3,7,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,10,3,7,2,6,0,2,3,6,0,7,8,1,2,10,0,6,0,5,1,4,10,3,2,7
n60,3,0,4,1,5,9,1,0,8,6,3,10,6,4,1,0,2,1,6,4,3,6,3,1,7,1,6,6,4,3,7,4,3,8,0,7,3,4,5,8,0,3,5,4,0,0,10,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,0,3,7,0,3,0,2,6,6,4,7,8,7,2,0,3,6,10,5,1,4,10,2,2,0
n59,3,5,4,1,0,9,1,0,8,6,3,10,6,4,1,0,2,1,6,4,3,6,3,1,7,1,6,6,4,3,7,4,3,8,0,7,3,4,5,8,0,3,5,4,0,3,10,2,0,6,3,0,9,7,3,0,9,7,4,1,4,2,3,7,7,0,3,7,0,3,0,2,6,6,4,7,8,7,2,9,3,6,10,5,1,4,10,2,2,0
n62,3,1,4,1,0,9,1,0,8,6,3,10,0,4,1,0,2,1,6,4,3,6,3,1,7,1,6,6,4,2,7,4,3,0,0,7,3,4,5,8,0,3,5,4,0,0,10,2,0,6,3,5,9,7,3,2,9,7,4,1,4,2,3,7,7,0,3,7,0,3,0,2,6,6,4,7,8,0,2,0,3,6,4,5,1,4,10,2,2,1
n61,3,0,4,1,0,9,1,0,8,6,3,10,0,4,1,0,2,1,6,4,3,6,3,1,7,1,6,6,4,0,7,4,3,0,0,7,3,4,5,8,6,3,5,4,0,0,10,2,0,6,3,0,9,7,3,2,9,7,4,1,4,2,3,7,7,0,3,7,0,3,0,2,6,6,4,7,8,0,2,0,3,6,0,5,1,4,10,2,2,0
n66,3,2,4,1,5,9,1,0,8,6,3,10,0,4,1,3,2,1,6,4,3,6,3,1,7,1,6,6,4,0,7,4,3,0,3,7,3,4,5,8,6,3,5,4,0,0,0,2,1,6,3,10,9,7,3,1,9,7,4,1,4,2,3,7,7,0,3,7,0,0,0,2,6,6,4,7,8,0,2,0,9,6,0,5,1,4,10,2,2,0
n65,3,2,4,1,0,9,1,0,8,6,3,10,0,4,1,3,2,1,6,4,3,6,3,1,7,1,6,6,4,9,7,4,3,0,3,7,3,4,5,8,6,3,5,4,0,0,0,2,1,6,3,10,9,7,3,1,9,7,4,1,4,2,3,7,7,0,3,7,0,0,0,2,6,6,4,7,8,0,2,0,9,6,0,5,1,4,10,2,2,0
n68,3,2,4,1,0,9,1,0,8,6,3,10,0,4,1,0,2,1,6,4,3,6,3,1,7,1,6,6,4,10,7,4,3,0,0,7,3,4,5,8,0,3,5,4,5,0,8,2,0,6,3,6,9,7,3,1,9,7,4,1,4,2,3,7,7,0,3,7,8,0,3,2,6,6,4,7,8,0,2,10,9,6,7,5,1,4,10,2,2,8
n67,3,2,4,1,10,9,1,0,8,6,3,10,0,4,1,0,2,1,6,4,3,6,3,1,7,1,6,6,4,10,7,4,3,0,0,7,3,4,5,8,0,3,5,4,5,0,8,2,1,6,3,6,9,7,3,1,9,7,4,1,4,2,3,7,7,0,3,7,0,0,0,2,6,6,4,7,8,0,2,0,9,6,7,5,1,4,10,2,2,8
n78,3,0,4,1,6,9,1,1,8,6,3,0,3,4,1,0,1,1,7,4,3,1,3,0,0,1,4,6,4,0,2,4,0,10,8,7,3,9,5,8,5,0,0,4,9,4,1,2,0,6,4,0,9,7,4,1,9,7,0,1,4,2,3,7,7,6,9,7,3,5,6,0,0,0,0,7,8,2,3,8,1,6,10,5,1,6,10,0,2,0
n77,3,0,4,1,6,9,1,1,8,6,3,2,3,4,1,0,1,1,7,4,3,1,3,0,0,1,4,6,4,0,2,4,0,10,8,7,3,9,5,8,5,0,0,4,9,4,0,2,0,6,0,0,9,7,4,1,9,7,0,1,4,2,3,7,7,6,9,7,3,5,6,0,0,5,0,7,8,2,3,8,1,6,10,5,1,6,10,0,2,0
n80,3,0,4,1,6,9,1,1,8,6,3,0,3,4,1,6,1,1,7,4,3,1,3,8,0,1,4,6,4,0,2,4,0,10,8,5,3,9,5,8,5,2,3,4,9,0,3,2,0,6,0,0,9,7,4,1,9,7,0,1,4,2,3,7,7,6,9,7,3,5,6,3,0,0,0,7,8,2,3,8,0,6,10,5,1,6,10,0,2,0
n79,3,0,4,1,6,9,1,1,8,6,3,0,3,4,1,0,1,1,7,4,3,1,3,0,0,1,4,6,4,0,2,4,0,10,8,5,3,9,5,8,5,2,3,4,9,0,0,2,0,6,0,0,9,7,4,1,9,7,5,1,4,2,3,7,7,6,9,7,3,5,6,0,0,0,0,7,8,2,3,8,0,6,10,5,1,6,10,0,2,0
n84,3,0,4,1,6,9,1,1,8,6,3,8,3,4,1,0,1,1,7,4,3,1,3,0,4,1,4,6,4,0,2,4,2,10,8,6,3,9,5,8,5,5,9,4,7,0,0,2,0,6,3,8,9,7,0,1,9,7,0,1,4,2,3,7,7,6,0,7,3,5,6,0,10,0,4,7,8,2,3,8,4,6,10,5,1,0,10,0,2,6
