cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,6,2,5,6,0,10,1,7,8,0,8,6,10,10,4,6,1,4,7,2,10,10,4,4,9,10,2,0,8,0,7,10,0,1,6,2,10,5,0,0,10,6,1,3,0,4,0,6,2,0,5,0,7,0,10,10,3,7,1,4,1,6,5,2,4,4,10,4,9,3
n15,6,2,5,6,0,10,1,7,8,0,8,6,10,10,4,6,1,4,7,2,10,10,4,4,9,10,2,10,0,0,7,10,8,7,6,2,0,5,0,0,10,6,1,3,0,4,0,6,2,0,5,0,7,0,10,10,3,7,1,4,1,6,5,0,4,4,10,4,9,3
n18,6,2,5,6,8,10,1,7,8,1,8,6,10,10,4,6,1,0,7,2,10,10,4,4,9,10,2,2,5,0,7,10,0,0,6,2,0,5,0,0,10,6,1,3,10,4,0,6,0,7,5,7,7,5,10,10,3,7,1,4,1,6,5,0,4,4,10,4,9,3
n17,6,2,5,6,0,10,1,7,8,1,8,6,10,10,4,6,1,0,7,2,10,10,4,4,9,10,2,2,0,0,7,10,0,0,6,2,0,5,0,0,10,6,1,3,10,4,5,6,4,7,5,0,7,0,10,10,3,7,1,4,1,6,5,3,4,4,10,4,9,3
n22,6,2,5,6,0,10,1,8,8,0,0,6,10,10,0,6,1,6,7,3,10,10,4,4,9,10,2,2,3,1,7,10,1,0,6,2,3,5,8,8,10,6,1,3,0,4,0,6,2,0,5,5,7,0,10,10,3,7,1,4,1,6,5,4,4,4,10,4,9,3
n21,6,2,5,6,0,10,1,8,8,7,0,6,10,10,0,6,1,10,7,3,10,10,4,4,9,10,2,2,3,1,7,10,1,0,6,2,3,5,8,8,10,6,1,3,0,4,1,6,2,0,5,5,7,10,10,10,3,7,1,4,1,6,5,4,4,4,10,4,9,3
n24,6,2,5,6,0,10,1,8,8,0,2,6,10,10,0,6,1,0,7,3,10,10,4,4,9,10,2,10,0,7,7,10,1,3,6,2,3,5,0,0,10,6,1,3,10,4,9,6,4,0,5,5,7,3,10,10,3,7,1,4,1,6,5,4,4,4,10,4,9,3
n23,6,2,5,6,0,10,1,8,8,0,2,6,10,10,0,6,1,0,7,3,10,10,4,4,9,10,2,10,5,0,7,10,1,3,6,2,3,5,2,0,10,6,1,3,10,4,9,6,4,0,5,5,7,0,10,10,3,7,1,4,1,6,5,4,4,4,10,4,9,3
n30,6,2,5,6,0,10,1,8,8,0,0,6,10,10,0,0,1,0,7,5,10,10,4,4,9,10,2,0,4,10,7,10,0,0,6,2,6,5,8,0,10,6,1,3,10,4,4,6,4,2,5,2,7,0,0,10,3,7,1,4,0,6,5,0,0,4,10,4,9,3
n29,6,2,5,6,0,10,1,0,8,4,0,6,10,10,1,6,1,0,7,5,10,10,4,4,9,10,2,0,4,10,7,10,0,0,6,2,6,5,8,0,10,6,1,3,10,4,4,6,4,2,5,2,7,0,0,10,3,7,1,4,0,6,5,0,0,4,10,4,9,3
n32,6,2,5,6,0,10,1,5,8,0,9,6,10,10,0,3,1,7,7,5,10,10,4,4,9,10,2,0,0,10,7,10,1,0,6,2,3,5,8,0,2,6,1,3,10,4,4,6,4,2,5,2,7,0,7,10,3,7,1,4,0,6,5,0,0,4,10,4,9,3
n31,6,2,5,6,5,10,1,5,8,0,9,6,10,10,0,9,1,7,7,5,10,10,4,4,9,10,2,0,0,10,7,10,10,0,6,2,0,5,8,5,0,6,1,3,10,4,4,6,4,2,5,2,7,0,7,10,3,7,1,4,3,6,5,0,0,4,10,4,9,3
n36,6,2,5,6,0,10,1,0,8,0,0,6,10,10,0,0,1,0,7,5,10,10,4,4,9,10,2,6,0,0,7,10,0,8,6,2,0,5,0,6,0,6,1,3,10,4,0,6,4,2,5,2,7,7,4,10,3,7,1,4,3,6,5,0,0,4,10,4,9,3
n35,6,2,5,6,0,10,1,0,8,0,0,6,10,10,0,3,1,0,7,5,10,10,4,4,9,10,2,6,0,0,7,10,0,8,6,2,0,5,2,6,0,6,1,3,10,4,0,6,4,2,5,2,7,7,4,10,3,7,1,4,3,6,5,0,0,4,10,4,9,3
n38,6,2,5,6,5,10,1,1,8,0,0,6,10,10,1,7,1,10,7,5,10,10,4,4,9,10,2,7,0,8,7,10,0,8,6,2,4,5,0,6,0,6,1,3,10,4,0,6,4,2,5,2,7,7,4,10,3,7,1,4,3,6,5,0,0,4,10,4,9,3
