cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,0,4,9,10,10,4,8,5,3,1,10,5,4,5,1,3,3,6,6,2,0,0,6,4,9,0,8,5,0,6,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,9,4,0,8,10,2,0,5,7,8,6,2,4,1,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,0,10,0,1,10,1
n15,1,4,9,10,10,4,8,5,3,1,10,5,4,5,1,3,3,6,6,2,0,0,6,4,9,0,8,5,0,6,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,9,4,0,8,10,2,0,5,7,8,6,2,4,1,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,0,0,0,1,10,1
n18,0,4,9,10,10,0,8,5,6,1,10,5,4,5,1,3,3,6,6,2,0,0,6,4,9,0,8,5,0,6,9,2,9,6,3,5,10,9,8,1,3,5,6,6,5,3,9,4,0,8,10,2,0,5,7,8,6,2,4,1,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,2,0,0,1,10,1
n17,4,4,9,10,10,0,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,0,6,4,9,0,8,5,0,6,9,2,9,6,3,5,10,9,8,1,3,5,6,6,5,3,9,4,0,8,10,2,3,5,7,8,6,2,4,1,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,6,2,3,4,0,8,0,1,10,1
n22,1,4,9,10,10,0,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,5,6,4,9,10,8,5,0,2,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,9,4,2,8,10,2,0,5,7,8,6,2,4,9,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,0,4,0,1,10,1
n21,1,4,9,10,10,0,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,5,6,4,9,10,8,5,4,2,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,9,4,2,8,10,2,0,5,7,8,6,2,4,9,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,0,4,3,1,10,1
n24,1,4,9,10,10,6,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,0,6,4,9,10,8,5,7,2,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,9,4,0,8,10,2,0,5,7,8,6,2,4,0,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,0,4,6,1,10,1
n23,1,4,9,10,10,8,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,0,6,4,9,10,8,5,7,2,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,9,4,0,8,10,2,8,5,7,8,6,2,4,0,9,1,3,5,7,5,2,8,5,8,9,1,9,2,4,10,7,1,6,10,0,2,3,4,8,4,6,1,10,1
n30,7,4,9,10,10,0,8,5,4,1,10,5,4,5,1,3,3,6,6,2,3,0,9,4,9,0,8,5,4,7,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,0,4,1,8,10,2,7,5,7,8,6,2,4,0,9,1,3,5,7,5,0,0,5,8,9,0,9,2,4,10,7,1,6,10,2,2,3,4,2,0,0,1,10,1
n29,7,4,9,10,10,0,8,5,0,1,10,5,4,5,1,3,3,6,6,2,3,0,0,4,9,0,8,5,4,7,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,0,4,0,8,10,2,7,5,7,8,6,2,4,0,9,1,3,5,7,5,0,0,5,8,9,0,9,2,4,10,7,1,6,10,2,2,3,4,2,0,7,1,10,1
n32,7,4,9,10,10,10,8,5,0,1,10,5,4,5,1,3,3,6,6,2,10,5,9,4,9,0,8,5,4,7,9,2,9,6,3,5,10,9,8,1,3,5,6,10,5,3,10,4,6,8,10,2,0,5,7,8,6,2,4,0,9,1,3,5,7,5,5,0,5,8,9,10,9,2,4,10,7,1,6,10,2,2,3,4,2,0,0,1,10,1
n31,7,4,9,10,10,10,8,5,0,1,10,5,4,5,1,3,3,6,6,2,10,0,9,4,9,0,8,5,4,7,9,2,9,6,3,5,10,9,8,1,3,5,6,10,5,3,10,4,6,8,10,2,6,5,7,8,6,2,4,0,9,1,3,5,7,5,5,2,5,8,9,10,9,2,4,10,7,1,6,10,2,2,3,4,2,0,0,1,10,1
n36,0,4,9,10,10,0,8,5,4,1,10,5,4,5,1,3,3,6,6,2,0,0,0,4,9,0,8,5,0,0,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,0,4,1,8,10,2,0,5,7,8,6,2,4,4,9,1,3,5,7,5,0,0,5,8,9,6,9,2,4,10,7,1,6,10,0,2,3,4,1,0,0,1,10,1
n35,0,4,9,10,10,0,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,0,0,4,9,0,8,5,0,8,9,2,9,6,3,5,10,9,8,1,3,5,6,0,5,3,0,4,1,8,10,2,0,5,7,8,6,2,4,4,9,1,3,5,7,5,0,0,5,8,9,0,9,2,4,10,7,1,6,10,0,2,3,4,1,0,0,1,10,1
n38,0,4,9,10,10,0,8,5,5,1,10,5,4,5,1,3,3,6,6,2,0,7,0,4,9,0,8,5,10,6,9,2,9,6,3,5,10,9,8,1,3,5,6,9,5,3,0,4,1,8,10,2,0,5,7,8,6,2,4,4,9,1,3,5,7,5,5,1,5,8,9,10,9,2,4,10,7,1,6,10,0,2,3,4,1,0,0,1,10,1
n37,10,4,9,10,10,0,8,5,0,1,10,5,4,5,1,3,3,6,6,2,0,7,0,4,9,0,8,5,10,0,9,2,9,6,3,5,10,9,8,1,3,5,6,9,5,3,0,4,1,8,10,2,0,5,7,8,6,2,4,4,9,1,3,5,7,5,5,1,5,8,9,10,9,2,4,10,7,1,6,10,0,2,3,4,1,10,0,1,10,1
n46,5,4,9,10,10,6,8,5,2,1,10,5,4,5,1,3,3,6,8,2,5,3,0,4,9,8,8,5,10,8,9,2,9,6,3,5,10,9,8,1,3,5,6,1,5,0,4,4,4,8,10,7,0,5,0,8,6,2,4,1,0,1,10,5,7,5,0,5,5,9,9,8,9,2,4,10,7,1,6,10,0,2,3,4,0,0,7,1,10,10
