cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,4,2,4,1,9,7,5,7,0,4,6,7,1,7,2,3,7,7,0,0,8,8,9,0,2,3,7,0,8,6,6,0,0,7,3,7,9,4,2,7,7,1,7,10,5,0,3,6,8,4
n15,4,2,4,1,9,7,5,7,0,4,6,7,1,7,2,3,7,0,0,0,8,8,9,5,2,3,7,3,8,6,6,3,7,7,3,7,9,4,2,7,7,1,7,10,5,0,3,6,8,4
n18,4,2,4,1,9,7,5,7,0,4,6,7,1,7,2,3,7,9,0,0,8,8,9,0,2,3,7,0,8,6,6,0,0,7,3,7,9,4,2,7,7,1,7,10,5,9,0,6,8,4
n17,4,2,4,1,9,7,5,7,0,4,6,7,1,7,2,3,7,9,0,0,8,8,9,0,2,3,7,0,8,6,6,0,0,7,3,7,9,4,2,7,7,1,7,10,5,9,0,6,8,4
n22,4,2,4,1,9,7,5,7,9,4,6,7,1,7,2,1,7,0,0,7,8,8,9,0,2,3,7,6,0,6,6,0,0,7,3,0,9,4,0,7,7,1,7,10,5,9,0,6,8,4
n21,4,2,4,1,9,7,5,7,9,4,0,7,1,7,2,1,7,0,0,7,8,8,9,0,2,3,7,6,0,6,6,0,0,7,3,0,9,4,0,7,7,1,7,10,5,9,0,6,8,4
n24,4,2,4,1,9,7,5,7,3,4,0,7,1,7,2,1,7,0,0,5,8,8,9,9,2,3,7,6,0,6,6,2,0,7,3,0,9,4,8,7,7,1,7,10,5,9,9,6,8,4
n23,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,8,7,9,0,5,8,8,9,0,2,3,7,6,0,6,6,2,0,7,3,0,9,4,0,7,7,1,7,10,5,9,9,6,8,4
n30,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,0,7,9,0,0,8,8,7,0,2,8,7,4,0,6,6,0,5,0,3,4,9,4,10,7,7,1,8,10,5,3,0,6,8,4
n29,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,0,7,0,0,0,8,8,7,0,2,0,7,4,0,6,6,0,0,7,3,4,9,4,10,7,7,1,8,10,5,3,2,6,8,4
n32,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,0,7,0,5,5,8,8,7,0,2,3,7,4,0,6,6,3,5,0,3,0,9,4,10,7,7,1,8,10,5,3,0,6,8,4
n31,4,2,4,1,9,7,5,7,7,4,0,7,1,7,2,0,7,10,0,5,8,8,7,0,2,3,7,4,0,6,6,0,0,8,3,10,9,4,10,7,7,1,8,10,5,3,9,6,8,4
n36,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,0,7,0,3,5,8,8,7,0,2,2,7,0,2,6,6,1,0,5,3,3,9,4,10,7,7,1,8,10,5,3,1,6,8,4
n35,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,5,7,6,3,5,8,8,7,0,2,2,7,0,2,6,6,0,0,5,3,3,9,4,10,7,7,1,8,10,5,3,1,6,8,4
n38,4,2,4,1,9,7,5,7,0,4,0,7,1,7,2,0,7,2,0,5,8,8,7,0,2,0,7,0,2,6,6,8,0,5,3,0,9,4,10,7,7,1,8,10,5,3,1,6,8,4
n37,4,2,4,1,9,7,5,7,0,4,4,7,1,7,2,0,7,2,7,5,8,8,7,0,2,8,7,0,2,6,6,8,0,5,3,0,9,4,10,7,7,1,8,10,5,3,1,6,8,4
n46,4,2,4,1,9,7,5,0,0,4,0,7,1,7,2,8,7,5,3,5,8,8,0,0,2,0,7,0,2,6,6,10,0,5,3,5,9,4,10,7,7,1,5,10,5,8,0,6,1,4
n45,4,2,4,1,9,7,5,0,0,4,0,7,1,7,2,8,7,5,3,5,8,8,0,6,2,0,7,0,2,6,6,10,0,5,3,5,9,4,10,7,7,1,5,10,5,8,0,6,1,4
n48,4,2,4,1,9,7,5,0,5,4,0,7,1,7,2,8,7,0,3,5,8,8,0,8,2,0,7,0,2,6,6,10,5,0,3,0,9,4,10,7,7,1,5,10,5,8,0,6,0,4
n47,4,2,4,1,9,7,5,0,5,4,0,7,1,7,2,8,7,0,3,5,8,8,0,8,2,0,7,8,2,6,6,10,0,0,3,4,9,4,10,7,7,1,5,10,5,8,9,6,0,4
n52,4,2,4,1,9,7,5,10,0,4,0,7,1,7,2,8,7,7,3,5,8,8,2,8,2,0,7,0,2,6,6,10,0,0,3,0,9,4,10,7,7,1,8,10,5,8,0,6,0,4
n51,4,2,4,1,9,7,5,10,0,4,10,7,1,7,2,8,7,1,3,5,8,8,2,8,2,0,7,0,2,6,6,10,0,0,3,0,9,4,10,7,7,1,0,10,5,8,0,6,0,4
n54,4,2,4,1,9,7,5,10,0,4,0,7,1,7,2,8,7,2,3,5,8,8,2,3,2,9,7,0,2,6,6,10,3,10,3,0,9,4,10,7,7,1,0,10,5,8,0,6,0,4
n53,4,2,4,1,9,7,5,10,0,4,0,7,1,7,2,8,7,2,3,5,8,8,2,0,2,5,7,0,2,6,6,10,3,0,3,0,9,4,10,7,7,1,0,10,5,8,0,6,8,4
n60,4,0,4,1,9,7,5,0,7,4,0,7,1,7,2,9,7,1,3,5,8,8,6,0,2,4,7,10,9,6,6,10,1,0,3,1,9,4,0,7,7,1,0,10,5,0,0,6,0,4
n59,4,0,4,1,9,7,5,0,7,4,0,7,1,7,2,9,7,1,3,5,8,8,6,0,2,4,7,10,9,6,6,10,1,0,3,1,9,4,0,7,7,1,0,10,5,0,0,6,0,4
n62,4,0,4,1,9,7,5,10,1,4,0,7,1,7,2,9,7,1,3,5,8,8,0,0,2,4,7,10,0,6,6,10,1,0,3,6,9,4,0,7,7,1,2,10,5,0,5,6,10,4
n61,4,4,4,1,9,7,5,0,6,4,0,7,1,7,2,9,7,1,3,5,8,8,0,7,2,4,7,10,0,6,6,10,1,0,3,0,9,4,7,7,7,1,2,10,5,0,0,6,10,4
n66,4,8,4,1,9,7,5,0,2,4,9,7,1,7,2,9,7,1,3,5,8,8,6,0,2,4,7,0,0,6,6,10,1,0,3,0,9,4,3,7,7,1,0,10,5,0,0,6,0,4
n65,4,8,4,1,9,7,5,0,0,4,9,7,1,7,2,9,7,1,3,5,8,8,6,0,2,4,7,0,0,6,6,10,1,0,3,0,9,4,3,7,7,1,0,10,5,4,0,6,0,4
n68,4,8,4,1,9,7,5,10,5,4,10,7,1,7,2,9,7,1,3,5,8,8,6,0,2,4,7,8,0,6,6,10,0,4,3,0,9,4,3,7,7,1,0,10,5,8,7,6,0,4
n67,4,8,4,1,9,7,5,10,5,4,0,7,1,7,2,9,7,1,3,5,8,8,6,0,2,4,7,8,0,6,6,10,0,0,3,2,9,4,3,7,7,1,0,10,5,8,7,6,0,4
n78,2,3,4,1,9,9,5,8,0,6,0,7,0,7,2,3,0,5,0,9,8,8,9,8,2,0,2,10,1,6,2,7,0,0,3,5,9,4,0,7,7,1,0,10,0,2,2,6,1,4
n77,2,3,4,1,9,9,5,8,0,6,0,7,0,7,2,3,0,5,7,9,8,8,9,8,2,8,2,10,1,6,2,7,0,0,3,5,9,4,0,7,7,1,0,10,8,2,2,6,1,4
n80,0,3,4,1,9,9,5,8,0,0,9,7,0,7,2,1,8,5,0,9,8,8,9,8,2,8,2,10,1,6,2,7,0,0,3,5,9,4,0,7,7,1,6,10,5,0,2,6,1,4
n79,0,3,4,1,9,9,5,8,0,0,9,7,0,7,2,1,0,5,0,9,8,8,9,8,2,0,2,10,1,6,2,7,0,0,3,5,9,4,0,7,7,1,6,10,5,3,2,6,1,4
n84,0,3,4,1,9,9,5,8,0,0,7,7,10,7,2,0,0,5,1,9,8,8,9,8,2,0,2,10,1,6,8,0,0,0,3,5,9,4,4,7,7,1,0,10,0,8,2,6,1,4
n83,0,3,4,1,9,9,5,8,0,0,0,7,10,7,2,0,0,5,1,9,8,8,9,8,2,0,2,10,1,6,8,0,0,0,3,5,9,4,4,7,7,1,5,10,0,8,2,6,1,4
n86,9,3,4,1,9,9,5,8,5,1,0,7,10,7,2,1,0,5,1,9,8,8,9,8,2,0,2,10,1,6,8,0,0,0,3,5,9,4,0,7,7,1,9,10,0,8,2,6,1,4
