cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,8,10,9,7,8,3,0,2,6,3,1,6,0,0,6,4,6,0,1,1,9,9,8,7,2,0,5,2,9,9,4,0,5,6,6,10,6,0,2,10,1,3,7,4,6,9,3,5,2,7,6,0,4,8,6,5,7,7,10,0,0,7,4,4,1,5,5,0,8,8
n15,8,10,9,7,8,3,0,2,6,0,1,6,0,0,6,4,6,5,1,1,9,9,8,7,0,0,5,2,9,9,4,0,5,6,6,10,6,0,2,10,1,3,7,4,6,9,3,5,2,7,6,0,4,8,6,5,0,7,10,0,0,7,4,4,1,5,0,1,8,8
n18,8,10,9,7,8,3,0,2,6,0,1,6,0,0,6,4,6,4,1,1,0,9,8,7,0,0,5,2,5,9,4,0,5,6,6,10,6,0,2,10,1,3,7,4,6,9,3,5,2,7,6,2,4,8,6,5,0,7,10,0,0,7,4,4,1,5,0,6,8,0
n17,8,10,9,7,8,3,0,2,6,0,1,6,0,0,6,4,6,4,1,1,0,9,8,7,0,0,5,2,0,9,4,0,5,6,6,10,6,0,2,10,1,3,7,4,6,9,3,5,2,7,6,2,4,8,6,5,3,7,10,0,0,7,4,4,1,5,0,0,8,0
n22,8,10,9,7,8,3,0,0,6,6,1,6,0,0,6,4,6,0,1,1,10,9,8,0,0,10,5,2,2,9,4,2,5,0,6,10,6,0,1,10,1,3,7,4,6,9,3,5,2,7,6,0,4,8,6,5,0,7,10,6,0,7,4,4,1,5,0,2,8,0
n21,8,10,9,7,8,3,0,0,6,6,1,6,0,0,6,4,6,0,1,1,10,9,8,0,0,10,5,2,0,9,4,2,5,0,6,10,6,4,1,10,1,3,7,4,6,9,3,5,2,7,6,0,4,8,6,5,0,7,10,6,0,7,4,4,1,5,0,2,8,0
n24,8,10,9,7,8,3,0,8,6,6,1,6,1,1,6,4,6,0,1,1,10,9,8,0,0,0,5,2,0,9,4,2,5,0,6,10,6,0,1,10,1,3,7,4,6,9,3,5,2,7,6,5,4,8,6,5,0,7,10,0,0,7,4,4,1,5,1,0,8,10
n23,8,10,9,7,8,3,0,8,6,6,1,6,0,1,6,4,6,0,1,1,10,9,8,0,0,0,5,2,0,9,4,2,5,10,6,10,6,0,1,10,1,3,7,4,6,9,3,5,2,7,6,0,4,8,6,5,2,7,10,0,0,7,4,4,1,5,1,0,8,10
n30,8,10,9,7,8,3,7,2,0,6,1,6,0,0,6,4,6,0,1,1,8,9,8,7,3,0,5,2,2,9,4,0,5,0,6,10,6,4,8,10,1,3,7,0,6,9,3,5,2,7,6,0,4,8,6,5,0,7,10,3,6,7,4,4,1,5,0,10,8,9
n29,8,10,9,7,8,3,7,2,10,0,1,6,0,8,6,4,6,0,1,1,8,9,8,7,3,4,5,2,2,9,4,0,5,0,6,10,6,4,8,10,1,3,7,0,6,9,3,5,2,7,6,0,4,8,6,5,8,7,10,0,6,7,4,4,1,5,0,10,8,9
