cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,1,10,7,10,7,2,7,5,7,9,0,9,5,9,0,1,1,0,10,10,4,8,7,2,0,9,3,6,0,8,1,0,9,1,10,4,9,2,0,4,0,0,6,6,6,7,5,0,2,8,10,10,5,3,6,9,0,0,7,3,0,10,4,9,7,6,1,2,0,6
n15,1,10,0,10,7,2,7,5,7,9,0,9,5,9,0,1,1,0,10,10,4,0,7,2,0,0,3,6,0,8,1,8,9,1,10,4,9,2,0,4,0,1,6,6,6,7,5,10,2,8,0,10,5,0,6,9,0,0,7,3,0,10,4,9,7,0,1,2,0,6
n18,1,10,0,10,7,2,7,5,7,9,0,9,5,9,0,1,1,5,10,10,4,0,7,2,0,0,3,6,5,8,1,8,9,1,10,4,9,2,0,4,0,9,6,6,6,7,5,0,2,10,0,10,5,9,6,9,0,2,7,3,10,10,4,9,7,0,1,2,0,6
n17,1,10,4,10,7,2,7,5,7,9,0,9,5,9,0,1,1,5,10,10,4,0,7,2,0,0,3,6,5,8,1,0,9,1,10,4,9,2,0,4,7,9,6,6,6,7,5,0,2,5,3,10,5,5,6,9,0,2,7,3,10,10,4,9,7,0,1,2,1,6
n22,1,10,4,10,7,2,7,5,7,9,10,9,5,9,0,1,1,0,10,10,4,1,7,2,1,0,0,6,0,8,0,10,9,1,10,4,9,2,5,4,0,1,6,6,0,7,5,6,0,0,0,10,5,9,6,9,0,0,7,3,7,10,4,9,7,8,0,2,5,6
n21,1,10,0,10,7,2,7,5,7,9,0,9,5,9,0,1,1,0,10,10,4,1,7,2,1,0,0,6,0,8,7,10,9,1,10,4,9,2,5,4,9,1,6,6,0,7,5,2,0,0,0,10,5,0,6,9,0,0,7,3,7,10,4,9,7,8,0,2,5,6
n24,1,10,0,10,7,2,7,5,7,9,0,9,5,9,0,1,1,2,10,10,4,1,7,2,1,0,0,6,0,8,8,10,9,1,10,4,9,2,5,4,2,0,6,6,0,7,5,0,0,7,0,10,5,9,6,9,0,0,7,3,0,10,4,9,7,8,2,2,5,6
n23,1,10,0,10,7,2,7,5,7,9,0,9,5,9,0,1,1,2,10,10,4,1,7,2,1,0,0,6,0,8,8,10,9,1,10,4,9,2,5,4,2,0,6,6,0,7,5,0,9,0,0,10,5,0,6,9,0,2,7,3,1,10,4,9,7,8,0,2,5,6
n30,1,10,0,10,7,2,7,5,7,9,4,8,5,9,9,1,1,1,10,10,4,0,7,2,0,3,2,6,6,8,4,3,9,1,10,4,9,2,6,4,0,0,6,0,2,7,5,0,0,0,0,10,5,8,6,9,6,0,7,3,0,10,4,9,7,0,0,2,0,6
n29,1,10,10,10,7,2,7,5,7,9,4,8,5,9,9,1,1,1,10,10,4,5,7,2,0,0,2,6,6,8,4,3,9,1,10,4,9,2,6,4,0,0,6,0,2,7,5,2,0,1,0,10,5,8,6,9,6,10,7,3,0,10,4,9,7,0,0,2,0,6
