cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,2,5,9,9,10,8,6,8,2,5,7,1,4,3,10,6,2,1,9,3,0,9,6,1,3,4,4,0,5,4,9,3,6,3,4,7,3,1,10,5,9,5,0,1,2,4,2,6,0,3,2,7,10,0,7,0,9,10,10,1,5,10,0,2,1,10,2,4,7,8
n15,2,5,9,9,10,8,6,8,2,5,7,1,4,3,10,6,2,1,9,3,0,9,6,1,3,4,4,0,5,4,9,3,6,3,4,7,3,1,10,5,9,5,0,1,0,4,2,6,0,3,2,7,10,0,7,0,9,10,10,1,5,0,0,2,1,10,2,4,7,8
n18,2,5,9,9,10,8,6,8,2,5,7,1,4,3,10,6,2,1,9,3,0,9,6,1,3,4,4,6,5,4,9,3,6,3,0,7,3,1,10,5,9,5,0,1,0,4,2,6,0,3,2,7,10,4,7,8,9,10,10,1,5,0,0,2,1,10,2,4,7,8
n17,2,5,9,9,10,8,6,8,2,5,7,1,4,3,10,6,2,1,9,3,2,9,6,1,3,4,4,6,5,4,9,3,6,3,0,7,3,1,10,5,9,5,0,1,0,4,2,6,0,3,2,7,10,4,7,8,9,10,10,1,5,0,0,2,1,10,2,4,7,8
n22,2,5,9,9,10,8,6,0,2,5,7,1,4,3,4,6,2,1,9,3,3,9,6,0,7,4,4,7,5,4,9,3,6,3,0,7,10,1,10,5,9,5,0,1,0,4,2,6,0,3,0,7,10,0,7,0,9,5,10,1,5,0,0,2,1,10,2,4,7,8
n21,2,5,9,9,10,8,6,0,2,5,7,1,4,3,4,6,2,1,9,3,0,9,6,0,7,4,4,0,5,4,9,3,6,3,0,7,10,1,10,5,9,5,0,1,8,4,2,6,0,3,0,7,10,0,7,0,9,5,10,1,5,4,10,2,1,10,2,4,7,8
n24,2,5,9,9,10,8,6,0,2,5,7,1,4,3,4,6,2,1,9,3,0,9,6,0,0,4,4,4,5,4,9,3,6,3,0,7,10,1,10,5,9,5,3,1,0,4,2,6,4,3,0,7,10,0,7,0,9,0,10,1,5,0,3,2,1,10,2,4,7,8
n23,2,5,9,9,10,8,6,0,2,5,7,1,4,3,4,6,2,1,9,3,5,9,6,0,0,4,4,4,5,4,9,3,6,3,3,7,10,1,10,5,9,5,0,1,0,4,2,6,4,3,0,7,10,0,7,0,9,10,10,1,5,5,3,2,1,10,2,4,7,8
n30,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,0,9,6,3,6,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,1,1,0,4,2,6,6,3,0,7,10,0,7,1,9,1,10,1,5,0,3,0,1,0,0,4,7,8
n29,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,0,9,6,3,6,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,1,1,0,4,2,6,6,3,0,7,10,0,7,1,9,1,10,1,5,0,3,0,1,0,0,4,7,8
n32,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,0,9,6,0,6,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,1,1,0,4,2,6,6,3,8,7,10,1,7,8,9,1,10,1,5,0,3,0,1,0,0,4,7,8
n31,2,5,9,9,10,8,6,7,2,5,7,1,4,3,7,6,2,1,9,3,0,9,6,0,6,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,1,1,0,4,2,6,6,3,8,7,10,0,7,0,9,1,10,1,5,0,3,10,1,0,0,4,7,8
n36,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,10,9,6,4,2,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,0,1,4,4,2,6,6,3,7,7,10,7,7,7,9,1,10,1,5,0,2,0,1,7,0,4,7,8
n35,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,10,9,6,4,2,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,0,1,4,4,2,6,6,3,7,7,10,7,7,7,9,1,10,1,5,0,2,0,1,0,0,4,7,8
n38,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,5,9,6,4,0,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,0,1,4,4,2,6,6,3,7,7,10,7,7,0,9,1,10,1,5,0,0,0,1,0,0,4,7,8
n37,2,5,9,9,10,8,6,7,2,5,7,1,4,3,0,6,2,1,9,3,5,9,6,4,0,4,10,4,5,4,9,3,0,3,0,7,6,1,10,5,9,5,0,1,4,4,2,6,6,3,7,7,10,7,7,0,9,1,10,1,5,2,0,0,1,9,0,4,7,8
n46,2,5,9,9,10,8,6,0,2,5,7,1,4,3,2,6,2,1,3,3,4,9,10,0,8,4,5,8,2,4,9,3,9,3,6,7,2,1,10,5,9,5,1,1,0,4,2,6,9,3,5,7,10,1,7,10,9,8,10,1,5,2,0,2,1,0,10,1,7,8
n45,2,5,9,9,10,8,6,0,2,5,7,1,4,3,2,6,2,1,3,3,4,9,10,0,8,4,5,8,2,4,9,3,9,3,6,7,2,1,10,5,9,5,1,1,0,4,2,6,9,3,5,7,10,1,7,10,9,8,10,1,5,2,0,2,1,0,10,1,7,8
n48,2,5,9,9,10,8,6,5,2,5,7,1,4,3,2,6,2,1,3,3,4,9,10,0,3,4,5,8,0,4,9,3,9,3,6,7,2,1,10,5,9,5,0,1,0,4,2,6,9,3,8,7,10,1,7,10,9,8,10,1,5,2,0,2,1,8,10,0,7,8
n47,2,5,9,9,10,8,6,0,2,5,7,1,4,3,2,6,2,1,3,3,4,9,10,0,3,4,5,8,0,4,9,3,9,3,6,7,2,1,10,5,9,5,0,1,0,4,2,6,9,3,8,7,10,1,7,10,9,8,10,1,5,2,0,2,1,8,10,0,7,8
n52,2,5,9,9,10,8,6,0,2,5,7,1,4,3,2,6,2,1,0,3,4,9,10,0,8,4,6,8,0,4,9,3,9,3,1,7,3,1,10,5,9,5,2,1,9,4,2,6,9,3,0,7,10,1,7,0,9,8,10,1,5,2,0,2,1,3,10,0,7,8
n51,2,5,9,9,10,8,6,8,2,5,7,1,4,3,2,6,2,1,0,3,4,9,10,3,8,4,6,8,0,4,9,3,9,3,1,7,3,1,10,5,9,5,0,1,9,4,2,6,9,3,7,7,10,1,7,0,9,8,10,1,5,2,0,2,1,3,10,8,7,8
