cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,8,9,5,5,10,10,8,10,9,8,5,0,7,1,0,7,3,3,3,8,0,6,2,4,1,6,1,3,10,5,8,1,8,8,2,5,2,0,4,2,4,0,9,3,4,10,9,5,0,3,5,1,10,2,6,0,7,9,6,10,6,9,2,8,0,2,0,5,10,3,9,10,0,1,10,10,6,2,0,2,2,3,1,0,6,6,10,1,3,3
n15,8,9,5,5,10,10,8,10,9,8,5,3,7,1,0,7,3,3,0,8,0,6,2,4,1,6,1,3,10,5,8,1,8,8,2,5,2,0,4,2,4,0,9,3,4,10,0,5,0,3,5,1,10,2,6,7,7,9,6,10,6,9,2,8,0,2,0,5,10,3,9,10,0,1,10,10,6,0,0,2,2,3,1,0,6,6,10,1,3,3
n18,8,9,2,5,10,10,8,10,0,0,5,9,7,1,0,7,3,3,9,8,8,6,2,0,1,6,1,3,10,5,0,1,8,8,2,5,2,0,4,2,4,0,9,3,4,10,0,5,0,0,5,1,10,2,6,6,7,9,6,10,6,9,2,8,5,2,6,5,10,3,9,10,4,1,10,10,6,0,10,2,2,6,1,0,6,6,10,1,3,3
n17,8,9,2,5,10,10,8,10,0,0,5,9,7,1,0,7,3,3,9,8,8,6,2,7,1,6,1,3,10,5,8,1,8,8,2,5,2,7,4,2,4,0,9,3,4,10,0,5,0,4,5,1,10,2,6,6,7,9,6,10,6,9,2,8,5,2,0,5,10,3,9,10,0,1,10,10,6,0,8,2,2,0,1,0,6,6,10,1,3,3
n22,8,9,0,5,10,10,8,10,0,9,5,3,0,0,0,7,3,3,1,8,0,6,2,8,1,6,1,3,10,0,4,1,8,8,2,5,2,8,4,2,4,7,9,3,4,10,0,5,8,1,5,1,10,2,6,7,7,9,6,10,6,9,2,8,0,2,4,5,10,3,9,10,0,1,10,10,4,0,5,2,2,0,1,0,0,6,10,1,3,3
n21,8,9,0,5,10,10,8,10,0,0,5,0,0,0,0,7,3,3,1,8,0,6,2,8,1,6,1,3,10,9,0,1,8,8,2,5,2,8,4,2,4,0,9,3,4,10,0,5,0,1,5,1,10,2,6,7,7,9,6,10,6,9,2,8,0,2,0,5,10,3,9,10,0,1,10,10,4,0,5,2,2,0,1,0,0,6,10,1,3,3
n24,8,9,0,5,10,10,8,10,0,0,5,10,0,5,0,7,3,3,1,8,0,6,2,8,1,6,1,3,10,0,10,1,8,8,2,5,2,8,4,2,4,0,9,3,4,10,9,5,0,1,5,1,10,2,6,0,7,9,6,10,6,9,2,8,0,2,0,5,10,3,9,10,0,1,10,10,5,8,5,2,2,0,1,2,6,6,10,1,3,3
n23,8,9,0,5,10,10,8,10,0,0,5,10,10,5,8,7,3,3,1,8,0,6,2,8,1,6,1,3,10,0,5,1,8,8,2,5,2,8,4,2,4,0,9,3,4,10,0,5,2,1,5,1,10,2,6,0,7,9,6,10,6,9,2,8,0,2,0,5,10,3,9,10,0,1,10,10,5,8,5,2,2,0,1,0,0,6,10,1,3,3
n30,8,9,4,10,10,10,8,10,1,0,5,10,10,0,7,7,3,5,5,8,0,6,2,0,1,6,1,3,10,0,4,1,8,8,2,5,2,2,4,4,4,3,9,3,4,10,4,5,0,4,5,1,0,2,6,0,7,8,6,10,6,9,2,8,0,2,0,5,10,1,9,10,9,1,10,10,0,0,0,9,2,0,1,1,6,6,10,0,3,3
n29,8,9,4,10,10,10,8,10,1,0,5,10,10,0,7,7,3,0,5,8,0,6,2,0,1,6,1,3,10,0,4,1,8,8,2,5,2,0,4,4,4,3,9,3,4,10,4,5,0,4,5,1,9,2,6,10,7,8,6,10,6,9,2,8,0,2,5,5,10,1,9,10,9,1,10,10,0,1,0,9,2,3,1,1,0,6,10,0,3,3
n32,8,9,4,10,10,10,8,10,1,0,5,10,10,0,7,7,3,0,5,8,0,6,2,0,1,6,1,3,10,9,4,1,8,8,2,5,2,0,4,9,4,3,9,3,4,10,4,5,0,4,5,1,0,2,6,7,7,8,6,10,6,9,2,8,1,2,6,5,10,1,9,10,9,1,10,10,0,0,0,9,2,0,1,1,0,6,10,0,3,3
n31,8,9,4,10,10,10,8,10,1,0,5,10,10,0,7,7,3,0,5,8,0,6,2,0,1,6,1,3,10,0,4,1,8,8,2,5,2,0,4,9,4,3,9,3,4,10,4,5,9,4,5,1,0,2,6,7,7,8,6,10,6,9,2,8,1,2,6,5,10,1,9,10,9,1,10,10,0,0,3,9,2,0,1,1,0,6,10,0,3,3
n36,8,9,4,0,10,10,8,10,0,5,5,3,10,0,0,7,3,0,5,8,0,6,2,0,1,6,1,3,10,0,10,1,8,8,2,5,2,0,4,0,4,0,9,3,4,10,4,5,7,4,5,1,0,2,6,10,7,6,6,10,6,9,2,8,0,2,0,5,10,6,9,10,9,1,10,10,0,0,4,9,2,0,1,0,7,6,10,0,3,3
n35,8,9,4,0,10,10,8,10,0,0,5,3,10,0,0,7,3,0,5,8,0,6,2,0,1,6,1,3,10,0,0,1,8,8,2,5,2,9,4,0,4,9,9,3,4,10,4,5,7,4,5,1,0,2,6,10,7,6,6,10,6,9,2,8,0,2,0,5,10,6,9,10,9,1,10,10,6,0,4,9,2,0,1,0,7,6,10,0,3,3
n38,8,9,4,2,10,10,8,10,0,0,5,0,10,0,0,7,3,0,5,8,0,6,2,0,1,6,1,3,10,0,0,1,8,8,2,5,2,0,4,1,4,0,9,3,4,10,4,5,0,4,5,1,0,2,6,10,7,6,6,10,6,9,2,8,6,2,0,5,10,0,9,10,9,1,10,10,10,1,0,9,2,0,1,0,7,6,10,0,3,3
n37,8,9,4,2,10,10,8,10,0,0,5,0,10,4,0,7,3,1,5,8,0,6,2,0,1,6,1,3,10,0,0,1,8,8,2,5,2,0,4,0,4,0,9,3,4,10,4,5,0,4,5,1,0,2,6,10,7,6,6,10,6,9,2,8,6,2,0,5,10,5,9,10,9,1,10,10,10,3,0,9,2,0,1,0,7,6,10,0,3,3
n46,8,9,0,7,0,10,8,10,8,0,0,10,10,4,0,7,3,10,1,8,9,6,2,8,1,6,1,3,10,0,4,1,8,8,2,5,2,10,4,0,4,0,9,2,4,10,0,5,0,0,4,1,0,2,6,1,9,6,6,10,6,9,2,8,0,2,0,5,8,0,9,10,0,1,10,10,4,5,2,4,2,5,1,8,1,6,5,4,0,3
n45,8,9,0,7,0,10,8,10,8,0,0,10,10,0,0,7,3,10,1,8,9,6,2,8,1,6,1,3,10,0,4,1,8,8,2,5,2,10,4,1,4,0,9,2,4,10,0,5,0,0,4,1,0,2,6,1,9,6,6,10,6,9,2,8,0,2,0,5,8,0,9,10,0,1,10,10,4,5,2,0,2,0,1,8,0,6,5,4,0,3
n48,8,9,3,7,0,10,8,10,0,10,2,10,10,8,0,7,3,10,1,8,9,6,2,8,1,6,1,3,10,0,4,1,8,8,2,5,2,0,4,5,4,1,9,2,4,10,0,5,0,0,0,1,0,2,6,1,0,6,6,10,6,9,2,8,0,2,0,5,8,9,9,10,0,1,10,10,4,5,0,0,2,9,1,8,9,6,0,4,0,3
n47,8,9,0,7,0,10,8,10,0,10,0,10,10,0,0,7,3,10,1,8,9,6,2,8,1,6,1,3,10,1,4,1,8,8,2,5,2,0,4,5,4,4,9,2,4,10,3,5,0,0,0,1,0,2,6,1,0,6,6,10,6,9,2,8,0,2,0,5,8,9,9,10,7,1,10,10,4,5,0,0,2,9,1,8,9,6,0,4,0,3
n52,8,9,8,7,0,10,8,10,7,0,8,1,10,5,1,7,3,10,1,8,9,6,2,9,1,6,1,3,10,8,2,1,8,8,2,5,2,0,4,6,4,0,9,3,4,10,8,5,3,0,7,1,6,2,6,1,2,6,6,10,6,9,2,8,2,2,6,5,8,5,9,10,10,1,10,10,4,5,0,0,2,0,1,8,0,6,3,4,4,3
n51,8,9,8,7,8,10,8,10,7,0,0,1,10,5,1,7,3,10,1,8,9,6,2,6,1,6,1,3,10,8,2,1,8,8,2,5,2,0,4,0,4,0,9,3,4,10,8,5,0,4,7,1,6,2,6,1,8,6,6,10,6,9,2,8,2,2,6,5,8,5,9,10,10,1,10,10,4,5,0,5,2,0,1,8,0,6,3,4,4,3
n54,8,9,0,7,0,10,8,10,7,1,0,0,10,0,4,7,3,10,1,8,9,6,2,8,1,6,1,3,10,8,0,1,8,8,2,5,2,6,4,0,4,1,9,3,4,10,1,5,0,0,0,1,9,2,6,1,0,6,6,10,6,9,2,8,2,2,6,5,8,5,9,10,0,1,10,10,4,5,0,5,2,0,1,8,1,6,3,4,4,3
n53,8,9,0,7,0,10,8,10,7,1,0,0,10,0,4,7,3,10,1,8,9,6,2,8,1,6,1,3,10,8,0,1,8,8,2,5,2,6,4,0,4,1,9,3,4,10,1,5,0,0,0,1,9,2,6,1,0,6,6,10,6,9,2,8,2,2,6,5,8,5,9,10,0,1,10,10,4,5,0,5,2,0,1,8,0,6,3,4,4,3
n60,8,9,3,3,9,10,8,10,0,8,0,1,0,6,0,7,3,10,5,8,9,6,2,0,1,6,1,3,10,2,3,1,8,8,2,5,2,0,4,0,4,9,9,0,4,10,0,5,0,10,0,1,0,2,6,0,3,2,6,10,6,9,2,8,0,2,1,5,8,6,9,10,0,1,10,10,4,5,0,8,2,0,1,0,6,6,0,4,0,3
n59,8,9,3,0,9,10,8,10,0,0,0,0,0,0,0,7,3,10,5,8,9,6,2,6,1,6,1,3,10,2,3,1,8,8,2,5,2,0,4,0,4,9,9,0,4,10,0,5,0,0,0,1,0,2,6,0,3,2,6,10,6,9,2,8,0,2,1,5,8,6,9,10,0,1,10,10,4,5,0,8,2,0,1,0,6,6,0,4,0,3
n62,8,9,3,7,9,10,8,10,2,2,4,0,0,0,0,7,3,10,5,8,9,6,2,0,1,6,1,3,10,2,0,1,8,8,2,5,2,0,4,6,4,0,9,0,4,10,0,5,0,0,0,1,0,2,6,0,3,0,6,10,6,9,2,8,0,2,1,5,8,0,9,10,0,1,10,10,4,5,6,8,2,0,1,0,6,6,0,4,0,3
n61,8,9,3,0,9,10,8,10,2,4,0,0,0,0,0,7,3,10,5,8,9,6,2,6,1,6,1,3,10,2,0,1,8,8,2,5,2,0,4,6,4,0,9,7,4,10,5,5,0,0,0,1,0,2,6,0,3,1,6,10,6,9,2,8,9,2,1,5,8,0,9,10,5,1,10,10,4,5,6,8,2,7,1,10,6,6,0,4,0,3
n66,8,9,0,1,9,10,8,10,0,0,0,9,0,7,2,7,3,10,5,8,9,6,2,5,1,6,1,3,10,2,0,1,8,8,2,5,2,8,4,8,4,0,9,9,4,10,0,5,10,4,8,1,2,2,6,1,0,0,6,10,6,9,2,8,6,2,1,5,8,0,9,10,0,1,10,10,4,5,7,8,2,3,1,6,6,6,5,4,0,3
