cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,2,3,0,1,8,4,0,7,2,7,1,2,5,1,0,1,4,0,9,2,2,5,7,5,4,0,2,5,4,4,0,3,0,0,5,10,6,8,10,9,0,0,5,2,3,3,2,9,7,2
n15,2,3,0,1,8,4,0,7,2,7,1,2,5,1,0,1,4,0,9,2,2,5,7,5,4,5,0,5,4,4,0,3,0,0,5,10,6,8,10,9,9,0,5,2,3,3,2,9,7,2
n18,2,3,0,1,8,4,0,7,2,7,7,2,5,1,0,1,4,0,9,2,2,5,7,5,4,8,3,5,4,4,0,3,0,0,5,10,0,0,10,9,2,10,5,2,3,3,2,9,7,2
n17,2,3,5,1,8,4,0,7,2,7,0,2,5,1,0,1,4,0,9,2,2,5,7,5,4,0,3,5,4,4,0,3,0,0,5,10,0,1,10,9,2,0,5,2,3,3,2,9,7,2
n22,2,3,0,1,8,4,0,7,2,7,0,2,0,1,0,1,4,2,9,2,10,5,7,5,4,0,0,5,4,4,4,0,0,9,8,10,4,6,10,9,0,0,5,2,3,3,2,9,7,2
n21,2,3,0,1,8,4,0,7,2,7,1,2,0,1,0,1,4,2,9,2,10,5,7,5,4,0,0,5,4,4,4,0,0,9,0,10,4,3,10,9,0,0,5,2,3,3,2,9,7,2
n24,2,3,1,1,8,4,10,7,2,7,7,2,0,1,0,1,4,0,9,2,0,5,7,5,4,10,8,5,4,4,4,0,5,9,0,10,4,0,10,9,0,0,5,2,3,3,2,9,7,2
n23,2,3,0,1,8,4,5,7,2,7,7,2,10,1,0,1,4,0,9,2,0,5,7,5,4,9,8,5,4,4,4,0,5,9,0,10,4,0,10,9,0,0,5,2,3,3,2,9,7,2
n30,2,3,0,1,8,4,0,7,2,7,0,2,3,1,9,1,4,0,9,0,5,0,7,0,4,3,10,5,4,4,0,0,0,4,9,10,10,4,10,7,0,0,5,2,3,3,2,9,7,2
n29,2,3,7,1,8,4,0,7,2,7,0,2,3,1,9,1,4,0,9,0,5,0,7,0,4,3,10,5,4,4,0,0,0,4,0,10,10,4,10,7,0,0,5,2,3,3,2,9,7,2
n32,2,3,1,1,8,4,4,7,2,7,0,2,0,1,9,1,4,9,9,0,5,0,7,0,4,3,10,5,4,4,0,0,8,4,4,10,10,4,10,0,8,7,5,2,3,3,2,9,7,2
n31,2,3,1,1,8,4,4,7,2,7,9,2,0,1,9,1,4,9,9,0,5,0,7,0,4,3,10,5,4,4,0,4,8,4,0,10,10,4,10,0,0,0,5,2,3,3,2,9,7,2
n36,2,3,0,1,8,4,0,7,2,7,2,2,5,1,9,1,4,7,9,0,5,0,7,0,4,3,10,5,4,4,9,0,10,4,1,10,6,0,10,2,6,7,5,2,3,3,2,9,7,2
n35,2,3,0,1,8,4,0,7,2,7,2,2,5,1,9,1,4,7,9,0,5,0,7,0,4,3,10,5,4,4,9,6,0,4,1,10,0,0,10,0,0,7,5,2,3,3,2,9,7,2
n38,2,3,4,1,8,4,0,7,2,7,0,2,5,1,9,1,4,7,9,0,5,4,7,0,4,3,10,5,4,4,9,0,8,4,0,10,10,1,10,0,0,7,5,2,3,3,2,9,7,2
n37,2,3,4,1,8,4,4,7,2,7,0,2,5,1,9,1,4,7,9,0,5,4,7,8,4,3,10,5,4,4,9,0,8,4,0,10,0,0,10,8,5,7,5,2,3,3,2,9,7,2
n46,2,3,7,1,8,4,1,7,2,7,0,2,10,1,8,1,4,0,9,0,10,6,7,5,4,0,0,5,4,3,3,10,2,0,4,0,4,7,10,9,5,4,5,0,3,3,10,9,0,2
n45,2,3,7,1,8,4,1,7,2,7,1,2,10,1,8,1,4,0,9,0,10,6,7,0,4,0,0,5,4,3,3,10,2,0,0,0,4,7,10,9,5,4,5,0,3,3,10,9,3,2
n48,2,3,7,1,8,4,1,7,2,7,0,2,10,1,8,1,4,0,9,0,10,6,7,0,4,0,8,5,4,3,3,10,2,0,0,4,4,7,10,9,5,4,5,0,3,3,10,9,9,2
n47,2,3,7,1,8,4,1,7,2,7,0,2,10,1,8,1,4,0,9,0,10,6,7,0,4,4,8,5,4,3,3,10,2,0,0,10,4,7,10,9,5,4,5,0,3,3,10,9,9,2
n52,2,3,7,1,8,4,0,7,2,7,4,2,10,1,8,1,4,7,9,0,10,6,7,3,4,0,0,5,4,0,3,10,2,5,0,0,0,7,10,9,5,4,5,0,3,3,10,9,0,2
n51,2,3,7,1,8,4,0,7,2,7,0,2,10,1,8,1,4,7,9,0,10,6,7,3,4,0,0,5,4,0,3,10,2,5,5,0,0,7,10,9,5,4,5,0,3,3,10,9,0,2
n54,2,3,7,1,8,4,7,7,2,7,0,2,10,1,8,1,4,7,9,0,10,6,7,3,4,7,0,5,4,0,3,10,2,8,0,0,0,7,10,9,5,4,5,0,3,3,10,9,4,2
n53,2,3,7,1,8,4,0,7,2,7,0,2,10,1,8,1,4,7,9,9,10,6,7,3,4,7,0,5,4,0,3,10,2,8,2,0,0,7,10,9,5,4,5,0,3,3,10,9,0,2
n60,2,3,7,1,8,4,5,7,2,7,2,2,10,1,8,1,4,0,9,0,2,6,7,0,4,0,0,5,4,5,0,10,8,0,0,2,2,7,10,9,5,4,5,3,3,3,0,9,0,2
n59,2,3,7,1,8,4,5,7,2,7,2,2,10,1,8,1,4,0,9,0,2,6,7,0,4,0,0,5,4,0,0,10,8,0,10,2,2,7,10,9,5,4,5,0,3,3,0,9,0,2
n62,2,3,7,1,8,4,5,7,2,7,0,2,10,1,8,1,4,0,9,0,0,6,7,5,4,3,0,5,4,5,0,10,8,0,0,9,2,7,10,9,5,4,5,0,3,3,0,9,8,2
n61,2,3,7,1,8,4,5,7,2,7,0,2,10,1,8,1,4,0,9,0,0,6,7,0,4,0,0,5,4,5,0,10,8,9,0,0,2,7,10,9,5,4,5,0,3,3,0,9,0,2
n66,2,3,7,1,8,4,5,7,2,7,0,2,10,1,8,1,4,10,9,6,10,6,7,0,4,3,9,5,4,0,4,10,8,0,0,5,0,7,10,9,5,4,5,0,3,3,0,9,7,2
n65,2,3,7,1,8,4,5,7,2,7,5,2,10,1,8,1,4,10,9,6,10,6,7,2,4,3,9,5,4,0,0,10,8,0,0,5,0,7,10,9,5,4,5,0,3,3,6,9,2,2
n68,2,3,7,1,8,4,5,7,2,7,0,2,10,1,8,1,4,10,9,0,0,6,7,5,4,3,9,5,4,0,0,10,8,10,0,5,0,7,10,9,5,4,5,0,3,3,0,9,0,2
n67,2,3,7,1,8,4,5,7,2,7,0,2,10,1,8,1,4,10,9,0,0,6,7,0,4,3,9,5,4,0,5,10,8,0,0,5,0,7,10,9,5,4,5,0,3,3,4,9,0,2
n78,2,3,4,1,8,4,9,7,2,7,1,2,10,1,6,1,4,2,9,5,3,1,7,5,4,2,10,5,4,0,0,0,1,0,6,8,0,0,10,0,0,8,5,3,3,3,0,9,3,7
n77,2,3,4,1,8,4,9,7,2,7,1,2,10,1,6,1,4,2,9,0,3,1,7,5,4,2,10,5,4,0,0,9,1,0,6,8,6,0,10,0,2,8,5,3,3,3,0,9,3,7
n80,2,3,4,1,8,4,9,7,2,7,1,2,10,1,6,1,4,2,9,3,0,0,7,1,4,2,10,5,4,10,0,0,1,0,6,8,6,0,10,0,0,8,5,3,3,3,0,9,3,7
n79,2,3,4,1,8,4,9,7,2,7,1,2,10,1,6,1,4,2,9,3,0,0,7,8,4,2,10,5,4,0,0,0,1,0,6,8,6,2,10,0,0,8,5,3,3,3,0,9,3,7
n84,2,3,4,1,8,4,9,7,2,7,1,2,0,1,6,1,4,7,9,3,8,0,7,0,4,2,10,5,4,4,5,4,0,10,6,8,0,9,10,0,0,4,5,3,3,3,6,9,3,7
n83,2,3,4,1,8,4,9,7,2,7,1,2,6,1,6,1,4,7,9,3,8,0,7,0,4,2,10,5,4,4,0,4,0,10,6,8,0,0,10,0,0,4,5,3,3,3,0,9,3,7
n86,2,3,4,1,8,4,9,7,2,7,1,2,4,1,6,1,4,7,9,3,8,0,7,8,4,2,10,5,4,4,6,4,2,10,6,8,5,0,10,0,0,0,5,3,3,3,0,9,3,7
n85,2,3,4,1,8,4,9,7,2,7,1,2,0,1,6,1,4,7,9,3,8,0,7,0,4,2,10,5,4,4,6,4,0,10,6,8,0,0,10,1,0,0,5,3,3,3,0,9,3,7
n92,2,3,4,1,8,4,0,7,2,7,1,2,6,1,6,1,4,0,9,0,0,0,7,8,4,2,10,5,4,7,1,10,0,1,6,8,0,0,10,3,2,3,5,6,3,3,10,9,0,7
n91,2,3,4,1,8,4,0,7,2,7,1,2,6,1,6,1,4,0,9,5,0,4,7,0,4,2,10,5,4,7,1,10,2,1,6,8,0,0,10,3,2,3,5,6,3,3,10,9,4,7
n94,2,3,4,1,8,4,0,7,2,7,1,2,6,1,6,1,4,0,9,0,2,0,7,0,4,2,10,5,4,0,1,10,0,1,6,8,0,6,10,3,0,3,5,6,3,3,10,9,0,7
n93,2,3,4,1,8,4,0,7,2,7,1,2,6,1,6,1,4,0,9,7,2,0,7,0,4,2,10,5,4,0,1,10,0,1,6,8,0,6,10,3,0,3,5,6,3,3,10,9,0,7
n98,2,3,4,1,8,4,0,7,2,7,1,2,7,1,6,1,4,1,9,0,0,0,7,0,4,2,10,5,4,7,0,10,10,1,6,8,4,1,10,3,9,3,5,0,3,3,10,9,9,7
n97,2,3,4,1,8,4,0,7,2,7,1,2,7,1,6,1,4,1,9,0,0,0,7,0,4,2,10,5,4,7,0,10,10,1,6,8,4,1,10,3,9,3,5,0,3,3,10,9,9,7
n100,2,3,4,1,8,4,0,7,2,7,1,2,7,1,6,1,4,0,9,0,0,1,7,9,4,2,10,5,4,7,6,10,10,1,6,8,0,0,10,3,9,3,5,0,3,3,0,9,0,7
n99,2,3,4,1,8,4,0,7,2,7,1,2,7,1,6,1,4,0,9,0,0,1,7,2,4,2,10,5,4,7,6,10,10,1,6,8,0,0,10,3,9,3,5,1,3,3,0,9,0,7
n108,2,3,2,1,8,4,0,7,2,7,1,2,0,1,0,1,4,2,9,4,0,0,7,4,4,2,4,5,4,6,4,10,0,0,6,0,2,0,10,4,2,0,5,0,3,3,1,9,0,7
n107,2,3,2,1,8,4,0,7,2,7,1,2,0,1,0,1,4,0,9,4,0,0,7,4,4,2,4,5,4,6,4,10,0,3,6,0,2,0,10,4,0,0,5,0,3,3,1,9,0,7
n110,2,3,0,1,8,4,0,7,2,7,1,2,0,1,0,1,4,0,9,4,0,0,7,4,4,2,4,5,4,6,4,10,0,0,6,0,2,0,10,4,0,0,5,0,3,3,1,9,0,0
n109,2,3,0,1,8,4,7,7,2,7,1,2,0,1,0,1,4,0,9,4,0,0,7,4,4,2,4,5,4,6,4,10,0,0,6,0,2,0,10,4,0,0,5,0,3,3,1,9,7,0
n114,2,3,7,1,8,4,9,7,2,7,1,2,4,1,0,1,4,0,9,4,5,5,7,4,4,2,4,5,4,6,4,0,6,0,6,0,2,9,10,4,0,2,5,0,3,3,1,9,0,0
n113,2,3,7,1,8,4,9,7,2,7,1,2,4,1,7,1,4,0,9,4,5,5,7,4,4,2,4,5,4,6,4,0,6,0,6,0,2,9,10,4,8,0,5,0,3,3,1,9,5,0
n116,2,3,7,1,8,4,9,7,2,7,1,2,4,1,0,1,4,0,9,4,0,5,7,0,4,2,4,5,4,6,4,6,6,0,6,0,2,9,10,4,0,0,5,0,3,3,1,9,0,9
n115,2,3,7,1,8,4,9,7,2,7,1,2,4,1,0,1,4,0,9,4,0,5,7,0,4,2,4,5,4,6,4,6,6,0,6,0,2,9,10,4,0,0,5,2,3,3,1,9,0,0
n122,2,3,10,1,8,4,0,7,2,7,1,2,6,1,6,1,4,0,9,4,0,0,7,0,4,2,4,5,4,6,0,7,0,0,6,6,2,0,10,4,8,0,5,8,3,3,1,9,7,0
n121,2,3,10,1,8,4,9,7,2,7,1,2,6,1,6,1,4,0,9,4,1,7,7,0,4,2,4,5,4,6,0,7,0,0,6,6,2,0,10,4,7,0,5,8,3,3,1,9,7,0
