cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,10,4,1,9,0,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,0,3,5,6,0,10,0,10,5,8,6,9,0,10,0,1,7,4,9,4,1,10,10,10,4,7,2,10,6,9,4,4,3,1,6,5,9,5,8,6,9,6,3,0,0,6,0
n15,10,4,1,9,5,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,0,3,5,6,0,10,0,10,5,8,6,9,0,10,0,1,7,0,9,4,1,10,10,10,4,7,2,10,6,9,4,4,3,1,6,5,9,5,8,6,9,6,3,0,0,6,0
n18,10,4,1,9,0,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,0,3,5,6,0,10,9,10,5,8,6,9,0,10,7,1,7,8,9,4,1,10,10,10,4,7,2,0,6,9,2,4,3,1,6,5,9,5,8,4,9,6,3,0,0,6,10
n17,10,4,1,9,0,9,7,8,7,3,1,6,9,10,8,5,6,1,10,10,4,4,10,0,3,5,6,3,10,9,10,5,8,6,9,6,10,7,1,7,0,9,4,1,10,10,10,4,7,2,0,6,9,0,4,3,1,6,5,9,5,8,9,9,6,3,0,0,6,10
n22,10,4,1,9,0,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,0,0,5,6,10,10,7,10,5,8,6,9,6,10,0,1,7,1,9,4,1,10,10,10,4,7,2,7,7,9,4,4,3,1,6,5,9,5,8,6,9,6,3,0,1,6,0
n21,10,4,1,9,6,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,7,0,5,6,0,10,0,10,5,8,6,9,6,10,1,1,7,0,9,4,1,10,10,10,4,7,2,7,7,9,0,4,3,1,6,5,0,5,8,6,9,6,3,0,1,6,0
n24,10,4,1,9,0,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,9,2,5,6,0,10,0,10,5,8,6,9,6,10,5,1,7,0,9,4,1,10,10,10,4,7,2,0,7,9,0,4,3,1,6,5,8,5,8,6,9,6,3,8,1,6,0
n23,10,4,1,9,0,9,7,8,7,3,1,0,9,10,8,5,6,1,10,10,4,4,10,9,2,5,6,0,10,0,10,5,8,6,9,6,10,5,1,7,0,9,4,1,10,10,10,4,7,2,0,7,9,0,4,3,1,6,5,8,5,8,6,9,6,3,8,1,6,0
n30,10,4,1,9,0,9,7,8,7,7,1,7,9,10,8,10,6,1,10,0,0,4,10,0,8,5,6,0,0,0,10,5,8,6,9,2,10,0,1,7,10,9,4,1,0,10,10,4,7,2,8,3,9,5,7,3,1,6,5,3,10,8,8,9,6,3,3,8,6,0
n29,10,4,1,9,0,9,7,8,7,7,1,7,9,10,8,10,6,1,10,0,0,4,10,0,8,5,6,0,0,0,10,5,8,6,9,0,10,3,1,7,10,9,4,1,0,10,10,4,7,2,0,3,9,5,7,3,1,6,5,3,10,8,8,9,6,3,3,8,6,0
n32,10,4,1,9,0,9,7,8,7,0,1,7,9,10,8,0,6,1,10,0,0,4,10,0,5,5,6,0,0,8,10,5,8,6,9,0,10,5,1,7,0,9,4,1,0,10,10,4,7,2,0,3,9,0,7,3,1,6,5,3,10,8,8,9,6,3,3,8,6,0
n31,10,4,1,9,10,9,7,8,7,8,1,7,9,10,8,1,6,1,10,0,0,4,10,0,0,5,6,0,5,0,10,5,8,6,9,0,10,0,1,7,0,9,4,1,0,10,10,4,7,2,0,3,9,0,7,3,1,6,5,3,10,8,8,9,6,3,3,8,6,3
n36,10,4,1,9,1,9,7,8,7,6,1,0,9,10,8,0,6,1,10,10,0,4,10,8,0,5,6,3,5,0,10,5,8,6,9,0,10,9,1,7,2,9,4,1,0,10,10,4,7,2,0,3,9,3,2,3,1,6,5,3,10,8,8,9,6,3,3,4,6,0
n35,10,4,1,9,0,9,7,8,7,6,1,0,9,10,8,0,6,1,10,10,5,4,10,8,0,5,6,0,5,8,10,5,8,6,9,0,10,9,1,7,2,9,4,1,0,10,10,4,7,2,0,3,9,3,2,3,1,6,5,3,10,8,8,9,6,3,3,4,6,0
n38,10,4,1,9,8,9,7,8,7,0,1,0,9,10,8,0,6,1,10,10,6,4,10,8,0,5,6,7,3,6,10,5,8,6,9,0,10,0,1,7,2,9,4,1,0,10,10,4,7,2,5,3,9,3,0,3,1,6,5,3,10,8,8,9,6,3,3,0,6,0
n37,10,4,1,9,8,9,7,8,7,0,1,0,9,10,8,0,6,1,10,10,6,4,10,8,0,5,6,0,0,6,10,5,8,6,9,0,10,0,1,7,2,9,4,1,0,10,10,4,7,2,5,3,9,3,0,3,1,6,5,3,10,8,8,9,6,3,3,0,6,10
n46,10,4,1,9,0,4,7,8,7,9,5,0,9,10,8,6,6,1,10,3,7,4,10,0,0,5,6,3,0,2,10,5,8,6,9,0,10,4,1,7,10,9,4,3,10,9,10,4,7,2,9,9,9,4,10,3,1,9,5,0,0,8,6,9,6,3,0,0,5,0
n45,10,4,1,9,0,4,7,8,7,9,5,0,9,10,8,6,6,1,10,3,7,4,10,9,0,5,6,3,9,2,10,5,8,6,9,0,10,4,1,7,10,9,4,3,10,0,10,4,7,2,9,9,9,4,10,3,1,9,5,0,4,8,6,9,6,3,0,0,5,0
n48,10,4,1,9,6,4,7,8,7,9,5,2,9,10,8,6,6,1,10,3,7,4,10,6,0,5,6,3,0,2,10,5,8,6,9,6,10,4,1,7,10,9,4,3,10,6,10,4,7,2,9,9,9,4,10,3,1,9,5,0,0,8,6,9,6,3,0,0,5,3
n47,10,4,1,9,0,4,7,8,7,9,5,2,9,10,8,6,6,1,10,3,7,4,10,0,0,5,6,3,9,2,10,5,8,6,9,6,10,4,1,7,10,9,4,3,10,0,10,4,7,2,9,9,9,4,10,3,1,9,5,0,0,8,6,9,6,3,0,0,5,3
n52,10,4,1,9,0,4,7,8,7,0,5,0,9,10,8,6,6,1,10,3,7,4,10,0,0,5,6,3,0,0,10,5,8,6,9,8,10,4,1,7,6,9,4,3,10,0,10,4,7,2,6,9,9,0,5,3,1,9,5,6,0,8,1,9,6,3,0,2,0,0
n51,10,4,1,9,0,4,7,8,7,0,5,3,9,10,8,6,6,1,10,3,7,4,10,0,0,5,6,3,5,0,10,5,8,6,9,0,10,4,1,7,0,9,4,3,10,0,10,4,7,2,6,9,9,6,5,3,1,9,5,6,0,8,1,9,6,3,0,2,0,1
n54,10,4,1,9,0,4,7,8,7,0,5,0,9,10,8,6,6,1,10,3,7,4,10,0,0,5,6,3,0,2,10,5,8,6,9,1,10,4,1,7,0,9,4,3,10,0,10,4,7,2,6,9,9,1,9,3,1,9,5,3,0,8,1,9,6,3,0,0,0,0
