cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,0,4,2,9,6,0,0,5,2,7,5,8,6,4,7,5,6,3,0,6,4,10,0,3,6,1,7,3,10,2,9,2,1,8,9,9,10,1,2,9,10,4,1,3,10,1,10,8,3,3,4,0,7,6,1,8,0,0,10,0,1,2,2,8,2,3,9,6,3,6
n15,0,4,2,9,6,0,2,5,2,7,3,8,6,3,7,5,6,3,6,6,4,10,2,3,6,1,0,3,10,2,9,2,1,8,9,0,10,1,2,9,10,4,1,3,10,1,10,8,3,3,4,0,7,6,1,8,0,0,10,0,1,2,2,8,2,3,9,6,3,6
n18,0,4,2,9,6,0,0,5,2,7,0,8,6,0,7,5,6,7,0,6,4,10,6,3,6,1,0,3,10,2,9,2,1,8,9,7,10,1,2,9,10,4,1,3,10,1,10,8,3,0,4,0,7,6,1,8,0,0,10,0,1,2,2,8,2,9,9,6,0,6
n17,0,4,2,9,6,0,0,5,2,7,5,8,6,0,7,5,6,0,2,6,4,10,0,3,6,1,0,3,10,2,9,2,1,8,9,7,10,1,2,9,10,4,1,3,10,1,10,8,3,5,4,0,7,6,1,8,3,0,10,0,1,2,2,8,2,9,9,6,0,6
n22,8,4,2,9,6,0,4,5,2,7,10,4,6,0,0,5,6,0,0,6,4,10,9,3,6,1,0,3,10,2,9,2,1,8,9,0,10,1,2,9,10,4,1,3,10,1,10,8,0,3,4,6,7,6,1,8,0,0,10,7,1,2,2,8,2,10,9,6,0,6
n21,8,4,2,9,6,0,4,5,2,7,10,4,6,0,8,5,6,0,0,6,4,10,0,3,6,1,5,3,10,2,9,2,1,8,9,4,10,1,2,9,10,4,1,3,10,1,10,8,0,3,4,6,7,6,1,8,0,0,10,7,1,2,2,8,2,10,9,6,0,6
n24,0,4,2,9,6,0,4,5,2,7,10,9,6,2,9,5,6,0,0,6,4,10,7,3,6,1,0,3,10,2,9,2,1,8,9,9,10,1,2,9,10,4,1,3,10,1,10,8,5,0,4,6,7,6,1,8,0,0,10,7,1,2,2,8,2,10,9,6,0,6
n23,0,4,2,9,6,0,4,5,2,7,10,0,6,0,9,5,6,0,0,6,4,10,0,3,6,1,0,3,10,2,9,2,1,8,9,9,10,1,2,9,10,4,1,3,10,1,10,8,5,0,4,6,7,6,1,8,9,0,10,7,1,2,2,8,2,10,9,6,0,6
n30,0,6,2,9,6,7,7,5,2,4,0,0,6,7,0,5,0,5,3,6,4,10,2,3,6,1,3,3,10,2,9,2,2,8,9,0,10,1,2,3,10,4,1,3,10,1,10,8,8,0,4,0,7,6,1,8,1,6,10,0,1,2,2,8,2,0,9,6,9,6
n29,9,6,2,9,6,7,7,5,2,0,0,0,6,0,0,5,4,5,3,6,4,10,0,3,6,1,0,3,10,2,9,2,2,8,9,0,10,1,2,3,10,4,1,3,10,1,10,8,8,0,4,3,7,6,1,8,1,6,10,0,1,2,2,8,2,0,9,6,9,6
n32,9,6,2,9,6,7,7,5,2,10,0,0,6,4,5,5,0,5,0,6,4,10,0,3,6,1,0,3,10,2,9,2,0,8,9,2,10,1,2,3,10,4,1,3,10,1,10,8,8,0,4,10,7,6,1,8,1,0,10,2,1,2,2,8,2,0,9,6,9,6
n31,9,6,2,9,6,7,7,5,2,10,0,0,6,4,5,5,0,5,2,6,4,10,0,3,6,1,0,3,10,2,9,2,0,8,9,2,10,1,2,3,10,4,1,3,10,1,10,8,8,0,4,0,7,6,1,8,1,0,10,2,1,2,2,8,2,0,9,6,9,6
n36,1,6,2,9,6,7,7,5,2,0,0,7,6,0,0,5,2,5,0,6,4,10,0,3,6,1,0,3,10,2,9,2,7,8,9,0,10,1,2,9,10,4,1,3,10,1,10,8,8,8,4,10,7,6,1,8,0,0,10,9,1,2,2,8,2,0,9,6,0,6
n35,0,6,2,9,6,7,7,5,2,0,0,7,6,0,0,5,0,5,0,6,4,10,0,3,6,1,0,3,10,2,9,2,7,8,9,7,10,1,2,9,10,4,1,3,10,1,10,8,8,8,4,10,7,6,1,8,0,0,10,9,1,2,2,8,2,0,9,6,0,6
n38,0,6,2,9,6,7,7,5,2,0,7,7,6,0,0,5,10,5,5,6,4,10,0,3,6,1,0,3,10,2,9,2,2,8,9,0,10,1,2,9,10,4,1,3,10,1,10,8,8,8,4,10,7,6,1,8,0,0,10,9,1,2,2,8,2,0,9,6,0,6
n37,0,6,2,9,6,7,7,5,2,0,7,7,6,0,0,5,10,5,5,6,4,10,0,3,6,1,0,3,10,2,9,2,2,8,9,0,10,1,2,9,10,4,1,3,10,1,10,8,8,8,4,10,7,6,1,8,0,0,10,9,1,2,2,8,2,0,9,6,0,6
n46,4,4,2,0,6,0,2,5,2,3,7,3,6,2,0,9,1,5,10,6,4,10,5,3,6,1,5,3,10,0,9,2,1,8,9,8,10,1,2,1,5,4,1,3,0,6,10,8,9,9,4,1,7,6,1,8,0,8,10,3,1,2,2,0,2,4,6,6,2,6
n45,4,4,2,0,6,0,2,5,2,0,7,3,6,2,0,0,1,5,10,6,4,10,5,3,6,1,5,3,10,4,9,2,0,8,9,8,10,1,2,0,5,4,1,3,2,6,10,8,9,9,4,1,7,6,1,8,0,0,10,3,1,2,2,0,2,4,6,6,0,6
n48,0,0,2,5,6,10,3,5,2,0,9,3,6,2,0,3,1,5,10,6,4,10,5,3,6,1,5,3,10,0,9,2,0,8,9,8,10,1,2,0,5,4,1,3,10,6,10,8,9,9,4,1,7,6,1,8,0,0,10,3,1,2,2,2,2,0,6,6,2,6
n47,0,0,2,0,6,10,6,5,2,0,9,3,6,2,6,0,1,5,10,6,4,10,5,3,6,1,5,3,10,0,9,2,0,8,9,8,10,1,2,0,5,4,1,3,10,6,10,8,9,9,4,1,7,6,1,8,0,1,10,3,1,2,2,2,2,0,6,6,0,6
n52,0,3,2,2,6,2,0,5,2,8,0,0,6,2,4,0,1,5,6,6,4,10,5,3,6,1,1,3,10,3,9,2,0,8,9,8,10,1,2,0,5,4,1,3,0,6,10,8,9,9,4,5,7,6,1,8,1,0,10,3,1,2,2,1,2,3,6,6,0,6
n51,0,3,2,2,6,2,0,5,2,0,0,0,6,2,4,0,1,5,6,6,4,10,5,3,6,1,1,3,10,3,9,2,0,8,9,8,10,1,2,1,5,4,1,3,0,6,10,8,9,9,4,5,7,6,1,8,0,4,10,3,1,2,2,1,2,3,6,6,0,6
n54,0,6,2,0,6,0,0,5,2,0,0,0,6,2,3,0,1,5,6,6,4,10,5,3,6,1,3,3,10,3,9,2,0,8,9,8,10,1,2,10,5,4,1,3,0,6,10,8,9,9,4,5,7,6,1,8,3,0,10,3,1,2,2,0,2,3,6,6,7,6
n53,0,6,2,0,6,0,0,5,2,3,0,0,6,2,0,0,1,5,6,6,4,10,5,3,6,1,3,3,10,3,9,2,10,8,9,8,10,1,2,0,5,4,1,3,0,6,10,8,9,9,4,5,7,6,1,8,0,0,10,3,1,2,2,0,2,3,6,6,7,6
n60,0,0,2,0,6,5,0,5,2,8,0,0,6,2,0,0,1,0,3,6,4,10,0,3,6,1,0,3,10,9,9,2,1,8,9,10,10,1,2,8,9,4,1,3,2,1,10,8,9,0,4,3,7,6,1,8,8,0,10,3,1,2,2,0,2,0,6,6,0,6
n59,0,0,2,0,6,5,7,5,2,8,0,0,6,2,0,0,1,10,3,6,4,10,0,3,6,1,0,3,10,1,9,2,1,8,9,10,10,1,2,8,9,4,1,3,2,1,10,8,9,0,4,4,7,6,1,8,8,9,10,3,1,2,2,5,2,7,6,6,0,6
n62,0,0,2,2,6,0,0,5,2,0,0,0,6,2,1,4,1,0,3,6,4,10,0,3,6,1,0,3,10,0,9,2,1,8,9,10,10,1,2,8,9,4,1,3,2,0,10,8,9,0,4,0,7,6,1,8,8,0,10,3,1,2,2,0,2,0,6,6,0,6
n61,0,0,2,2,6,0,0,5,2,0,0,0,6,2,1,4,1,0,3,6,4,10,2,3,6,1,0,3,10,0,9,2,1,8,9,10,10,1,2,0,9,4,1,3,2,0,10,8,9,0,4,0,7,6,1,8,8,0,10,3,1,2,2,10,2,0,6,6,0,6
n66,4,0,2,0,6,6,0,5,2,6,6,1,6,2,3,7,1,0,3,6,4,10,0,3,6,1,0,3,10,0,9,2,1,8,9,10,10,1,2,0,0,4,1,3,2,0,10,8,9,0,4,0,7,6,1,8,8,0,10,3,1,2,2,7,2,0,6,6,0,6
n65,4,0,2,9,6,6,0,5,2,6,6,0,6,2,3,0,1,0,3,6,4,10,0,3,6,1,4,3,10,0,9,2,1,8,9,10,10,1,2,0,0,4,1,3,2,6,10,8,9,0,4,0,7,6,1,8,8,10,10,3,1,2,2,7,2,0,6,6,0,6
n68,0,0,2,0,6,6,0,5,2,6,0,0,6,2,10,1,1,0,3,6,4,10,5,3,6,1,8,3,10,0,9,2,1,8,9,10,10,1,2,0,0,4,1,3,2,0,10,8,9,0,4,10,7,6,1,8,8,0,10,3,1,2,2,7,2,0,6,6,0,6
n67,8,0,2,0,6,6,3,5,2,6,0,0,6,2,0,1,1,0,3,6,4,10,5,3,6,1,8,3,10,0,9,2,1,8,9,10,10,1,2,0,0,4,1,3,2,0,10,8,9,0,4,0,7,6,1,8,8,0,10,3,1,2,2,7,2,7,6,6,0,6
n78,0,10,2,9,6,7,8,5,2,5,0,1,6,0,3,0,0,0,10,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,7,0,0,0,4,1,3,0,8,10,8,9,0,4,0,7,6,1,8,5,9,10,7,1,3,2,5,2,0,6,5,7,6
n77,0,10,2,9,6,7,8,5,2,5,0,1,6,0,3,0,9,0,0,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,7,0,0,0,4,1,3,0,8,10,8,9,0,4,0,7,6,1,8,5,9,10,7,1,3,2,5,2,0,6,5,0,6
n80,0,10,2,9,6,7,8,5,2,5,0,1,6,0,3,0,0,0,0,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,7,2,1,5,4,1,3,8,8,10,8,9,9,4,0,7,6,1,8,0,9,10,7,1,3,2,5,2,0,6,5,0,6
n79,0,10,2,9,6,7,8,5,2,5,0,1,6,0,3,0,8,3,1,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,7,2,1,5,4,1,3,0,8,10,8,9,9,4,0,7,6,1,8,0,9,10,7,1,3,2,5,2,0,6,5,10,6
n84,0,10,2,2,6,7,8,5,2,5,3,1,6,9,3,0,5,0,6,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,0,0,9,0,4,1,3,0,8,10,8,0,0,4,0,7,6,1,8,0,9,10,7,1,3,2,2,2,0,6,5,9,6
n83,5,10,2,2,6,7,8,5,2,5,3,1,6,9,3,9,5,0,6,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,0,2,9,0,4,1,3,0,8,10,8,0,8,4,1,7,6,1,8,0,9,10,7,1,3,2,2,2,6,6,5,0,6
n86,7,10,2,2,6,7,8,5,2,5,3,1,6,9,3,0,5,9,6,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,9,0,9,0,4,1,3,0,8,10,8,0,0,4,0,7,6,1,8,0,9,10,7,1,3,2,0,2,10,6,5,0,6
n85,5,10,2,2,6,7,8,5,2,5,3,1,6,9,3,10,5,0,6,6,4,10,0,3,6,1,8,3,10,6,9,1,7,8,9,9,10,9,6,9,8,4,1,3,0,8,10,8,0,0,4,0,7,6,1,8,0,9,10,7,1,3,2,0,2,0,6,5,8,6
n92,0,10,2,4,6,7,8,5,2,5,1,1,6,0,3,0,0,0,5,6,4,10,0,3,6,0,0,3,10,2,9,1,7,8,9,9,10,0,0,0,1,4,1,3,8,8,10,8,0,9,4,8,7,6,1,8,8,0,10,5,1,3,2,7,2,0,6,5,0,6
n91,0,10,2,4,6,7,8,5,2,5,1,1,6,0,3,0,1,0,5,6,4,10,0,3,6,0,0,3,10,2,9,1,7,8,9,9,10,0,0,0,1,4,1,3,8,8,10,8,0,9,4,8,7,6,1,8,8,0,10,5,1,3,2,7,2,0,6,5,0,6
n94,0,10,2,4,6,7,8,5,2,5,1,1,6,10,3,0,0,0,5,6,4,10,0,3,6,0,1,3,10,2,9,1,7,8,9,9,10,0,6,0,1,4,1,3,8,8,10,8,0,0,4,8,7,6,1,8,8,0,10,5,1,3,2,0,2,0,6,5,0,6
n93,0,10,2,4,6,7,8,5,2,5,1,1,6,10,3,0,0,0,5,6,4,10,3,3,6,0,1,3,10,2,9,1,7,8,9,9,10,0,6,0,1,4,1,3,8,8,10,8,0,0,4,8,7,6,1,8,8,0,10,5,1,3,2,0,2,0,6,5,0,6
