cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,1,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,2,6,8,1,8,0,6,6,10,8,0,1,10,9,10,0,5,1,7,0,0,10,1,5,0,0,8,6,6,8,7,4,1,4,9,10,0,7,7,8,10,5,6,5,0,5,3,9,10,4,10,1,0
n15,1,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,2,6,8,1,8,1,6,6,10,8,0,1,10,9,10,0,5,1,7,0,0,10,1,5,0,0,8,6,6,0,7,4,1,4,9,10,0,7,7,8,10,5,6,5,0,5,3,9,10,0,10,1,0
n18,9,7,7,10,7,4,1,1,2,4,8,5,6,0,3,5,8,2,6,8,1,8,0,6,6,10,8,0,1,10,9,10,9,5,1,7,0,6,10,1,5,2,0,8,6,6,0,7,4,1,4,9,10,0,7,7,8,10,5,6,5,2,5,3,9,10,4,10,1,0
n17,0,7,7,10,7,4,1,1,2,4,8,5,6,0,3,5,8,2,6,8,1,8,0,6,6,10,8,3,1,10,9,10,9,5,1,7,0,6,10,1,5,2,0,8,6,6,7,7,4,1,4,9,10,0,7,7,8,10,5,6,5,2,5,3,9,10,0,10,1,0
n22,3,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,2,6,8,1,8,4,6,6,10,8,0,1,10,0,10,4,0,1,7,0,6,10,1,5,2,8,8,6,6,1,7,4,1,4,9,10,5,7,7,8,10,5,6,5,9,5,3,9,10,9,10,1,0
n21,3,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,2,6,8,1,8,4,6,6,10,8,0,1,10,7,10,4,0,1,7,0,6,10,1,5,2,0,8,6,6,1,7,4,1,4,9,10,5,7,7,8,0,5,6,5,9,5,3,9,10,9,10,1,0
n24,3,7,7,10,7,4,1,1,2,4,8,5,6,0,3,5,8,2,6,8,1,8,4,6,6,10,8,6,1,10,6,10,4,10,1,7,0,6,10,1,5,2,5,8,6,6,1,7,4,1,4,9,10,5,7,7,8,10,5,6,5,9,5,3,9,10,9,10,1,0
n23,3,7,7,10,7,4,1,1,2,4,8,5,6,0,3,5,8,2,6,8,1,8,4,6,6,10,8,6,1,10,6,10,4,7,1,7,0,6,10,1,5,2,0,8,6,6,1,7,4,1,4,9,10,5,7,7,8,10,5,6,5,9,5,3,9,10,9,10,1,0
n30,6,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,9,6,0,1,8,10,6,6,10,8,3,1,10,0,10,4,1,1,7,0,0,10,1,5,1,0,8,0,10,9,9,4,10,4,9,10,9,7,7,8,1,5,6,5,0,5,3,2,10,7,10,1,0
n29,6,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,9,6,4,1,8,0,6,6,10,8,3,1,10,0,10,4,1,1,7,0,7,10,1,5,1,4,8,0,10,9,9,4,10,4,9,10,9,7,7,8,1,5,6,5,0,5,3,10,10,7,10,1,0
n32,10,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,9,6,3,1,8,0,6,6,10,8,3,1,10,0,10,4,1,1,7,0,0,10,1,5,1,0,8,5,3,9,9,4,10,4,9,10,9,7,7,8,0,5,6,5,0,5,3,0,10,7,10,1,0
n31,10,7,7,10,7,4,1,1,2,4,8,5,6,2,3,5,8,9,6,0,1,8,0,6,6,10,8,3,1,10,0,10,4,1,1,7,10,0,10,1,5,1,0,8,5,7,9,9,4,10,4,9,10,9,7,7,8,0,5,6,5,0,5,3,0,10,7,10,1,0
n36,1,7,7,10,7,4,1,1,2,4,8,5,6,7,3,5,8,9,6,0,1,8,7,6,6,10,8,6,1,10,4,10,0,1,1,7,0,0,10,1,5,0,0,8,8,2,9,0,4,7,4,9,10,9,7,7,8,0,5,6,5,10,5,3,0,10,7,10,1,0
n35,1,7,7,10,7,4,1,1,2,4,8,5,6,1,3,5,8,9,6,0,1,8,7,6,6,10,8,6,1,10,4,10,0,1,1,7,0,0,10,1,5,0,0,8,8,0,9,2,4,7,4,9,10,9,7,7,8,0,5,6,5,10,5,3,0,10,7,10,1,0
n38,0,7,7,10,7,4,1,1,2,4,8,5,6,0,3,5,8,9,6,2,1,8,5,6,6,10,8,6,1,10,4,10,0,1,1,7,5,0,10,1,5,0,0,8,0,3,9,0,4,9,4,9,10,9,7,7,8,0,5,6,5,0,5,3,9,10,7,10,1,7
n37,0,7,7,10,7,4,1,1,2,4,8,5,6,0,3,5,8,9,6,2,1,8,5,6,6,10,8,6,1,10,4,10,0,1,1,7,0,0,10,1,5,7,0,8,0,3,9,0,4,0,4,9,10,9,7,7,8,0,5,6,5,10,5,3,9,10,7,10,1,7
n46,7,7,7,10,7,4,1,1,1,4,8,5,6,0,3,5,8,0,6,0,1,8,4,6,6,10,8,4,1,10,2,10,10,0,3,7,7,0,10,1,5,2,9,0,0,10,7,0,4,0,4,9,10,10,7,7,8,7,5,6,5,0,5,10,9,10,1,8,1,7
n45,7,7,7,10,7,4,1,1,5,4,8,5,6,0,3,5,8,0,6,9,1,8,4,6,6,10,8,4,1,10,2,10,10,0,3,7,7,0,10,1,5,2,9,0,0,10,7,0,4,0,4,9,10,10,7,7,8,7,5,6,5,3,5,10,9,10,1,8,1,7
n48,7,7,7,10,7,4,1,1,0,4,8,5,6,0,3,5,8,0,6,0,1,8,4,6,6,10,8,4,1,10,8,10,10,0,3,7,0,9,10,1,5,2,9,0,0,10,7,0,4,0,4,9,10,10,7,7,8,7,5,6,5,0,5,10,9,10,1,3,1,7
n47,7,7,7,10,7,4,1,1,0,4,8,5,6,0,3,5,8,0,6,0,1,8,4,6,6,10,8,4,1,10,0,10,10,0,3,7,6,9,10,1,5,2,9,0,0,10,7,0,4,0,4,9,10,10,7,7,8,7,5,6,5,0,5,10,9,10,1,3,1,7
n52,3,7,7,10,7,4,1,1,7,4,8,5,6,0,3,5,8,3,6,7,1,8,4,6,6,10,8,3,1,10,0,10,10,6,5,7,6,0,10,1,5,2,4,0,0,10,7,0,4,0,4,9,10,6,7,7,8,7,5,6,5,5,5,10,9,10,0,8,1,7
n51,3,7,7,10,7,4,1,1,7,4,8,5,6,0,3,5,8,3,6,7,1,8,4,6,6,10,8,3,1,10,0,10,10,6,5,7,6,0,10,1,5,2,4,0,0,10,7,0,4,0,4,9,10,0,7,7,8,7,5,6,5,5,5,10,9,10,0,0,1,7
n54,3,7,7,10,7,4,1,1,7,4,8,5,6,0,3,5,8,0,6,9,1,8,4,6,6,10,8,0,1,10,8,10,10,6,5,7,6,0,10,1,5,2,4,0,6,10,7,0,4,0,4,9,10,0,7,7,8,7,5,6,5,0,5,10,9,10,0,1,1,7
n53,3,7,7,10,7,4,1,1,7,4,8,5,6,0,3,5,8,0,6,2,1,8,4,6,6,10,8,0,1,10,8,10,10,6,5,7,6,9,10,1,5,2,4,0,6,10,7,0,4,0,4,9,10,0,7,7,8,7,5,6,5,0,5,10,9,10,0,1,1,7
