cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,7,1,7,9,0,5,0,10,3,2,0,6,4,5,8,10,3,0,4,0,0,3,8,9,4,5,0,7,9,2,9,0,7,0,1,0,2,3,1,5,0,0,10,0,7,10,4,4,10,0,6,2,4,1,4,1,2,0,1,10,1,8,1,8,8,1,5,3,0,0
n15,7,1,7,9,0,5,0,10,3,2,0,6,4,5,8,10,3,0,4,0,0,3,8,9,4,5,0,7,9,2,9,6,7,0,1,3,2,3,1,5,0,0,10,0,7,10,4,4,10,0,6,2,4,1,4,1,2,0,1,10,1,8,1,8,8,1,5,3,4,0
n18,7,1,7,9,10,5,5,10,3,2,8,6,4,5,8,10,3,0,4,4,0,3,8,9,4,5,0,7,9,2,9,0,7,0,1,4,2,3,1,5,0,0,10,2,7,10,4,4,10,0,6,2,4,1,4,1,2,1,0,0,1,8,1,8,8,1,1,3,0,7
n17,7,1,7,9,10,5,5,10,3,2,0,6,4,5,8,10,3,7,4,0,0,3,8,9,4,5,0,7,9,2,9,0,7,0,1,0,2,3,1,5,0,0,10,2,7,10,4,4,10,0,6,2,4,1,4,1,2,1,1,3,1,8,1,8,8,1,1,3,0,0
n22,7,1,7,9,6,5,9,10,3,2,0,6,4,5,8,10,3,0,4,6,0,3,8,9,4,5,0,7,9,2,9,4,7,0,1,8,2,3,0,5,0,0,10,0,0,10,4,4,10,6,6,2,4,1,4,1,2,9,2,0,1,8,1,8,2,1,0,3,0,9
n21,7,1,7,9,6,5,9,10,3,2,6,6,4,5,8,10,3,0,4,6,0,3,8,9,4,5,0,7,9,2,9,4,7,0,1,0,2,3,7,5,2,9,10,0,0,10,4,4,10,6,6,2,4,1,4,1,2,0,2,0,1,8,1,8,2,1,0,3,0,9
n24,7,1,7,9,0,5,0,10,3,2,0,6,4,5,8,10,3,0,4,6,0,3,8,9,4,5,2,7,9,2,9,5,7,8,1,2,2,3,7,5,3,0,10,5,0,10,4,4,10,0,6,2,4,1,4,1,2,0,2,8,1,8,1,8,0,1,0,3,4,9
n23,7,1,7,9,0,5,7,10,3,2,0,6,4,5,8,10,3,6,4,6,6,3,8,9,4,5,2,7,9,2,9,5,7,8,1,0,2,3,7,5,3,0,10,10,0,10,4,4,10,0,6,2,4,1,4,1,2,0,2,8,1,8,1,8,0,1,8,3,4,9
n30,7,1,7,9,0,5,0,0,3,10,0,6,4,5,8,10,3,3,4,0,0,3,8,9,4,5,0,7,9,2,9,8,7,2,1,4,2,3,1,5,7,1,0,0,1,10,4,4,10,7,6,0,4,1,4,9,2,4,0,0,1,8,1,8,5,1,0,3,6,0
n29,7,1,7,9,6,5,3,0,3,9,0,6,4,5,8,10,3,3,4,0,0,3,8,9,4,5,10,7,9,2,9,8,7,2,1,4,2,3,1,5,7,1,0,0,1,10,4,4,10,0,6,0,4,1,4,9,2,4,0,0,1,8,1,8,5,1,0,3,6,0
