cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,0,8,3,3,0,0,3,5,7,9,6,10,2,8,9,2,9,2,4,2,3,6,7,3,5,4,9,1,1,6,6,5,10,9,10,0,2,6,6,10,6,1,8,10,2,2,0,6,2,6,5,0,9,7,0,3,1,0,1,9,0,1,4,6,3,7,3,6,1,0,5,6,6,0,3,6,3,2,2,9,7,4,7,6,10,9,2,6,2,5
n15,6,8,3,3,0,6,3,5,7,9,6,10,2,0,9,2,9,2,4,2,3,6,7,3,5,4,9,1,1,6,6,5,10,9,10,0,2,6,6,10,6,1,8,10,2,2,0,6,2,6,5,1,9,7,0,3,1,0,1,9,0,1,4,6,3,7,3,6,1,0,5,6,6,0,3,6,3,2,2,9,7,4,7,6,0,9,2,6,0,5
n18,0,8,3,3,0,5,3,5,7,9,6,0,2,4,9,0,9,2,4,2,3,6,7,3,5,4,9,1,1,6,6,5,10,9,10,0,2,6,6,10,6,1,8,10,2,2,1,6,2,6,5,9,9,7,0,3,1,5,1,9,0,1,4,6,3,7,3,6,4,0,5,6,6,0,3,6,3,2,2,9,7,4,7,6,9,0,2,6,8,5
n17,0,8,3,3,0,5,3,5,7,9,6,0,2,4,9,0,9,2,4,2,3,6,7,3,5,4,9,1,1,6,6,5,10,9,10,1,2,6,6,10,6,1,8,10,2,2,1,6,2,6,5,0,9,7,0,3,1,0,1,9,4,1,4,6,3,7,3,6,1,0,5,6,6,0,3,6,3,2,2,9,7,4,7,6,10,0,2,6,8,5
n22,0,8,3,3,0,8,3,5,7,9,6,9,2,0,9,0,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,5,10,9,10,2,2,6,6,10,6,1,8,10,2,2,0,6,2,6,5,1,9,7,7,3,1,3,1,9,0,1,4,6,3,7,3,6,0,8,5,6,6,0,3,6,3,2,2,9,7,4,4,6,10,0,2,6,7,5
n21,0,8,3,3,0,0,3,5,7,9,6,9,2,0,9,0,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,5,10,9,10,0,2,6,6,10,6,1,8,10,2,2,4,6,2,6,5,0,9,7,7,3,1,0,1,9,0,1,4,6,3,7,3,6,0,8,5,6,6,6,3,6,3,2,2,9,7,4,4,6,10,0,2,6,7,5
n24,0,8,3,3,0,0,3,5,7,9,6,9,2,0,9,1,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,5,10,9,10,0,2,6,6,10,6,1,8,10,2,2,0,6,2,6,5,0,9,7,7,3,1,5,1,9,2,1,4,6,3,7,3,6,0,4,5,6,6,0,3,6,3,2,2,9,7,4,0,6,0,0,2,6,7,5
n23,0,8,3,3,0,8,3,5,7,9,6,9,2,0,9,0,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,5,10,9,10,0,2,6,6,10,6,1,8,10,2,2,7,6,2,6,5,0,9,7,7,3,1,5,1,9,2,1,4,6,3,7,3,6,0,0,5,6,6,0,3,6,3,2,2,9,7,4,0,6,0,0,2,6,7,5
n30,2,8,3,3,0,0,3,5,7,9,6,0,2,0,9,3,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,0,10,9,10,2,2,6,6,0,6,1,8,10,2,0,0,6,2,6,5,8,9,7,8,3,1,8,1,9,0,1,4,6,0,7,3,6,5,0,5,6,6,6,3,0,3,2,0,9,7,4,0,0,0,0,3,6,5,1
n29,2,8,3,3,0,0,3,5,7,9,6,0,2,0,9,3,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,10,10,9,10,0,2,6,6,10,6,1,8,10,2,0,0,6,2,6,5,8,9,7,8,3,1,8,1,9,0,1,4,6,0,7,3,6,0,0,5,6,6,6,3,4,3,2,0,9,7,4,0,0,0,0,3,6,5,1
n32,2,8,3,3,3,0,3,5,7,9,6,0,2,0,9,0,9,2,4,2,3,6,7,3,5,4,9,1,1,6,6,0,10,9,10,3,2,6,6,10,6,1,8,10,2,0,8,6,0,6,5,8,9,7,8,3,1,8,1,9,6,1,4,6,0,7,3,6,0,3,5,6,6,6,3,0,3,2,0,9,7,4,6,0,0,0,3,6,5,1
n31,2,8,3,3,3,0,3,5,7,9,6,0,2,0,9,6,9,2,4,2,3,6,7,3,5,4,9,1,1,6,6,0,10,9,10,0,2,6,6,10,6,1,8,10,2,0,8,6,0,6,5,8,9,7,8,3,1,8,1,9,6,1,4,6,0,7,3,6,0,0,5,6,6,6,3,0,3,2,0,9,7,4,0,0,0,3,3,6,5,1
n36,2,8,3,3,0,2,3,5,7,9,6,1,2,0,9,2,9,2,4,2,3,6,7,0,5,4,9,1,1,6,6,0,10,9,10,0,2,6,6,0,6,1,8,10,2,0,0,6,5,6,5,8,9,7,0,3,1,8,1,9,0,1,4,6,10,7,3,6,0,0,5,6,6,6,3,10,3,2,0,9,7,4,10,0,9,9,3,6,5,0
