cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,8,3,4,3,6,9,2,9,0,10,10,8,2,6,2,5,3,0,10,6,9,9,0,10,0,7,0,1,7,0,10,7,0,7,1,7,7,6,8,0,7,2,0,0,0,10,5,10,7,6,7,6,5,2,0,0,3,0,8,7,2,5,1,1,5,2,10,8,9,5
n15,8,3,4,3,6,0,2,9,0,10,10,8,2,6,0,5,3,0,10,6,9,9,1,10,0,7,0,1,7,0,10,7,0,7,1,7,7,6,8,0,7,2,0,0,6,10,5,10,7,6,7,6,5,2,0,0,3,0,8,7,2,5,1,1,5,2,10,8,9,5
n18,8,3,4,3,6,0,2,9,0,10,10,8,2,6,0,5,3,0,10,6,9,0,5,0,0,7,0,1,7,0,10,7,8,7,1,0,7,6,8,0,7,2,0,0,0,10,5,10,7,6,7,6,5,2,0,0,0,0,8,7,2,5,1,1,5,2,10,8,9,5
n17,8,3,4,3,6,7,2,9,0,10,10,8,2,6,0,5,3,7,10,6,9,8,5,0,1,7,0,1,7,0,10,7,0,7,1,4,7,6,8,0,7,2,0,0,0,10,5,10,7,6,7,6,5,2,0,0,0,0,8,7,2,5,1,1,5,2,10,8,9,5
n22,8,3,4,3,6,0,4,9,0,10,10,8,2,0,0,5,3,7,10,6,9,0,0,0,10,7,3,1,1,0,10,7,0,7,1,0,7,0,8,0,7,2,3,0,0,10,5,10,7,6,7,6,5,2,0,0,5,5,8,7,2,5,1,1,5,2,10,8,9,5
n21,8,3,4,3,6,0,4,9,0,10,10,8,2,0,0,5,3,0,10,6,9,10,0,5,0,7,3,1,1,0,10,7,0,7,1,4,7,0,8,10,7,2,0,0,0,10,5,10,7,6,7,6,5,2,0,0,5,5,8,7,2,5,1,1,5,2,10,8,9,5
n24,8,3,4,3,6,10,2,9,0,10,10,8,2,0,0,5,3,10,10,6,9,0,0,0,0,7,0,1,1,2,10,7,0,7,1,0,7,0,8,1,7,2,4,0,0,10,5,10,7,6,7,6,5,2,0,0,9,5,8,7,2,5,1,1,5,2,10,8,9,5
n23,8,3,4,3,6,0,2,9,0,10,10,8,2,0,0,5,3,10,10,6,9,0,7,0,0,7,0,1,1,0,10,7,0,7,1,0,7,0,8,0,7,2,4,0,8,10,5,10,7,6,7,6,5,2,0,0,9,5,8,7,2,5,1,1,5,2,10,8,9,5
n30,8,3,4,3,6,2,0,9,5,10,0,8,7,0,4,5,3,0,10,6,0,6,0,3,5,7,1,1,3,10,10,7,0,7,1,6,0,3,8,5,7,2,8,10,0,10,5,10,7,6,7,6,5,2,10,0,8,0,8,7,2,5,1,1,0,2,10,8,9,5
n29,8,3,4,3,6,2,8,9,5,10,0,8,7,0,4,5,3,0,10,6,0,6,0,3,5,7,1,1,3,10,10,7,0,7,1,6,0,3,8,0,7,2,8,10,0,10,5,10,7,6,7,6,5,2,10,0,4,0,8,7,2,5,1,1,0,2,10,8,9,5
n32,8,3,4,3,6,2,0,9,5,10,0,8,7,0,4,5,3,4,10,6,0,6,9,3,5,7,1,1,3,10,10,7,2,7,1,6,0,0,8,0,7,2,8,0,0,10,5,10,7,6,7,6,5,2,10,2,9,0,8,7,2,5,1,1,3,2,10,8,9,5
n31,8,3,4,3,6,2,0,9,5,10,0,8,7,0,4,5,3,0,10,6,0,6,0,3,5,7,1,1,3,10,10,7,2,7,1,6,0,0,8,0,7,2,8,0,0,10,5,10,7,6,7,6,5,2,10,2,9,3,8,7,2,5,1,1,3,2,10,8,9,5
n36,8,3,4,3,6,8,0,9,3,10,9,8,0,5,9,5,3,8,10,6,7,0,0,3,5,7,1,1,5,10,10,7,0,7,1,3,3,7,8,0,7,2,8,0,0,10,5,10,7,6,7,6,5,2,7,0,0,7,8,7,2,5,1,1,0,2,10,8,9,5
n35,8,3,4,3,6,8,0,9,3,10,9,8,0,5,9,5,3,8,10,6,7,0,0,3,5,7,1,1,5,10,10,7,0,7,1,3,3,7,8,2,7,2,8,0,0,10,5,10,7,6,7,6,5,2,0,0,0,7,8,7,2,5,1,1,0,2,10,8,9,5
n38,8,3,4,3,6,0,10,9,0,10,0,8,0,5,0,5,3,2,10,6,0,3,5,3,5,7,1,1,0,10,10,7,0,7,1,9,3,7,8,0,7,2,8,0,0,10,5,10,7,6,7,6,5,2,2,9,0,7,8,7,2,5,1,1,1,2,10,8,9,5
n37,8,3,4,3,6,0,10,9,0,10,10,8,7,5,1,5,3,2,10,6,0,3,5,3,5,7,1,1,0,10,10,7,0,7,1,0,3,7,8,0,7,2,8,0,5,10,5,10,7,6,7,6,5,2,2,0,0,7,8,7,2,5,1,1,1,2,10,8,9,5
n46,8,3,4,3,6,5,5,9,8,10,5,8,0,0,10,5,3,8,10,6,0,9,4,0,9,7,0,1,6,0,10,7,5,7,1,0,9,2,8,1,7,1,10,6,7,10,5,10,7,6,7,6,5,2,0,2,2,7,8,1,2,5,1,1,5,2,10,8,0,5
n45,8,3,4,3,6,0,0,9,8,10,5,8,0,0,10,5,3,8,10,6,0,0,4,0,9,7,0,1,6,0,10,7,0,7,1,4,9,2,8,1,7,1,10,6,7,10,5,10,7,6,7,6,5,2,0,2,2,7,8,0,2,5,1,1,5,2,10,8,0,5
n48,8,3,4,3,6,8,6,9,8,10,5,8,0,0,10,5,3,6,10,6,0,0,4,8,9,7,10,1,0,0,10,7,0,7,1,0,9,2,8,1,7,1,10,0,7,10,5,10,7,6,7,6,5,2,8,2,2,7,8,0,2,5,1,1,5,2,10,8,0,5
n47,8,3,4,3,6,8,0,9,8,10,5,8,10,0,10,5,3,6,10,6,0,0,4,8,9,7,10,1,9,0,10,7,0,7,1,0,9,2,8,1,7,1,10,0,7,10,5,10,7,6,7,6,5,2,0,2,2,7,8,0,2,5,1,1,5,2,10,8,0,5
n52,8,3,4,3,6,0,1,9,8,10,5,8,2,0,10,5,3,0,10,6,0,0,4,0,9,7,0,1,0,0,10,7,3,7,1,1,9,2,8,1,7,0,9,0,0,10,5,10,7,6,7,6,5,2,9,2,2,3,8,6,2,5,1,1,5,2,10,8,3,5
