cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,0,9,8,8,6,5,3,8,10,2,8,10,1,10,0,1,2,6,6,0,1,5,7,5,1,7,3,4,10,2,6,0,5,8,0,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,0,2,2,0,3,0,10,2,9,9,9,2,8,0,10,1,1,4,8,1
n15,0,9,8,8,6,5,3,8,10,2,8,10,1,10,0,1,2,6,0,0,1,5,7,5,1,7,3,4,10,2,0,0,0,8,0,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,0,2,2,0,3,0,10,2,9,9,9,2,8,0,10,1,1,4,8,1
n18,0,9,8,0,6,5,3,8,10,2,8,10,1,10,0,1,0,6,10,4,1,5,7,5,1,7,3,4,10,2,6,0,0,8,5,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,0,2,8,0,3,4,10,2,9,9,9,2,8,0,10,1,1,4,8,1
n17,9,9,8,0,6,5,3,8,10,2,8,10,1,10,0,1,0,6,10,5,1,5,7,5,1,7,3,4,10,2,0,0,10,8,0,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,0,2,8,0,3,0,10,2,9,9,9,2,8,0,10,1,1,4,8,1
n22,0,1,8,4,6,5,3,8,10,2,8,10,1,10,5,1,0,6,0,0,1,5,7,5,1,7,3,4,10,2,8,0,0,8,0,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,8,2,7,0,3,0,10,2,0,9,9,2,8,0,10,1,1,4,8,1
n21,0,1,8,0,6,5,3,8,10,2,8,10,1,10,5,1,8,6,2,5,1,5,7,5,1,7,3,4,10,2,8,0,0,8,0,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,8,2,7,0,3,9,10,2,0,9,9,2,8,0,10,1,1,4,8,1
n24,0,1,8,0,6,5,3,8,10,2,8,10,1,10,5,1,0,6,0,0,1,5,7,5,1,7,3,4,10,2,0,6,0,8,0,6,9,10,0,2,6,4,1,1,4,6,3,7,10,3,8,2,10,0,3,0,10,2,0,9,9,2,8,2,10,1,1,4,8,1
n23,0,1,8,0,6,5,3,8,10,2,8,10,1,10,5,1,0,6,0,0,1,5,7,5,1,7,3,4,10,2,0,0,0,8,0,6,9,10,1,2,6,4,1,1,4,6,3,7,10,3,8,2,10,0,3,0,10,2,0,9,9,2,8,2,10,1,1,4,8,1
n30,9,0,0,1,6,5,3,8,10,2,10,10,1,10,0,1,0,6,2,0,1,5,7,5,1,7,3,4,0,2,0,0,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,0,3,3,10,2,10,8,9,2,8,10,10,1,1,4,8,1
n29,4,0,0,1,6,5,3,8,10,2,10,10,1,10,0,1,0,6,2,0,1,5,7,5,1,7,3,4,0,2,0,0,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,0,3,3,10,2,0,8,9,2,8,10,10,1,1,4,8,1
n32,5,2,0,1,6,5,3,8,10,2,10,10,1,10,6,1,0,6,2,10,1,5,7,5,1,7,3,4,0,2,10,0,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,0,3,0,10,2,2,8,9,2,8,10,10,1,1,4,8,1
n31,0,0,0,1,6,5,3,8,10,2,10,10,1,10,6,1,0,6,2,10,1,5,7,5,1,7,3,4,0,2,0,0,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,3,3,0,10,2,0,8,9,2,8,10,10,1,1,4,8,1
n36,8,0,0,0,6,5,3,8,10,2,0,10,1,10,2,1,0,6,2,8,1,5,7,5,1,7,3,4,10,2,3,8,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,10,3,4,10,2,9,8,9,2,8,0,10,1,1,4,8,1
n35,8,10,0,0,6,5,3,8,10,2,5,10,1,10,2,1,0,6,2,8,1,5,7,5,1,7,3,4,0,2,3,4,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,10,3,4,10,2,9,8,9,2,8,0,10,1,1,4,8,1
n38,0,5,0,5,6,5,3,8,10,2,0,10,1,10,8,1,0,6,2,8,1,5,7,5,1,7,3,4,0,2,3,8,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,10,3,4,10,2,9,8,9,2,8,4,10,1,1,4,8,1
n37,0,5,5,5,6,5,3,8,10,2,2,10,1,10,0,1,0,6,2,8,1,5,7,5,1,7,3,4,0,2,3,8,6,8,9,6,0,10,0,2,6,4,1,1,4,6,3,7,10,3,10,2,0,10,3,4,10,2,9,8,9,2,8,0,10,1,1,4,8,1
n46,5,5,8,1,6,5,3,4,10,2,0,8,1,10,5,9,6,6,8,7,1,0,7,5,1,7,10,4,2,9,0,5,0,8,2,9,0,10,0,2,6,8,1,1,4,6,3,7,10,3,2,2,1,5,7,4,10,2,0,0,9,2,0,10,4,1,1,4,8,1
n45,5,5,8,1,6,5,3,4,10,2,3,8,1,10,5,9,6,6,8,7,1,0,7,5,1,7,10,4,2,9,0,0,0,8,2,9,0,10,0,2,6,8,1,1,4,6,3,7,10,3,2,2,0,5,7,4,10,2,0,0,9,2,0,10,4,1,1,4,8,1
n48,0,0,0,3,6,5,3,4,10,2,0,0,1,10,8,1,6,6,8,7,1,3,7,5,1,7,10,4,2,9,0,10,6,8,2,9,0,10,0,2,6,8,1,1,4,6,3,7,10,3,2,2,9,9,7,1,10,2,0,0,9,2,0,10,4,1,1,4,8,1
n47,0,0,0,3,6,5,3,4,10,2,0,0,1,10,0,1,6,6,8,7,1,0,7,5,1,7,10,4,2,9,0,0,0,8,2,9,4,10,0,2,6,8,1,1,4,6,3,7,10,3,2,2,9,0,7,1,10,2,0,0,9,2,0,10,4,1,1,4,8,1
n52,0,0,0,9,6,5,3,4,10,2,0,0,1,10,0,0,0,6,8,7,1,0,7,5,1,7,10,4,9,10,1,0,1,8,2,9,6,10,2,2,6,8,1,1,4,6,3,7,10,3,0,2,0,0,7,3,10,2,5,0,9,2,10,10,0,1,1,4,8,1
