cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,2,7,7,7,2,10,7,5,0,9,0,2,0,5,0,0,3,4,4,10,6,10,10,0,0,1,6,10,3,0,8,5,10,6,2,9,9,4,1,0,0,3,4,8,7,6,1,4,1,0
n15,2,7,7,7,2,10,7,5,0,9,0,2,0,5,0,0,3,4,4,10,6,10,10,0,0,1,6,10,3,0,8,5,10,6,2,9,9,4,1,9,0,3,4,8,7,6,1,4,1,0
n18,2,7,7,7,2,10,7,5,1,9,0,2,5,0,3,9,3,4,4,10,6,10,10,2,0,1,6,10,3,5,8,5,10,6,2,9,10,4,1,10,0,3,4,8,7,6,1,4,1,0
n17,2,7,7,7,2,10,7,5,0,9,0,2,5,0,3,9,3,4,4,10,6,10,10,2,0,1,6,10,3,5,8,5,10,6,2,9,10,4,1,10,0,3,4,8,7,6,1,4,1,0
n22,2,7,7,7,2,10,7,5,0,9,6,2,2,4,0,7,3,4,4,10,6,10,10,0,7,1,6,10,3,0,8,5,10,6,2,9,5,0,1,0,0,3,4,8,7,6,1,4,2,1
n21,2,7,7,7,2,10,7,5,7,9,6,2,2,4,1,7,3,4,4,10,6,10,10,0,7,1,6,10,3,4,8,5,10,6,2,9,0,9,1,0,0,3,4,8,7,6,1,4,2,1
n24,2,7,7,7,2,10,7,5,0,9,0,2,2,4,0,7,3,4,4,10,6,10,10,0,7,1,6,10,3,0,8,5,10,6,2,9,0,0,1,0,0,3,4,8,7,6,1,4,6,1
n23,2,7,7,7,2,10,7,5,2,9,0,2,2,4,8,7,3,4,4,10,6,10,10,0,7,1,6,10,3,6,8,5,10,6,2,9,2,0,1,0,0,3,4,8,7,6,1,4,6,1
n30,2,7,7,7,2,10,7,5,0,0,10,2,4,0,0,0,3,4,4,10,6,10,2,0,8,1,6,10,3,0,0,5,10,6,2,9,3,6,1,0,0,3,4,8,7,6,1,4,0,0
n29,2,7,7,7,2,10,7,5,0,0,0,2,4,0,3,0,3,4,4,10,6,10,2,0,8,1,6,10,3,0,0,5,10,6,2,9,3,6,1,0,0,3,4,8,7,6,1,4,0,0
n32,2,7,7,7,2,10,7,5,0,0,0,2,4,0,0,0,3,4,4,10,6,10,0,0,0,1,6,10,3,8,4,5,10,6,2,9,3,6,1,1,0,3,4,8,7,6,1,4,0,0
n31,2,7,7,7,2,10,7,5,0,0,0,2,4,0,0,0,3,4,4,10,6,10,0,7,7,1,6,10,3,8,4,5,10,6,2,9,3,6,1,1,9,3,4,8,7,6,1,4,0,0
n36,2,7,7,7,2,10,7,5,0,6,0,2,4,9,0,5,3,4,4,10,6,10,8,5,8,1,6,10,3,0,8,5,10,6,2,9,3,6,1,0,0,3,4,8,7,6,1,4,3,10
n35,2,7,7,7,2,10,7,5,0,0,0,2,4,0,0,5,3,4,4,10,6,10,0,2,0,1,6,10,3,9,8,5,10,6,2,9,3,0,1,0,5,3,4,8,7,6,1,4,3,10
n38,2,7,7,7,2,10,7,5,0,8,1,2,4,0,0,0,3,4,4,10,6,10,0,6,0,1,6,10,3,0,7,5,10,6,2,9,3,0,1,3,3,3,4,8,7,6,1,4,3,10
n37,2,7,7,7,2,10,7,5,0,8,0,2,4,0,3,0,3,4,4,10,6,10,5,0,0,1,6,10,3,0,7,5,10,6,2,9,3,0,1,0,3,3,4,8,7,6,1,4,3,10
n46,2,7,7,7,2,10,7,0,1,0,9,0,8,0,1,6,9,4,5,10,6,10,0,0,10,1,6,10,3,9,5,5,10,6,2,9,0,4,1,0,1,3,4,8,7,6,1,4,10,9
n45,2,7,7,7,2,10,7,0,9,0,9,0,8,0,1,6,9,4,5,10,6,10,0,0,10,1,6,10,3,9,5,5,10,6,2,9,0,4,1,0,1,3,4,8,7,6,1,4,10,9
n48,2,7,7,7,2,10,7,1,7,0,9,0,8,0,1,6,9,4,5,10,6,10,2,9,9,1,6,10,3,9,5,5,10,6,2,9,0,0,1,7,1,3,4,8,7,6,1,4,8,9
n47,2,7,7,7,2,10,7,9,7,0,9,3,8,0,1,6,9,4,5,10,6,10,0,9,0,1,6,10,3,9,5,5,10,6,2,9,0,0,1,0,1,3,4,8,7,6,1,4,0,9
n52,2,7,7,7,2,10,7,0,1,0,9,0,8,0,1,0,9,4,5,10,6,10,0,6,0,1,6,10,3,9,5,5,10,6,2,9,0,9,1,1,1,3,4,8,7,6,1,4,6,0
n51,2,7,7,7,2,10,7,2,0,0,9,0,8,0,1,5,9,4,5,10,6,10,6,6,9,1,6,10,3,9,5,5,10,6,2,9,6,9,1,1,1,3,4,8,7,6,1,4,6,10
n54,2,7,7,7,2,10,7,0,6,0,9,0,8,0,1,0,9,4,5,10,6,10,0,6,0,1,6,10,3,9,5,5,10,6,2,9,5,9,1,1,1,3,4,8,7,6,1,4,6,4
n53,2,7,7,7,2,10,7,0,6,0,9,0,8,0,1,0,9,4,5,10,6,10,0,6,0,1,6,10,3,9,5,5,10,6,2,9,5,9,1,1,1,3,4,8,7,6,1,4,6,4
n60,2,7,7,7,2,10,7,3,0,2,3,0,8,5,1,7,9,4,4,10,6,10,0,1,8,1,6,10,3,4,5,5,10,6,2,9,0,0,1,0,0,3,4,8,7,6,1,4,2,9
n59,2,7,7,7,2,10,7,0,0,2,3,0,8,5,1,7,9,4,4,10,6,10,0,5,8,1,6,10,3,4,5,5,10,6,2,9,0,0,1,0,0,3,4,8,7,6,1,4,0,9
n62,2,7,7,7,2,10,7,0,0,2,10,0,8,1,1,0,3,4,4,10,6,10,0,0,8,1,6,10,3,4,5,5,10,6,2,9,0,0,1,6,0,3,4,8,7,6,1,4,8,9
n61,2,7,7,7,2,10,7,0,1,2,0,0,8,0,1,0,3,4,4,10,6,10,0,0,8,1,6,10,3,4,5,5,10,6,2,9,3,9,1,6,6,3,4,8,7,6,1,4,4,9
n66,2,7,7,7,2,10,7,0,0,2,0,0,8,9,1,2,3,4,1,10,6,10,2,0,6,1,6,10,3,4,5,5,10,6,2,9,7,0,1,0,0,3,4,8,7,6,1,4,10,9
n65,2,7,7,7,2,10,7,0,0,2,0,0,8,9,1,2,3,4,1,10,6,10,2,0,6,1,6,10,3,4,5,5,10,6,2,9,7,0,1,0,0,3,4,8,7,6,1,4,10,9
n68,2,7,7,7,2,10,7,7,0,2,0,0,8,0,1,2,3,4,1,10,6,10,2,0,4,1,6,10,3,4,5,5,10,6,2,9,0,0,1,0,10,3,4,8,7,6,1,4,0,9
n67,2,7,7,7,2,10,7,1,0,2,0,0,8,0,1,2,3,4,1,10,6,10,2,0,4,1,6,10,3,4,5,5,10,6,2,9,0,0,1,0,7,3,4,8,7,6,1,4,0,9
n78,0,3,7,7,2,10,7,0,8,7,2,0,10,0,0,5,1,6,1,7,6,10,2,10,6,1,6,9,3,3,1,5,10,6,2,9,0,1,1,10,0,3,4,8,7,6,1,0,0,7
n77,5,3,7,7,2,10,7,0,8,7,2,0,10,0,4,5,1,6,1,7,6,10,2,10,6,1,6,9,3,3,1,5,10,6,2,9,1,1,1,10,9,3,4,8,7,6,1,4,0,7
n80,5,1,7,7,2,10,7,7,8,7,2,0,10,0,0,5,0,6,1,2,6,10,2,10,6,1,6,10,3,3,10,5,10,6,2,9,0,1,1,10,6,3,4,8,7,6,1,3,5,7
n79,0,1,7,7,2,10,7,0,8,7,2,0,10,10,0,5,0,6,1,0,6,10,2,10,6,1,6,4,3,3,10,5,10,6,2,9,0,1,1,10,0,3,4,8,7,6,1,0,0,7
