cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,6,9,4,10,5,3,6,8,9,9,3,10,4,7,10,5,8,3,0,1,8,5,3,3,10,9,2,2,0,9,8,8,9,7,3,6,5,3,0,7,0,1,0,6,5,10,0,3,2,4,3,9,9,5,5,0,0,10,0,7,0,9,8,10,3,8,7,0,6,7,10,1,0,2,3,0,1,2,7,0,2,1,2,9,6,4,3,6,3,6
n15,6,9,4,10,5,0,6,8,9,9,3,10,4,7,10,5,8,3,0,1,8,5,3,3,10,0,2,2,2,9,8,8,9,7,3,6,5,3,0,7,0,1,0,6,5,10,0,3,2,4,3,9,9,5,5,0,0,0,0,7,0,9,8,10,3,8,7,0,6,7,10,1,0,2,3,0,1,2,7,8,2,1,2,9,6,4,3,6,3,6
n18,6,9,4,10,5,0,6,8,9,9,3,10,4,7,10,5,8,3,8,1,8,5,3,3,10,0,2,2,5,9,8,8,9,7,3,6,5,3,0,7,0,1,6,6,5,10,0,3,2,4,3,9,9,5,5,0,6,0,0,7,8,9,8,10,3,8,7,0,6,7,10,1,0,0,3,0,1,2,7,0,2,1,2,9,6,4,3,6,3,0
n17,6,9,4,10,5,0,6,8,9,9,3,10,4,7,10,5,8,3,8,1,8,5,3,3,10,0,2,2,5,9,8,8,9,7,3,6,5,3,0,7,0,1,0,6,5,10,3,3,2,4,3,9,9,5,5,6,6,4,0,7,8,9,8,10,3,8,7,4,6,7,10,1,0,0,3,0,1,2,7,0,2,1,2,9,6,4,3,6,3,1
n22,6,9,2,10,5,0,6,8,4,9,5,0,4,7,10,5,8,3,0,1,8,5,3,3,10,2,2,2,0,9,8,8,9,7,3,6,5,3,8,7,5,1,4,6,5,10,7,3,2,4,3,9,9,5,5,4,0,3,1,7,0,9,8,10,3,0,7,3,6,7,10,1,10,0,3,0,1,2,7,9,2,1,2,9,6,4,3,6,3,0
n21,6,9,0,10,5,0,6,8,4,9,9,0,4,7,10,5,8,3,0,1,8,5,3,3,10,2,2,2,0,9,8,8,9,7,3,6,5,3,0,7,5,1,4,6,5,10,7,3,2,4,3,9,9,5,5,4,4,0,0,7,1,9,8,10,3,0,7,3,6,7,10,1,10,0,3,0,1,2,7,9,2,1,2,9,6,4,3,6,3,0
n24,6,9,0,10,5,0,6,8,4,9,0,5,4,7,10,5,8,3,0,1,8,5,3,3,10,2,2,2,0,9,8,8,0,7,3,6,5,3,8,7,0,1,0,6,5,10,7,3,2,4,3,9,9,5,5,4,0,0,0,7,5,9,8,10,3,0,7,0,6,7,10,1,10,0,3,4,1,2,7,7,2,1,2,9,6,4,3,6,3,0
n23,6,9,2,10,5,0,6,8,4,9,0,5,4,7,10,5,8,3,2,1,8,5,3,3,10,2,2,2,0,9,8,8,0,7,3,6,5,3,8,7,6,1,0,6,5,10,7,3,2,4,3,9,9,5,5,4,0,0,0,7,0,9,8,10,3,0,7,5,6,7,10,1,10,0,3,4,1,2,7,7,2,1,2,9,6,4,3,6,3,0
n30,6,9,0,10,5,4,6,8,0,9,6,9,4,7,10,5,8,3,0,1,8,5,3,3,10,0,2,2,9,9,8,8,0,7,3,6,5,3,0,7,4,1,1,6,5,10,0,2,2,4,3,9,9,5,5,1,5,3,0,7,0,9,8,10,3,0,4,0,6,7,10,1,0,6,3,0,1,2,7,2,2,1,2,9,6,4,3,6,3,4
n29,6,9,0,10,5,4,6,8,0,9,6,0,4,7,10,5,8,3,0,1,8,5,3,3,10,0,2,2,9,9,8,8,0,7,3,6,5,3,0,7,4,1,0,6,5,10,0,2,2,4,3,9,9,5,5,1,5,3,0,7,0,9,8,10,3,0,4,0,6,7,10,1,0,6,3,0,1,2,7,2,2,1,2,9,6,4,3,6,3,4
n32,6,9,0,10,5,4,6,8,0,9,6,0,4,7,10,5,8,3,0,1,8,5,3,3,10,0,2,2,9,9,8,8,0,7,3,6,5,3,0,7,4,1,0,6,5,10,0,0,2,4,3,9,9,5,5,0,5,3,0,7,5,9,8,10,3,0,4,0,6,7,10,1,0,6,3,0,1,2,7,2,2,1,2,9,6,4,3,6,3,4
n31,6,9,3,10,5,4,6,8,0,9,6,3,4,7,10,5,8,3,2,1,8,5,3,3,10,0,2,2,9,9,8,8,0,7,3,6,5,3,0,7,4,1,0,6,5,10,4,0,2,4,3,9,9,5,5,0,5,3,0,7,0,9,8,10,3,0,4,0,6,7,10,1,0,6,3,1,1,2,7,2,2,1,2,9,6,4,3,6,3,4
n36,6,9,0,10,5,4,6,8,7,9,1,10,4,7,10,5,8,3,0,1,8,5,3,3,10,0,2,2,0,9,8,8,0,7,3,6,5,3,5,7,4,1,0,6,5,10,3,0,2,4,3,9,9,5,5,6,5,0,0,7,0,9,8,10,3,1,0,0,6,7,10,1,2,0,3,0,1,2,7,2,2,1,2,9,6,4,3,6,3,4
n35,6,9,0,10,5,4,6,8,7,9,1,10,4,7,10,5,8,3,0,1,8,5,3,3,10,0,2,2,0,9,8,8,0,7,3,6,5,3,5,7,4,1,0,6,5,10,3,0,2,4,3,9,9,5,5,6,5,0,0,7,0,9,8,10,3,0,0,0,6,7,10,1,2,8,3,0,1,2,7,2,2,1,2,9,6,4,3,6,3,4
n38,6,9,10,10,5,4,6,8,7,9,1,10,4,7,10,5,8,3,7,1,8,5,3,3,10,0,2,2,1,9,8,8,0,7,3,6,5,3,0,7,4,1,4,6,5,10,0,7,2,4,3,9,9,5,5,6,5,0,0,7,0,9,8,10,3,0,10,0,6,7,10,1,10,0,3,8,1,2,7,2,2,1,2,9,6,4,3,6,3,4
