,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29
134,4,0,19,24,0,0,28,1,28,21,24,0,9,24,28,9,-1,20,24,9,9,0,28,20,9,19,8,20,11,0
197,28,18,0,23,29,22,28,14,21,0,0,0,9,0,7,0,21,0,-1,0,24,20,11,18,-1,26,0,7,0,14
228,28,6,0,0,29,22,28,-1,8,-1,0,0,-1,-1,7,0,21,0,13,21,0,20,0,7,9,26,0,22,0,14
230,28,0,0,9,-1,22,28,14,-1,-1,0,9,9,2,7,0,-1,0,0,0,24,20,11,18,-1,26,0,0,28,14
236,28,0,0,21,-1,22,-1,0,8,0,0,0,0,23,7,-1,21,0,21,0,2,-1,0,0,9,26,0,22,0,14
241,28,0,-1,0,29,22,28,0,-1,0,0,6,22,-1,7,0,21,28,0,0,0,20,0,0,9,26,7,22,18,14
242,0,-1,6,0,2,0,28,0,28,1,0,12,0,24,-1,0,3,9,12,0,9,3,24,20,-1,8,14,0,0,-1
252,28,6,0,0,29,22,28,0,8,-1,0,22,9,-1,7,0,-1,-1,0,0,0,20,0,0,9,-1,0,22,0,-1
257,28,0,-1,-1,29,22,28,14,24,0,-1,0,9,-1,7,-1,21,2,0,0,24,20,11,18,9,-1,0,0,28,14
268,28,0,0,0,29,-1,-1,14,0,0,30,11,24,0,-1,21,21,0,0,-1,0,20,11,18,9,26,0,0,0,14
270,-1,0,0,0,29,22,28,0,8,0,-1,0,0,23,-1,0,21,2,0,3,0,20,29,0,9,26,0,22,0,14
280,28,0,0,19,29,22,28,0,8,0,-1,0,0,23,7,0,21,2,0,3,-1,20,29,0,9,26,0,-1,0,14
282,28,0,0,0,29,22,28,0,8,0,22,0,0,23,7,0,-1,2,23,3,0,20,29,7,9,26,0,22,0,14
301,28,1,0,0,29,22,28,14,0,19,30,11,-1,0,7,21,21,0,0,0,-1,20,11,18,9,26,21,0,0,14
305,28,0,-1,0,29,22,28,14,-1,0,0,0,0,-1,7,28,21,0,11,0,0,20,11,0,9,26,0,-1,8,14
313,28,0,0,0,29,22,28,0,8,0,0,-1,0,23,7,-1,21,0,0,0,0,20,0,0,9,26,0,22,0,14
317,28,0,-1,0,29,22,28,14,8,0,-1,6,0,23,7,0,21,0,11,0,9,20,0,0,9,-1,0,22,0,14
324,28,0,0,0,29,22,28,14,0,0,28,19,0,0,7,9,21,0,21,0,0,20,11,0,9,26,0,0,0,14
328,28,-1,0,0,29,22,28,-1,14,-1,0,19,0,-1,-1,19,21,0,-1,0,0,20,11,0,9,26,0,0,14,14
330,28,-1,0,0,29,22,28,14,0,0,0,0,0,-1,7,0,21,0,0,0,-1,20,11,0,9,26,-1,0,8,14
339,28,0,-1,23,29,22,28,14,-1,0,0,0,9,0,-1,0,21,0,0,0,24,20,11,18,9,26,0,26,0,14
344,28,0,0,0,-1,22,28,0,8,-1,0,0,0,23,7,0,21,0,0,-1,0,20,0,3,9,26,0,22,0,14
350,0,6,6,0,0,0,28,0,28,1,0,12,0,24,18,1,-1,0,12,0,9,3,24,20,9,8,14,0,0,0
358,28,6,0,-1,29,22,-1,0,8,0,-1,0,-1,23,7,0,21,0,0,22,0,20,-1,0,9,26,0,22,6,14
361,28,9,0,0,29,22,28,0,-1,0,0,0,0,23,7,0,21,9,0,0,0,20,0,0,9,-1,0,22,0,-1
362,28,-1,26,0,29,22,28,1,-1,0,0,10,0,-1,7,0,21,0,0,0,0,20,11,0,9,26,0,22,0,14
363,28,24,26,0,29,22,28,0,-1,0,0,10,0,-1,7,0,21,0,0,-1,0,20,-1,0,9,26,0,22,0,14
364,-1,0,0,0,29,22,28,14,0,0,0,19,0,-1,7,0,21,0,21,0,0,20,11,0,9,26,0,0,-1,14
369,28,0,28,0,29,22,28,0,8,0,0,0,8,23,7,0,21,-1,0,0,0,20,0,0,9,26,0,22,0,14
372,28,22,0,0,29,-1,28,14,0,0,0,11,24,0,-1,21,21,0,-1,0,0,20,11,18,9,26,0,0,-1,14
377,28,0,0,-1,29,22,28,0,8,0,0,0,0,23,7,0,21,0,0,0,0,20,0,0,9,26,0,22,0,14
378,28,0,-1,-1,29,22,28,14,0,0,9,19,0,0,-1,18,21,0,21,0,0,20,11,0,-1,26,0,0,28,14
379,28,0,0,0,29,22,28,14,0,0,0,19,0,0,7,18,21,0,21,0,-1,20,11,0,9,26,0,0,0,14
380,28,0,0,0,-1,22,28,0,8,0,0,0,0,-1,7,0,21,-1,0,0,-1,20,0,0,9,26,0,22,0,-1
382,28,-1,-1,0,29,22,28,14,0,0,0,0,0,0,7,0,21,0,0,0,-1,20,11,-1,9,26,0,0,8,14
389,28,0,0,29,29,-1,28,0,8,9,0,6,0,23,7,0,21,0,0,0,0,20,0,-1,9,26,0,22,0,-1
391,-1,0,0,0,-1,22,28,14,0,0,0,11,24,0,7,21,-1,20,-1,-1,-1,20,11,18,9,26,0,0,0,14
395,28,0,28,-1,29,22,28,0,8,0,-1,0,11,23,7,0,21,20,0,0,0,20,28,0,9,26,-1,22,14,-1
396,28,0,0,-1,29,22,-1,14,0,0,0,0,0,0,7,0,21,0,-1,-1,0,20,-1,0,9,-1,0,0,8,14
397,-1,0,-1,-1,29,22,28,14,0,0,0,0,0,-1,7,0,-1,0,-1,0,0,20,11,0,9,26,0,0,-1,14
398,28,0,0,0,29,22,28,0,8,0,0,0,8,23,7,-1,21,0,0,0,-1,20,0,12,9,-1,0,22,8,14
401,-1,0,0,0,29,22,28,-1,0,0,-1,0,0,0,7,-1,21,19,-1,0,0,20,11,0,9,26,0,0,8,14
403,28,0,0,-1,29,22,-1,0,8,0,0,0,0,23,7,0,21,0,-1,0,0,20,0,0,9,-1,0,22,0,14
404,28,0,0,0,29,22,28,0,-1,0,-1,0,0,23,-1,0,21,0,0,0,0,20,0,0,9,26,0,-1,0,14
408,28,-1,0,0,29,22,28,14,0,0,-1,19,0,0,7,0,21,0,21,0,0,20,11,20,9,26,0,0,0,14
409,28,0,0,9,29,22,28,14,0,0,0,19,0,0,7,0,21,0,21,0,0,20,11,0,9,26,0,0,0,14
416,28,0,0,-1,29,22,28,14,0,0,14,19,0,0,7,0,-1,0,21,0,0,20,11,0,9,26,0,0,0,14
418,28,0,9,0,29,22,28,14,0,21,23,0,9,0,7,0,21,0,0,0,24,20,11,-1,9,26,-1,0,0,14
419,28,0,0,0,29,22,28,14,0,21,23,0,9,0,7,-1,21,0,0,0,24,20,11,18,9,26,0,0,0,14
421,28,0,0,0,29,22,-1,14,0,0,-1,0,-1,0,-1,0,21,0,0,0,-1,20,11,0,9,-1,0,21,8,14
425,28,-1,0,0,29,22,-1,14,0,0,-1,19,0,0,7,0,21,0,21,0,0,20,11,0,9,26,0,0,0,14
429,28,0,28,0,29,22,28,0,8,0,-1,0,8,23,7,0,21,0,0,8,0,20,0,0,9,26,22,22,0,14
430,28,0,28,0,29,22,28,0,8,0,-1,0,8,23,7,-1,21,0,0,0,0,-1,6,0,9,26,-1,22,0,14
433,28,0,0,0,29,-1,28,0,8,0,0,12,0,23,7,-1,-1,0,11,0,-1,20,0,0,9,26,0,22,-1,14
434,28,9,0,0,29,22,28,0,8,0,-1,0,0,23,-1,-1,21,0,0,0,0,20,0,0,-1,26,0,22,0,14
435,-1,9,0,0,29,22,28,0,8,0,0,0,0,23,7,0,21,0,0,0,0,20,0,0,9,26,0,22,0,14
436,28,0,0,-1,29,22,28,0,8,-1,0,0,0,23,7,0,21,-1,0,0,0,20,0,0,9,26,28,-1,0,-1
440,-1,0,0,0,29,22,28,14,18,0,0,-1,9,2,-1,0,21,0,0,-1,24,20,11,18,9,26,0,0,28,14
442,28,0,24,29,29,-1,28,0,8,0,0,6,-1,23,7,0,21,0,0,0,0,20,0,0,9,26,0,22,0,-1
445,28,0,0,0,29,22,28,14,0,0,0,0,0,-1,7,0,-1,0,0,0,0,20,11,0,9,26,0,0,8,14
446,28,0,20,-1,29,22,-1,14,0,0,0,-1,0,0,7,0,21,0,0,0,0,20,11,0,9,26,0,0,8,14
447,28,0,0,0,29,22,28,14,0,0,0,0,0,-1,7,0,21,0,21,0,0,20,11,0,9,26,0,0,8,14
448,-1,0,0,0,29,22,28,14,18,0,0,0,9,2,7,0,21,0,0,0,-1,20,11,18,9,26,0,0,28,14
449,28,0,0,-1,29,22,28,14,18,0,8,0,9,2,7,0,21,0,0,0,24,20,11,18,9,26,0,0,28,-1
450,28,0,0,0,29,22,28,14,0,0,0,0,0,-1,7,0,21,0,0,0,0,20,11,0,9,26,0,0,8,14
452,28,0,24,29,-1,22,28,0,-1,0,-1,6,-1,23,7,0,-1,0,0,0,0,20,0,0,9,-1,0,22,0,14
453,28,0,24,29,29,22,28,0,8,0,0,6,0,23,7,-1,21,0,9,0,0,20,0,-1,9,-1,0,22,0,14
454,28,0,0,0,-1,-1,28,14,0,0,0,0,0,0,7,0,21,0,0,0,0,20,11,0,9,26,0,0,8,14
455,28,0,0,0,-1,22,28,14,-1,0,0,0,0,0,7,0,21,0,0,0,0,20,11,0,9,26,0,0,8,14
456,28,6,0,9,29,22,28,0,8,0,0,0,9,23,7,0,21,0,0,22,-1,20,0,0,9,26,22,22,0,-1
457,28,6,0,0,-1,22,28,0,8,0,-1,0,9,23,7,0,21,0,0,22,0,20,0,0,9,26,22,22,0,14
459,28,0,28,0,29,-1,28,-1,8,0,0,0,8,23,7,0,-1,0,0,0,0,-1,6,0,9,26,0,22,21,14
460,28,22,0,0,29,22,28,14,0,0,0,11,24,0,-1,21,21,0,0,0,0,20,11,18,9,26,0,0,0,14
461,-1,22,0,0,-1,22,28,14,0,-1,0,11,24,0,7,-1,21,19,0,0,8,20,11,18,9,26,0,0,0,14
463,28,18,0,-1,29,22,28,14,0,0,-1,0,9,0,7,20,21,0,0,0,24,20,11,18,9,26,0,0,28,14
467,28,0,0,0,29,22,28,14,0,-1,0,11,24,0,7,21,21,20,0,0,0,20,11,18,9,26,0,0,0,14
468,28,0,0,0,29,22,-1,14,0,19,30,11,24,0,-1,21,-1,0,-1,0,0,20,11,18,9,26,0,0,21,14
469,-1,0,0,0,-1,22,28,14,0,19,30,11,24,0,7,21,21,0,0,0,0,20,11,18,9,26,0,0,21,14
470,28,0,20,0,29,22,28,-1,8,0,0,10,0,23,7,0,21,0,28,0,0,20,0,22,9,26,0,22,0,14
471,28,0,20,0,29,22,28,0,8,0,0,10,0,-1,7,-1,21,0,28,0,0,20,0,0,9,26,0,22,-1,-1
472,28,0,0,18,-1,22,28,14,0,0,0,-1,0,0,7,0,21,0,0,30,0,20,11,0,9,26,0,0,8,14
474,28,-1,0,0,29,22,28,-1,8,0,0,0,11,23,7,0,21,20,-1,0,0,20,28,0,9,26,0,22,14,14
475,-1,0,0,0,29,-1,28,0,-1,0,0,-1,11,23,7,0,21,20,-1,-1,0,20,28,0,9,26,-1,22,14,14
476,28,0,0,0,-1,-1,28,-1,0,0,0,-1,0,0,-1,0,21,0,0,0,0,20,11,0,9,26,1,0,8,14
477,28,0,0,0,-1,22,28,14,0,0,-1,0,0,0,7,0,21,0,0,0,0,20,11,0,9,26,0,0,-1,14
478,28,0,0,0,-1,-1,28,14,-1,0,0,11,24,0,7,21,21,20,0,0,0,20,11,18,9,26,0,0,0,-1
480,28,-1,0,-1,29,22,28,14,0,0,0,0,2,0,7,0,21,19,0,0,0,20,11,0,-1,26,-1,0,-1,14
482,28,0,0,0,29,22,28,14,0,0,-1,19,0,0,7,0,21,0,21,0,0,20,11,0,9,26,0,0,-1,14
483,28,0,0,0,29,22,28,14,0,0,14,19,0,0,7,0,21,8,21,0,0,20,-1,0,9,26,0,-1,0,-1
484,28,0,22,0,29,22,28,0,8,0,0,6,0,23,7,0,21,0,11,-1,9,20,0,0,-1,26,0,22,0,14
486,28,0,0,0,29,22,28,14,0,-1,0,19,0,0,7,0,21,0,21,0,0,20,11,0,-1,26,0,0,0,14
487,28,0,0,0,29,22,28,14,0,0,-1,19,0,0,7,0,21,0,21,0,0,20,11,0,9,26,0,0,0,14
488,28,0,0,11,-1,22,28,0,8,27,0,0,0,23,7,0,21,0,0,-1,0,20,0,0,9,26,28,22,-1,14
489,28,0,0,11,29,22,28,0,-1,27,0,0,0,23,7,0,21,0,-1,0,0,20,0,-1,9,26,28,22,0,14
490,28,0,0,0,29,22,28,14,0,0,0,0,-1,0,7,0,21,-1,-1,0,0,20,11,0,9,26,0,0,8,14
491,-1,0,0,0,29,22,28,14,0,0,0,0,2,0,7,0,21,19,0,-1,-1,20,11,0,9,26,0,0,8,14
492,0,-1,6,0,0,0,28,0,28,-1,0,12,0,24,18,1,3,0,12,-1,9,-1,24,20,9,8,-1,20,0,0
493,-1,6,-1,0,0,0,-1,0,28,1,0,-1,0,24,18,1,3,0,-1,0,9,3,24,20,9,8,-1,20,0,0
494,28,0,-1,0,29,22,28,14,0,21,23,0,9,0,-1,0,21,0,0,0,24,20,11,18,9,26,0,0,0,14
495,28,0,0,-1,-1,22,28,14,-1,21,23,0,9,0,7,0,21,0,0,0,24,-1,11,18,9,26,0,-1,0,14
497,28,9,0,0,29,-1,28,0,8,0,0,0,0,23,7,0,21,0,21,0,0,20,0,0,9,26,0,22,0,14
498,28,0,0,0,29,22,-1,14,0,0,0,0,0,0,7,0,21,-1,0,0,0,20,11,0,-1,26,0,0,8,14
502,28,0,0,0,29,22,28,14,-1,0,0,22,0,-1,7,0,21,11,0,0,0,20,0,0,9,26,0,-1,0,14
