cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,3,0,5,9,10,0,2,0,9,2,1,0,5,4,9,1,1,5,8,10,4,10,0,1,7,0,5,10,0,1,0,10,6,8,3,9,3,8,8,5,4,1,3,8,2,3,0,0,5,10,4,1,4,0,5,6,0,8,3,0,8,7,10,9,0,0,0,4,3,1
n15,3,0,5,9,10,0,2,0,9,2,1,0,5,4,9,1,1,5,8,10,4,10,0,1,7,0,5,10,0,1,2,10,6,8,3,9,3,8,8,5,4,1,3,8,2,3,0,0,5,10,4,1,4,0,5,6,0,8,3,0,8,7,10,9,0,0,0,4,3,1
n18,3,0,5,9,10,0,2,0,9,2,1,7,5,4,9,1,1,5,8,10,4,10,0,1,7,0,5,10,0,1,0,10,6,8,3,9,3,8,8,5,4,1,3,8,2,3,0,0,5,10,0,1,4,0,5,6,0,8,3,0,8,7,10,9,0,10,0,4,3,1
n17,3,0,5,9,10,8,2,0,9,2,1,0,5,4,9,1,1,5,8,10,4,10,0,1,7,10,5,10,0,1,0,10,6,8,3,9,3,8,8,5,4,1,3,8,2,3,0,0,5,10,0,1,4,0,5,6,0,8,3,7,8,7,10,9,7,10,7,4,3,1
n22,3,0,5,9,2,0,2,0,9,2,1,4,5,4,9,0,1,5,8,10,4,10,7,1,7,9,5,10,0,1,0,0,6,8,3,9,3,8,8,5,4,1,3,8,2,3,10,0,5,10,3,1,4,0,5,6,0,8,3,8,8,7,0,9,2,0,0,4,3,1
n21,3,5,5,9,2,0,2,9,9,2,1,4,5,4,9,0,1,5,8,10,4,10,0,1,7,9,5,10,0,1,0,3,6,8,3,9,3,8,8,5,4,1,3,8,2,3,10,0,5,10,3,1,4,0,5,6,0,8,3,0,8,7,0,9,2,0,0,4,3,1
n24,3,0,5,9,0,3,2,8,9,2,1,4,5,4,9,1,1,5,8,10,4,10,0,1,7,9,5,10,0,1,0,0,6,8,3,9,3,8,8,5,4,1,3,8,2,3,0,0,5,10,0,1,4,0,5,6,0,8,3,0,8,7,0,9,0,0,10,4,3,1
n23,3,0,5,9,0,3,2,8,9,2,1,4,5,4,9,1,1,5,8,10,4,10,0,1,7,9,5,10,0,1,0,0,6,8,3,9,3,8,8,5,4,1,3,8,2,3,0,0,5,10,0,1,4,0,5,6,0,8,3,0,8,7,0,9,0,0,10,4,3,1
n30,3,7,5,9,0,6,2,5,9,2,1,10,5,4,9,0,1,0,8,10,0,10,10,1,7,1,5,10,6,1,4,7,6,8,3,9,3,8,8,5,4,1,3,8,2,7,0,3,5,10,0,1,4,4,5,6,0,8,0,3,0,7,3,9,1,5,2,4,3,1
n29,3,0,5,9,0,6,2,0,9,2,1,10,5,4,9,0,1,0,8,10,0,10,10,1,7,1,5,10,6,1,4,7,6,8,3,9,3,8,8,5,4,1,3,8,2,3,6,3,5,10,5,1,4,4,5,6,1,8,0,3,0,7,3,9,0,5,0,4,3,1
n32,3,0,5,9,0,6,2,9,9,2,1,10,5,4,9,9,1,0,8,10,5,10,10,1,7,1,5,10,6,1,0,7,6,8,3,9,3,8,8,5,4,1,3,8,2,0,9,3,5,10,4,1,4,9,0,6,0,8,0,3,6,7,2,9,6,5,4,4,3,1
n31,3,0,5,9,2,6,2,9,9,2,1,10,5,4,9,9,1,0,8,10,0,10,10,1,7,1,5,10,6,1,0,7,6,8,3,9,3,8,8,5,4,1,3,8,2,0,0,3,5,10,4,1,4,0,0,6,1,8,0,3,6,7,2,9,0,5,4,4,3,1
n36,3,2,5,9,4,6,2,0,9,2,1,10,5,4,9,0,1,3,8,10,0,10,10,1,7,1,5,10,6,1,0,0,6,8,3,9,3,8,8,5,4,1,3,8,2,10,3,3,5,10,0,1,4,0,1,6,3,8,9,0,0,7,7,9,8,5,10,4,3,1
n35,3,2,5,9,4,6,2,0,9,2,1,10,5,4,9,6,1,3,8,10,4,10,10,1,7,1,5,10,6,1,0,9,6,8,3,9,3,8,8,5,4,1,3,8,2,10,3,3,5,10,2,1,4,0,0,6,3,8,9,0,0,7,7,9,8,5,10,4,3,1
n38,3,0,5,9,0,6,2,4,9,2,1,10,5,4,9,8,1,3,8,10,0,10,10,1,7,1,5,10,6,1,0,5,6,8,3,9,3,8,8,5,4,1,3,8,2,5,0,3,5,10,0,1,4,6,7,6,3,8,0,9,0,7,7,9,8,5,10,4,3,1
n37,3,0,5,9,0,6,2,4,9,2,1,10,5,4,9,0,1,3,8,10,0,10,10,1,7,1,5,10,6,1,0,5,6,8,3,9,3,8,8,5,4,1,3,8,2,5,0,3,5,10,0,1,4,0,7,6,3,8,0,0,0,7,7,9,8,5,10,4,3,1
n46,0,6,5,9,0,4,2,2,9,2,1,7,5,4,9,0,1,2,8,10,2,10,3,1,7,0,5,10,7,1,4,10,6,8,3,9,3,0,8,3,4,1,3,8,2,0,5,10,5,10,5,1,4,4,8,6,0,8,0,0,0,7,8,9,0,5,8,4,3,6
n45,0,6,5,9,0,4,2,2,9,2,1,7,5,4,9,0,1,2,8,10,2,10,3,1,7,0,5,10,7,1,4,0,6,8,3,9,3,0,8,3,4,1,3,8,2,0,5,10,5,10,5,1,4,4,8,6,0,8,0,0,0,7,8,9,0,5,8,4,3,6
n48,0,0,5,9,0,4,2,1,9,2,1,7,5,4,9,0,1,0,8,10,2,10,3,1,7,5,5,10,1,1,0,0,6,8,3,9,3,2,8,3,4,1,3,8,2,0,5,0,5,10,0,1,4,4,8,6,0,8,10,0,0,7,8,9,0,5,0,4,3,0
n47,0,0,5,9,0,4,2,0,9,2,1,7,5,4,9,0,1,0,8,10,2,10,3,1,7,5,5,10,0,1,0,0,6,8,3,9,3,2,8,3,4,1,3,8,2,0,5,0,5,10,0,1,4,4,8,6,0,8,10,0,0,7,8,9,0,5,3,4,3,0
n52,10,3,5,9,2,4,2,0,9,2,1,7,5,4,9,10,1,9,8,10,2,10,3,1,7,4,5,10,3,1,5,1,6,8,3,9,3,4,8,3,4,1,3,8,2,0,5,6,5,10,0,1,4,4,8,6,9,8,1,9,1,7,8,9,0,5,1,4,3,10
n51,0,0,5,9,0,4,2,0,9,2,1,7,5,4,9,0,1,9,8,10,2,10,3,1,7,0,5,10,3,1,5,1,6,8,3,9,3,4,8,3,4,1,3,8,2,0,5,0,5,10,0,1,4,4,8,6,9,8,1,0,0,7,8,9,0,5,1,4,3,0
n54,8,0,5,9,0,4,2,0,9,2,1,7,5,4,9,0,1,0,8,10,2,10,3,1,7,0,5,10,3,1,0,0,6,8,3,9,3,0,8,3,4,1,3,8,2,0,5,10,5,10,0,1,4,4,8,6,9,8,1,9,0,7,8,9,5,5,0,4,3,4
n53,8,0,5,9,0,4,2,0,9,2,1,7,5,4,9,0,1,9,8,10,2,10,3,1,7,0,5,10,3,1,0,1,6,8,3,9,3,0,8,3,4,1,3,8,2,0,5,0,5,10,0,1,4,4,8,6,9,8,0,9,0,7,8,9,5,5,0,4,3,4
n60,5,4,5,9,0,4,2,3,9,2,1,7,5,4,9,1,1,3,8,10,2,10,0,1,7,0,5,10,0,1,1,0,6,8,3,9,3,8,8,3,4,1,3,8,2,0,2,0,5,10,0,1,4,4,8,6,0,8,0,0,0,7,0,9,0,5,0,4,3,0
n59,5,4,5,9,0,4,2,3,9,2,1,7,5,4,9,1,1,3,8,10,2,10,0,1,7,0,5,10,8,1,1,0,6,8,3,9,3,8,8,3,4,1,3,8,2,0,2,0,5,10,0,1,4,4,8,6,2,8,0,0,0,7,0,9,2,5,0,4,3,0
n62,5,10,5,9,0,4,2,3,9,2,1,7,5,4,9,1,1,3,8,10,2,10,0,1,7,0,5,10,6,1,1,0,6,8,3,9,3,0,8,3,4,1,3,8,2,0,2,0,5,10,5,1,4,4,8,6,0,8,0,0,0,7,7,9,0,5,0,4,3,10
n61,5,10,5,9,0,4,2,3,9,2,1,7,5,4,9,1,1,3,8,10,2,10,0,1,7,0,5,10,6,1,1,0,6,8,3,9,3,0,8,3,4,1,3,8,2,0,2,0,5,10,5,1,4,4,8,6,0,8,0,0,0,7,7,9,0,5,0,4,3,10
n66,1,0,5,9,9,4,2,3,9,2,1,7,5,4,9,0,1,0,8,10,2,10,5,1,7,1,5,10,2,1,0,6,6,8,3,9,3,0,8,3,4,1,3,8,2,0,9,0,5,10,0,1,4,4,8,6,3,8,0,6,8,7,9,9,0,5,0,4,3,3
n65,1,0,5,9,9,4,2,3,9,2,1,7,5,4,9,3,1,8,8,10,2,10,5,1,7,1,5,10,5,1,0,6,6,8,3,9,3,0,8,3,4,1,3,8,2,8,0,0,5,10,0,1,4,4,8,6,3,8,0,6,0,7,9,9,0,5,0,4,3,3
n68,0,0,5,9,9,4,2,3,9,2,1,7,5,4,9,8,1,0,8,10,2,10,0,1,7,3,5,10,0,1,0,6,6,8,3,9,3,6,8,3,4,1,3,8,2,0,1,0,5,10,4,1,4,4,8,6,0,8,0,6,0,7,0,9,0,5,1,4,3,0
n67,0,0,5,9,9,4,2,3,9,2,1,7,5,4,9,8,1,0,8,10,2,10,0,1,7,3,5,10,2,1,0,6,6,8,3,9,3,4,8,3,4,1,3,8,2,0,1,0,5,10,4,1,4,4,8,6,0,8,0,6,0,7,0,9,0,5,1,4,3,0
n78,1,7,5,9,7,10,2,1,0,2,1,0,5,4,5,0,1,0,8,10,0,10,0,1,7,0,5,10,2,6,9,2,6,8,0,9,8,1,0,0,4,1,3,8,2,2,1,0,5,10,1,1,4,9,0,7,0,8,6,1,0,7,10,9,8,0,1,4,3,2
n77,1,7,5,9,7,10,2,1,0,2,1,0,5,4,5,9,1,0,8,10,10,10,0,1,7,8,5,10,2,6,9,2,6,8,0,9,8,1,0,0,4,1,3,8,2,2,1,6,5,10,1,1,4,9,0,7,0,8,6,1,0,7,10,9,8,0,1,4,3,2
n80,1,7,5,9,7,10,2,0,6,2,1,0,5,4,5,0,1,0,8,10,0,10,0,1,7,9,5,10,2,6,9,2,6,8,3,9,8,1,0,1,4,1,3,8,2,2,1,1,5,10,0,1,4,9,0,7,0,8,6,1,0,7,10,9,8,0,1,4,3,9
n79,1,7,5,9,7,10,2,0,1,2,1,0,5,4,5,7,1,2,8,10,5,10,6,1,7,9,5,10,2,6,9,2,6,8,6,9,8,1,0,0,4,1,3,8,2,2,1,0,5,10,0,1,4,9,0,7,0,8,6,1,0,7,10,9,8,0,1,4,3,9
n84,1,7,5,0,7,10,2,0,0,2,1,4,5,4,5,2,1,1,8,10,0,10,0,1,7,8,5,10,2,0,1,2,6,8,8,9,8,1,2,0,4,1,3,8,2,2,1,1,5,10,3,1,4,9,0,7,0,8,6,1,0,7,0,9,0,0,1,4,3,2
n83,1,7,5,10,7,10,2,0,0,2,1,4,5,4,5,2,1,1,8,10,0,10,2,1,7,0,5,10,2,0,0,2,6,8,8,9,8,1,2,0,4,1,3,8,2,2,1,1,5,10,0,1,4,9,5,7,0,8,6,1,0,7,0,9,0,0,1,4,3,0
