cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,0,3,1,9,6,7,9,0,9,9,7,2,1,2,5,8,6,10,9,2,3,0,0,0,9,7,9,6,7,8,4,2,1,8,0,8,7,3,6,0,9,7,8,8,8,8,5,5,10,1
n15,0,3,1,9,6,7,9,0,9,9,7,2,1,2,5,8,6,10,9,2,3,0,0,0,9,7,9,6,7,8,4,2,1,8,0,8,7,3,6,0,9,7,8,8,8,8,5,5,10,2
n18,0,3,1,9,6,7,9,0,9,9,7,2,1,0,5,8,6,10,9,2,3,0,0,2,9,7,9,6,7,8,4,2,1,8,0,8,7,8,6,0,9,7,8,8,8,8,5,5,10,0
n17,0,3,1,9,6,7,9,0,9,9,7,2,1,0,5,8,6,10,9,2,3,6,0,0,9,7,9,6,7,8,4,2,1,8,0,8,7,0,6,4,9,7,8,8,8,8,5,5,10,0
n22,0,3,1,9,6,7,9,0,9,9,7,2,1,0,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,0,8,7,1,6,0,9,7,8,8,8,8,5,5,10,10
n21,0,3,1,9,6,7,9,0,9,9,7,2,1,0,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,0,8,7,1,6,2,9,7,8,8,8,8,5,5,10,10
n24,0,3,1,9,6,7,9,1,9,9,7,2,1,0,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,9,8,7,1,6,0,9,7,8,8,8,8,5,5,10,2
n23,0,3,1,9,6,7,9,0,9,9,7,2,1,0,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,9,8,7,1,6,0,9,7,8,8,8,8,5,5,10,2
n30,3,3,1,9,6,7,9,0,9,9,7,2,1,7,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,8,8,7,2,6,5,8,7,8,8,8,8,5,5,10,3
n29,0,3,1,9,6,7,9,0,9,9,7,2,1,7,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,0,8,7,2,6,5,8,7,8,8,8,8,5,5,10,3
n32,0,3,1,9,6,7,9,4,9,9,7,2,1,7,5,8,6,10,9,2,3,0,1,7,9,7,2,6,7,8,4,2,1,8,0,8,7,2,6,5,8,7,8,8,8,8,5,5,10,3
n31,0,3,1,9,6,7,9,0,9,9,7,2,1,7,5,8,6,10,9,2,3,0,0,7,9,7,2,6,7,8,4,2,1,8,0,8,7,2,6,5,8,7,8,8,8,8,5,5,10,3
n36,3,3,1,9,6,7,9,10,9,9,7,2,1,7,5,8,6,10,9,2,3,0,3,9,9,7,2,6,7,8,4,2,1,8,0,8,7,3,6,5,2,7,8,8,8,8,5,5,10,3
n35,3,3,1,9,6,7,9,10,9,9,7,2,1,7,5,8,6,10,9,2,3,0,3,9,9,7,2,6,7,8,4,2,1,8,10,8,7,0,6,5,2,7,8,8,8,8,5,5,10,3
n38,3,3,1,9,6,7,9,3,9,9,7,2,1,7,5,8,6,10,9,2,3,0,3,0,9,7,2,6,7,8,4,2,1,8,0,8,7,1,6,5,2,7,8,8,8,8,5,5,10,3
n37,3,3,1,9,6,7,9,0,9,9,7,2,1,7,5,8,6,10,9,2,3,0,3,0,9,7,2,6,7,8,4,2,1,8,0,8,7,0,6,5,2,7,8,8,8,8,5,5,10,3
n46,1,3,1,9,6,7,9,10,9,7,7,2,1,4,5,0,6,10,9,2,3,1,0,0,9,7,9,6,7,8,4,0,1,8,6,8,7,0,6,4,9,7,8,8,8,8,5,5,10,10
n45,1,3,1,9,6,7,9,0,9,7,7,2,1,4,5,0,6,10,9,2,3,1,0,0,9,7,9,6,7,8,4,2,1,8,6,8,7,0,6,4,9,7,8,8,8,8,5,5,10,10
n48,0,3,1,9,6,7,9,0,9,7,7,2,1,2,5,0,6,10,9,2,3,1,5,0,9,7,9,6,7,8,4,7,1,8,6,8,7,0,6,0,9,7,8,8,8,8,5,5,10,10
n47,0,3,1,9,6,7,9,0,9,7,7,2,1,0,5,0,6,10,9,2,3,1,5,0,9,7,9,6,7,8,4,0,1,8,6,8,7,7,6,0,9,7,8,8,8,8,5,5,10,10
n52,4,3,1,9,6,7,9,0,9,7,7,2,1,0,5,0,6,10,9,2,3,1,0,0,9,7,9,6,7,8,4,0,1,8,6,8,7,2,6,10,0,7,8,8,8,8,5,5,10,0
n51,4,3,1,9,6,7,9,0,9,7,7,2,1,0,5,9,6,10,9,2,3,1,2,0,9,7,0,6,7,8,4,0,1,8,6,8,7,2,6,10,0,7,8,8,8,8,5,5,10,0
n54,1,3,1,9,6,7,9,0,9,7,7,2,1,10,5,0,6,10,9,2,3,1,0,0,9,7,8,6,7,8,4,0,1,8,6,8,7,2,6,10,0,7,8,8,8,8,5,5,10,7
n53,1,3,1,9,6,7,9,0,9,7,7,2,1,0,5,0,6,10,9,2,3,1,0,0,9,7,8,6,7,8,4,0,1,8,6,8,7,2,6,10,0,7,8,8,8,8,5,5,10,0
n60,0,3,1,9,6,7,9,0,9,0,7,2,1,10,5,0,6,10,9,2,3,0,9,0,9,7,0,6,7,8,4,0,1,8,7,8,7,0,6,3,0,7,8,8,8,8,5,5,10,0
n59,0,3,1,9,6,7,9,0,9,0,7,2,1,10,5,0,6,10,9,2,3,10,9,0,9,7,1,6,7,8,4,0,1,8,7,8,7,0,6,3,0,7,8,8,8,8,5,5,10,0
n62,5,3,1,9,6,7,9,7,9,3,7,2,1,0,5,0,6,10,9,2,3,0,9,3,9,7,2,6,7,8,4,0,1,8,7,8,7,0,6,3,5,7,8,8,8,8,5,5,10,0
n61,0,3,1,9,6,7,9,0,9,0,7,2,1,0,5,0,6,10,9,2,3,0,9,0,9,7,0,6,7,8,4,0,1,8,7,8,7,10,6,3,2,7,8,8,8,8,5,5,10,0
n66,3,3,1,9,6,7,9,0,9,2,7,2,1,0,5,7,6,10,9,2,3,6,0,0,9,7,0,6,7,8,4,0,1,8,0,8,7,3,6,3,0,7,8,8,8,8,5,5,10,2
n65,0,3,1,9,6,7,9,0,9,2,7,2,1,0,5,7,6,10,9,2,3,0,9,2,9,7,8,6,7,8,4,0,1,8,0,8,7,3,6,0,2,7,8,8,8,8,5,5,10,2
n68,0,3,1,9,6,7,9,1,9,0,7,2,1,5,5,7,6,10,9,2,3,0,0,0,9,7,0,6,7,8,4,0,1,8,10,8,7,4,6,0,2,7,8,8,8,8,5,5,10,2
n67,5,3,1,9,6,7,9,1,9,0,7,2,1,5,5,7,6,10,9,2,3,0,8,0,9,7,0,6,7,8,4,0,1,8,0,8,7,4,6,0,2,7,8,8,8,8,5,5,10,2
n78,4,3,3,9,6,7,9,4,9,1,7,2,0,0,5,4,1,10,9,2,3,0,1,3,9,7,5,6,7,8,4,0,1,8,10,8,7,5,6,1,5,7,8,8,8,8,5,5,10,6
n77,4,3,3,9,6,7,9,4,9,1,7,2,4,0,5,0,1,10,9,2,3,0,5,3,9,7,5,6,7,8,4,3,1,8,0,8,7,5,6,0,0,7,8,8,8,8,5,5,10,6
n80,4,3,3,9,6,7,9,4,9,1,7,2,0,0,5,2,1,10,9,2,3,0,0,0,9,7,0,6,7,8,4,0,1,8,10,8,7,5,6,7,3,7,8,8,8,8,5,5,10,6
n79,4,3,3,9,6,7,9,4,9,1,7,2,0,0,5,9,1,10,9,2,3,0,0,0,9,7,0,6,7,8,4,0,1,8,10,8,7,5,6,7,3,7,8,8,8,8,5,5,10,6
n84,4,3,3,9,6,7,9,4,9,10,7,2,10,0,5,8,1,10,9,2,3,0,0,0,9,7,0,6,7,8,4,10,1,8,7,8,7,5,6,7,10,7,8,8,8,8,5,5,10,6
n83,4,3,3,9,6,7,9,4,9,10,7,2,0,0,5,8,1,10,9,2,3,0,0,0,9,7,7,6,7,8,4,10,1,8,7,8,7,5,6,7,0,7,8,8,8,8,5,5,10,6
