cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
n16,0,9,10,0,0,1,3,2,2,0,4,9,5,2,8,0,10,9,7,6,0,8,5,7,0,4,8,4,4,10
n15,5,9,10,0,0,1,3,2,0,0,4,9,5,2,8,0,10,9,7,6,0,8,5,7,0,4,8,4,4,10
n18,0,9,10,6,10,1,3,2,5,0,4,9,5,2,8,8,10,9,7,6,0,8,5,7,0,4,8,4,4,10
n17,0,9,10,6,10,1,3,2,5,2,4,9,5,2,8,0,10,9,7,6,0,8,5,7,6,4,8,4,4,10
n22,7,9,10,0,9,1,3,2,0,0,4,9,5,2,8,0,10,9,7,6,10,8,0,7,6,4,8,4,4,0
n21,7,9,10,0,0,1,3,2,0,0,4,9,5,2,8,0,10,9,7,6,10,8,0,7,6,4,8,4,4,0
n24,7,9,10,4,9,1,3,2,2,4,4,9,5,2,8,0,10,9,7,6,10,8,4,7,0,4,8,4,4,0
n23,7,9,10,4,9,1,3,2,2,0,4,9,5,2,8,0,10,9,7,6,10,8,0,7,0,4,8,4,4,0
n30,4,9,10,1,0,1,3,2,0,0,0,9,5,0,8,0,10,9,7,6,7,8,0,7,0,4,8,4,4,0
n29,4,9,10,1,0,1,3,2,0,0,0,9,5,0,8,0,10,9,7,6,7,8,0,7,0,4,8,4,4,0
n32,6,9,10,1,4,1,3,2,0,0,9,9,5,0,8,10,10,9,7,6,7,8,6,7,0,4,8,4,4,0
n31,6,9,10,1,4,1,3,2,0,6,9,9,5,0,8,4,10,9,7,6,7,8,0,7,3,4,8,4,4,0
n36,0,9,10,1,6,1,3,2,0,0,0,9,5,7,8,0,10,9,7,6,7,8,10,7,6,4,8,4,4,0
n35,0,9,10,1,6,1,3,2,8,0,0,9,5,0,8,0,10,9,7,6,7,8,10,7,6,4,8,4,4,0
n38,8,9,10,1,6,1,3,2,9,1,4,9,5,0,8,0,10,9,7,6,7,8,4,7,0,4,8,4,4,0
n37,3,9,10,1,6,1,3,2,0,0,0,9,5,0,8,0,10,9,7,6,7,8,0,7,0,4,8,4,4,0
n46,6,9,10,9,1,3,3,2,8,0,2,9,5,7,8,3,10,9,7,6,0,8,0,7,7,4,8,2,4,0
n45,6,9,10,9,1,3,3,2,8,0,2,9,5,7,8,3,10,9,7,6,0,8,0,7,7,4,8,2,4,0
n48,6,9,10,9,1,3,3,2,7,0,2,9,5,7,8,3,10,9,7,6,0,8,0,7,0,4,8,2,4,1
n47,6,9,10,9,1,3,3,2,7,6,2,9,5,7,8,3,10,9,7,6,0,8,0,7,0,4,8,2,4,0
n52,0,9,10,9,1,3,3,2,0,1,2,9,5,9,8,0,10,9,7,6,7,8,9,7,0,4,8,2,4,0
n51,0,9,10,9,1,3,3,2,0,1,2,9,5,9,8,0,10,9,7,6,7,8,9,7,0,4,8,2,4,5
n54,0,9,10,9,1,3,3,2,3,1,2,9,5,9,8,0,10,9,7,6,7,8,9,7,0,4,8,2,4,10
n53,0,9,10,9,1,3,3,2,0,1,2,9,5,9,8,0,10,9,7,6,7,8,9,7,4,4,8,2,4,10
n60,2,9,10,5,1,5,3,2,1,10,2,9,5,10,8,8,10,9,7,6,0,8,10,7,7,4,8,2,4,8
n59,0,9,10,0,1,0,3,2,1,10,2,9,5,10,8,8,10,9,7,6,0,8,10,7,7,4,8,2,4,8
n62,0,9,10,0,1,0,3,2,1,10,2,9,5,0,8,1,10,9,7,6,0,8,10,7,8,4,8,2,4,8
n61,0,9,10,0,1,10,3,2,1,10,2,9,5,8,8,1,10,9,7,6,0,8,10,7,8,4,8,2,4,8
n66,2,9,10,0,1,0,3,2,1,0,2,9,5,6,8,2,10,9,7,6,1,8,10,7,9,4,8,2,4,0
n65,2,9,10,0,1,0,3,2,1,0,2,9,5,6,8,0,10,9,7,6,1,8,10,7,9,4,8,2,4,0
n68,2,9,10,0,1,0,3,2,1,0,2,9,5,6,8,0,10,9,7,6,0,8,10,7,9,4,8,2,4,2
n67,2,9,10,0,1,0,3,2,1,0,2,9,5,6,8,0,10,9,7,6,0,8,10,7,9,4,8,2,4,10
n78,3,9,10,1,0,0,3,2,6,5,8,9,5,9,8,4,10,8,7,6,0,8,10,7,0,4,8,0,4,0
n77,3,9,10,1,5,0,3,2,6,5,8,9,5,9,8,4,10,8,7,6,0,8,10,7,4,4,8,0,4,0
n80,3,9,10,1,0,0,3,2,6,5,8,9,5,9,8,4,10,8,7,6,0,8,0,7,5,4,8,0,4,9
n79,3,9,10,1,0,0,3,2,6,5,8,9,5,9,8,4,10,8,7,6,0,8,0,7,0,4,8,0,4,6
n84,3,9,10,1,0,0,3,2,0,0,8,9,5,9,8,4,10,0,7,6,0,8,8,7,4,4,8,0,4,0
n83,3,9,10,1,0,0,3,2,0,0,8,9,5,9,8,4,10,2,7,6,0,8,8,7,0,4,8,0,4,0
n86,3,9,10,1,0,2,3,2,0,0,8,9,5,9,8,4,10,0,7,6,0,8,8,7,0,4,8,10,4,7
n85,3,9,10,1,8,2,3,2,10,4,8,9,5,9,8,4,10,0,7,6,0,8,8,7,0,4,8,10,4,0
n92,3,9,10,3,8,8,3,2,1,6,2,9,5,9,8,4,10,10,7,6,5,8,0,7,0,4,8,5,4,2
n91,3,9,10,3,8,8,3,2,1,6,2,9,5,9,8,4,10,10,7,6,5,8,0,7,0,4,8,8,4,0
n94,3,9,10,3,8,8,3,2,1,6,2,9,5,9,8,4,10,10,7,6,5,8,0,7,0,4,8,9,4,10
n93,3,9,10,3,8,8,3,2,1,6,2,9,5,9,8,4,10,10,7,6,5,8,2,7,0,4,8,9,4,10
n98,3,9,10,3,0,8,3,2,1,0,3,9,5,9,8,4,10,9,7,6,0,8,0,7,0,4,8,0,4,0
